index,image,llava_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['A'], ['D'], ['I'], ['B'], ['A: none']]","[{'a': 'the smaller part', 'b': 'many', 'c': 'almost none', 'd': 'some', 'e': 'none', 'f': 'all', 'g': 'most', 'h': 'few', 'i': 'almost all'}, {'a': 'almost all', 'b': 'few', 'c': 'many', 'd': 'none', 'e': 'most', 'f': 'almost none', 'g': 'all', 'h': 'the smaller part', 'i': 'some'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'all', 'd': 'most', 'e': 'none', 'f': 'almost none', 'g': 'some', 'h': 'few', 'i': 'many'}, {'a': 'almost all', 'b': 'some', 'c': 'most', 'd': 'almost none', 'e': 'many', 'f': 'all', 'g': 'few', 'h': 'none', 'i': 'the smaller part'}, {'a': 'none', 'b': 'many', 'c': 'the smaller part', 'd': 'almost none', 'e': 'some', 'f': 'most', 'g': 'all', 'h': 'almost all', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: almost none\nD: some\nE: none\nF: all\nG: most\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: many\nD: none\nE: most\nF: almost none\nG: all\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: all\nD: most\nE: none\nF: almost none\nG: some\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: most\nD: almost none\nE: many\nF: all\nG: few\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: the smaller part\nD: almost none\nE: some\nF: most\nG: all\nH: almost all\nI: few\nAnswer:']"
15,data/images/quantifier/test_15.png,"[['I'], ['F'], ['C'], ['A: none'], ['D']]","[{'a': 'few', 'b': 'many', 'c': 'almost all', 'd': 'the smaller part', 'e': 'almost none', 'f': 'most', 'g': 'all', 'h': 'none', 'i': 'some'}, {'a': 'many', 'b': 'some', 'c': 'almost all', 'd': 'all', 'e': 'few', 'f': 'none', 'g': 'the smaller part', 'h': 'most', 'i': 'almost none'}, {'a': 'some', 'b': 'most', 'c': 'none', 'd': 'the smaller part', 'e': 'many', 'f': 'all', 'g': 'few', 'h': 'almost none', 'i': 'almost all'}, {'a': 'none', 'b': 'few', 'c': 'most', 'd': 'almost all', 'e': 'all', 'f': 'almost none', 'g': 'many', 'h': 'some', 'i': 'the smaller part'}, {'a': 'most', 'b': 'few', 'c': 'many', 'd': 'almost none', 'e': 'some', 'f': 'the smaller part', 'g': 'none', 'h': 'almost all', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: almost all\nD: the smaller part\nE: almost none\nF: most\nG: all\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: almost all\nD: all\nE: few\nF: none\nG: the smaller part\nH: most\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: none\nD: the smaller part\nE: many\nF: all\nG: few\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: most\nD: almost all\nE: all\nF: almost none\nG: many\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: many\nD: almost none\nE: some\nF: the smaller part\nG: none\nH: almost all\nI: all\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['B'], ['I: none'], ['D'], ['D'], ['C']]","[{'a': 'the smaller part', 'b': 'none', 'c': 'almost all', 'd': 'all', 'e': 'many', 'f': 'most', 'g': 'almost none', 'h': 'some', 'i': 'few'}, {'a': 'the smaller part', 'b': 'many', 'c': 'most', 'd': 'all', 'e': 'almost none', 'f': 'almost all', 'g': 'some', 'h': 'few', 'i': 'none'}, {'a': 'some', 'b': 'many', 'c': 'most', 'd': 'almost none', 'e': 'few', 'f': 'almost all', 'g': 'none', 'h': 'the smaller part', 'i': 'all'}, {'a': 'most', 'b': 'few', 'c': 'many', 'd': 'almost none', 'e': 'almost all', 'f': 'none', 'g': 'all', 'h': 'the smaller part', 'i': 'some'}, {'a': 'many', 'b': 'all', 'c': 'none', 'd': 'some', 'e': 'few', 'f': 'almost all', 'g': 'the smaller part', 'h': 'most', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost all\nD: all\nE: many\nF: most\nG: almost none\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: most\nD: all\nE: almost none\nF: almost all\nG: some\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: most\nD: almost none\nE: few\nF: almost all\nG: none\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: many\nD: almost none\nE: almost all\nF: none\nG: all\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: none\nD: some\nE: few\nF: almost all\nG: the smaller part\nH: most\nI: almost none\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['B'], ['F'], ['B'], ['A: almost none'], ['D']]","[{'a': 'all', 'b': 'few', 'c': 'almost none', 'd': 'almost all', 'e': 'some', 'f': 'none', 'g': 'most', 'h': 'many', 'i': 'the smaller part'}, {'a': 'few', 'b': 'almost none', 'c': 'the smaller part', 'd': 'some', 'e': 'many', 'f': 'none', 'g': 'most', 'h': 'almost all', 'i': 'all'}, {'a': 'almost all', 'b': 'almost none', 'c': 'few', 'd': 'the smaller part', 'e': 'all', 'f': 'some', 'g': 'many', 'h': 'none', 'i': 'most'}, {'a': 'almost none', 'b': 'the smaller part', 'c': 'all', 'd': 'none', 'e': 'almost all', 'f': 'most', 'g': 'many', 'h': 'few', 'i': 'some'}, {'a': 'almost all', 'b': 'most', 'c': 'almost none', 'd': 'many', 'e': 'few', 'f': 'all', 'g': 'none', 'h': 'the smaller part', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: almost none\nD: almost all\nE: some\nF: none\nG: most\nH: many\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: the smaller part\nD: some\nE: many\nF: none\nG: most\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: few\nD: the smaller part\nE: all\nF: some\nG: many\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: all\nD: none\nE: almost all\nF: most\nG: many\nH: few\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: almost none\nD: many\nE: few\nF: all\nG: none\nH: the smaller part\nI: some\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['A: almost none'], ['C'], ['C'], ['A: almost none'], ['E']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'few', 'd': 'many', 'e': 'most', 'f': 'some', 'g': 'none', 'h': 'the smaller part', 'i': 'all'}, {'a': 'many', 'b': 'all', 'c': 'none', 'd': 'almost none', 'e': 'most', 'f': 'almost all', 'g': 'few', 'h': 'some', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'all', 'c': 'almost none', 'd': 'some', 'e': 'almost all', 'f': 'many', 'g': 'few', 'h': 'most', 'i': 'none'}, {'a': 'almost none', 'b': 'none', 'c': 'all', 'd': 'the smaller part', 'e': 'almost all', 'f': 'many', 'g': 'few', 'h': 'most', 'i': 'some'}, {'a': 'few', 'b': 'all', 'c': 'almost none', 'd': 'the smaller part', 'e': 'none', 'f': 'some', 'g': 'many', 'h': 'most', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: few\nD: many\nE: most\nF: some\nG: none\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: none\nD: almost none\nE: most\nF: almost all\nG: few\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: almost none\nD: some\nE: almost all\nF: many\nG: few\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: all\nD: the smaller part\nE: almost all\nF: many\nG: few\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost none\nD: the smaller part\nE: none\nF: some\nG: many\nH: most\nI: almost all\nAnswer:']"
115,data/images/quantifier/test_115.png,"[['I: almost none'], ['F'], ['A: none'], ['A: none'], ['A: almost none']]","[{'a': 'many', 'b': 'some', 'c': 'most', 'd': 'almost all', 'e': 'none', 'f': 'the smaller part', 'g': 'few', 'h': 'all', 'i': 'almost none'}, {'a': 'some', 'b': 'many', 'c': 'few', 'd': 'the smaller part', 'e': 'almost all', 'f': 'none', 'g': 'almost none', 'h': 'most', 'i': 'all'}, {'a': 'none', 'b': 'most', 'c': 'the smaller part', 'd': 'few', 'e': 'all', 'f': 'some', 'g': 'many', 'h': 'almost all', 'i': 'almost none'}, {'a': 'none', 'b': 'almost all', 'c': 'many', 'd': 'all', 'e': 'few', 'f': 'most', 'g': 'some', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'almost none', 'b': 'many', 'c': 'some', 'd': 'most', 'e': 'almost all', 'f': 'the smaller part', 'g': 'few', 'h': 'none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: most\nD: almost all\nE: none\nF: the smaller part\nG: few\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: few\nD: the smaller part\nE: almost all\nF: none\nG: almost none\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: the smaller part\nD: few\nE: all\nF: some\nG: many\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: many\nD: all\nE: few\nF: most\nG: some\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: some\nD: most\nE: almost all\nF: the smaller part\nG: few\nH: none\nI: all\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['D'], ['A'], ['B'], ['H'], ['D']]","[{'a': 'most', 'b': 'many', 'c': 'none', 'd': 'almost all', 'e': 'all', 'f': 'the smaller part', 'g': 'few', 'h': 'almost none', 'i': 'some'}, {'a': 'almost all', 'b': 'most', 'c': 'none', 'd': 'the smaller part', 'e': 'many', 'f': 'some', 'g': 'almost none', 'h': 'all', 'i': 'few'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'many', 'd': 'few', 'e': 'almost none', 'f': 'most', 'g': 'some', 'h': 'none', 'i': 'all'}, {'a': 'almost all', 'b': 'almost none', 'c': 'some', 'd': 'the smaller part', 'e': 'none', 'f': 'all', 'g': 'most', 'h': 'many', 'i': 'few'}, {'a': 'none', 'b': 'the smaller part', 'c': 'many', 'd': 'most', 'e': 'few', 'f': 'almost none', 'g': 'some', 'h': 'all', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: none\nD: almost all\nE: all\nF: the smaller part\nG: few\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: none\nD: the smaller part\nE: many\nF: some\nG: almost none\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: many\nD: few\nE: almost none\nF: most\nG: some\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: some\nD: the smaller part\nE: none\nF: all\nG: most\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: many\nD: most\nE: few\nF: almost none\nG: some\nH: all\nI: almost all\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['I'], ['I'], ['D'], ['I'], ['B']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'all', 'd': 'many', 'e': 'the smaller part', 'f': 'most', 'g': 'none', 'h': 'some', 'i': 'few'}, {'a': 'some', 'b': 'almost all', 'c': 'many', 'd': 'almost none', 'e': 'few', 'f': 'the smaller part', 'g': 'all', 'h': 'most', 'i': 'none'}, {'a': 'most', 'b': 'none', 'c': 'almost none', 'd': 'the smaller part', 'e': 'all', 'f': 'almost all', 'g': 'some', 'h': 'many', 'i': 'few'}, {'a': 'almost all', 'b': 'almost none', 'c': 'some', 'd': 'none', 'e': 'most', 'f': 'many', 'g': 'all', 'h': 'the smaller part', 'i': 'few'}, {'a': 'most', 'b': 'some', 'c': 'the smaller part', 'd': 'almost all', 'e': 'few', 'f': 'all', 'g': 'many', 'h': 'none', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: all\nD: many\nE: the smaller part\nF: most\nG: none\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: many\nD: almost none\nE: few\nF: the smaller part\nG: all\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: almost none\nD: the smaller part\nE: all\nF: almost all\nG: some\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: some\nD: none\nE: most\nF: many\nG: all\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: the smaller part\nD: almost all\nE: few\nF: all\nG: many\nH: none\nI: almost none\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[['A'], ['D'], ['D'], ['A'], ['C']]","[{'a': 'almost all', 'b': 'the smaller part', 'c': 'few', 'd': 'most', 'e': 'none', 'f': 'some', 'g': 'all', 'h': 'almost none', 'i': 'many'}, {'a': 'almost none', 'b': 'most', 'c': 'all', 'd': 'few', 'e': 'many', 'f': 'almost all', 'g': 'the smaller part', 'h': 'some', 'i': 'none'}, {'a': 'none', 'b': 'many', 'c': 'the smaller part', 'd': 'most', 'e': 'almost none', 'f': 'some', 'g': 'all', 'h': 'few', 'i': 'almost all'}, {'a': 'all', 'b': 'some', 'c': 'few', 'd': 'many', 'e': 'none', 'f': 'the smaller part', 'g': 'almost all', 'h': 'almost none', 'i': 'most'}, {'a': 'few', 'b': 'most', 'c': 'many', 'd': 'none', 'e': 'almost none', 'f': 'some', 'g': 'the smaller part', 'h': 'all', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: few\nD: most\nE: none\nF: some\nG: all\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: all\nD: few\nE: many\nF: almost all\nG: the smaller part\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: the smaller part\nD: most\nE: almost none\nF: some\nG: all\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: few\nD: many\nE: none\nF: the smaller part\nG: almost all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: many\nD: none\nE: almost none\nF: some\nG: the smaller part\nH: all\nI: almost all\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['I: almost all'], ['I'], ['D'], ['B'], ['B']]","[{'a': 'most', 'b': 'almost none', 'c': 'all', 'd': 'the smaller part', 'e': 'many', 'f': 'none', 'g': 'few', 'h': 'some', 'i': 'almost all'}, {'a': 'almost none', 'b': 'few', 'c': 'most', 'd': 'the smaller part', 'e': 'many', 'f': 'all', 'g': 'none', 'h': 'almost all', 'i': 'some'}, {'a': 'the smaller part', 'b': 'few', 'c': 'all', 'd': 'almost all', 'e': 'most', 'f': 'none', 'g': 'some', 'h': 'almost none', 'i': 'many'}, {'a': 'the smaller part', 'b': 'most', 'c': 'almost all', 'd': 'all', 'e': 'many', 'f': 'few', 'g': 'none', 'h': 'almost none', 'i': 'some'}, {'a': 'few', 'b': 'many', 'c': 'the smaller part', 'd': 'most', 'e': 'some', 'f': 'almost none', 'g': 'all', 'h': 'none', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: all\nD: the smaller part\nE: many\nF: none\nG: few\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: most\nD: the smaller part\nE: many\nF: all\nG: none\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: all\nD: almost all\nE: most\nF: none\nG: some\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: almost all\nD: all\nE: many\nF: few\nG: none\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: the smaller part\nD: most\nE: some\nF: almost none\nG: all\nH: none\nI: almost all\nAnswer:']"
