index,image,llava_filtered_output
95,data/images/quantifier/test_95.png,"['none', 'the smaller part', 'none', 'none', 'almost none']"
15,data/images/quantifier/test_15.png,"['almost none', 'none', 'almost none', 'none', 'some']"
30,data/images/quantifier/test_30.png,"['none', 'none', 'none', 'most', 'none']"
158,data/images/quantifier/test_158.png,"['some', 'none', 'none', 'some', 'none']"
128,data/images/quantifier/test_128.png,"['almost none', 'almost none', 'almost none', 'the smaller part', 'almost all']"
115,data/images/quantifier/test_115.png,"['none', 'none', 'none', 'many', 'none']"
1776,data/images/quantifier/test_1776.png,"['many', 'all', 'many', 'many', 'many']"
1633,data/images/quantifier/test_1633.png,"['almost all', 'almost all', 'some', 'the smaller part', 'few']"
1721,data/images/quantifier/test_1721.png,"['most', 'many', 'most', 'almost all', 'few']"
1780,data/images/quantifier/test_1780.png,"['almost none', 'some', 'some', 'the smaller part', 'few']"
1702,data/images/quantifier/test_1702.png,"['almost all', 'almost all', 'many', 'almost all', 'many']"
1735,data/images/quantifier/test_1735.png,"['all', 'the smaller part', 'many', 'almost all', 'almost none']"
1160,data/images/quantifier/test_1160.png,"['none', 'some', 'few', 'many', 'almost all']"
1014,data/images/quantifier/test_1014.png,"['most', 'many', 'all', 'almost none', 'almost all']"
1109,data/images/quantifier/test_1109.png,"['some', 'none', 'none', 'few', 'some']"
1019,data/images/quantifier/test_1019.png,"['few', 'some', 'almost all', 'many', 'some']"
1122,data/images/quantifier/test_1122.png,"['some', 'almost all', 'many', 'some', 'many']"
1166,data/images/quantifier/test_1166.png,"['none', 'none', 'the smaller part', 'none', 'almost none']"
938,data/images/quantifier/test_938.png,"['none', 'some', 'all', 'the smaller part', 'almost all']"
870,data/images/quantifier/test_870.png,"['some', 'none', 'the smaller part', 'almost none', 'almost all']"
863,data/images/quantifier/test_863.png,"['almost all', 'all', 'almost all', 'all', 'almost all']"
934,data/images/quantifier/test_934.png,"['some', 'almost none', 'some', 'almost none', 'almost none']"
866,data/images/quantifier/test_866.png,"['none', 'many', 'almost none', 'few', 'some']"
932,data/images/quantifier/test_932.png,"['some', 'most', 'almost none', 'some', 'none']"
711,data/images/quantifier/test_711.png,"['many', 'the smaller part', 'some', 'some', 'some']"
780,data/images/quantifier/test_780.png,"['most', 'almost none', 'many', 'most', 'most']"
793,data/images/quantifier/test_793.png,"['none', 'none', 'many', 'some', 'almost none']"
615,data/images/quantifier/test_615.png,"['most', 'almost none', 'almost none', 'few', 'the smaller part']"
737,data/images/quantifier/test_737.png,"['almost all', 'some', 'the smaller part', 'some', 'none']"
758,data/images/quantifier/test_758.png,"['almost all', 'some', 'few', 'almost none', 'almost all']"
474,data/images/quantifier/test_474.png,"['most', 'all', 'the smaller part', 'most', 'the smaller part']"
558,data/images/quantifier/test_558.png,"['few', 'some', 'the smaller part', 'some', 'all']"
512,data/images/quantifier/test_512.png,"['the smaller part', 'the smaller part', 'none', 'none', 'all']"
487,data/images/quantifier/test_487.png,"['some', 'few', 'the smaller part', 'few', 'none']"
507,data/images/quantifier/test_507.png,"['none', 'none', 'some', 'few', 'some']"
492,data/images/quantifier/test_492.png,"['the smaller part', 'the smaller part', 'some', 'most', 'none']"
212,data/images/quantifier/test_212.png,"['few', 'some', 'none', 'none', 'almost none']"
260,data/images/quantifier/test_260.png,"['none', 'most', 'all', 'almost all', 'few']"
326,data/images/quantifier/test_326.png,"['some', 'some', 'many', 'some', 'most']"
384,data/images/quantifier/test_384.png,"['almost none', 'some', 'most', 'none', 'none']"
303,data/images/quantifier/test_303.png,"['few', 'almost all', 'most', 'most', 'some']"
394,data/images/quantifier/test_394.png,"['some', 'almost all', 'most', 'none', 'some']"
2211,data/images/quantifier/test_2211.png,"['almost all', 'many', 'some', 'almost none', 'almost all']"
2229,data/images/quantifier/test_2229.png,"['none', 'many', 'some', 'most', 'almost all']"
2301,data/images/quantifier/test_2301.png,"['some', 'some', 'all', 'few', 'almost all']"
2243,data/images/quantifier/test_2243.png,"['many', 'many', 'the smaller part', 'most', 'the smaller part']"
2290,data/images/quantifier/test_2290.png,"['many', 'some', 'almost all', 'almost all', 'almost all']"
2201,data/images/quantifier/test_2201.png,"['some', 'some', 'many', 'almost all', 'many']"
1255,data/images/quantifier/test_1255.png,"['some', 'some', 'few', 'some', 'most']"
1341,data/images/quantifier/test_1341.png,"['few', 'few', 'many', 'almost none', 'the smaller part']"
1294,data/images/quantifier/test_1294.png,"['some', 'the smaller part', 'many', 'all', 'few']"
1204,data/images/quantifier/test_1204.png,"['many', 'none', 'almost all', 'almost all', 'many']"
1272,data/images/quantifier/test_1272.png,"['most', 'some', 'most', 'almost all', 'almost all']"
1302,data/images/quantifier/test_1302.png,"['almost all', 'some', 'none', 'none', 'some']"
2515,data/images/quantifier/test_2515.png,"['many', 'many', 'many', 'many', 'almost all']"
2557,data/images/quantifier/test_2557.png,"['almost none', 'few', 'the smaller part', 'the smaller part', 'the smaller part']"
2592,data/images/quantifier/test_2592.png,"['some', 'some', 'some', 'almost all', 'almost none']"
2567,data/images/quantifier/test_2567.png,"['many', 'all', 'almost all', 'almost all', 'some']"
2487,data/images/quantifier/test_2487.png,"['some', 'all', 'few', 'few', 'almost all']"
