index,image,llava_filtered_output
95,data/images/quantifier/test_95.png,"['none', 'none', 'almost none', 'almost none', 'none']"
15,data/images/quantifier/test_15.png,"['none', 'almost none', 'none', 'some', 'none']"
30,data/images/quantifier/test_30.png,"['almost all', 'none', 'few', 'none', 'none']"
158,data/images/quantifier/test_158.png,"['almost none', 'almost none', 'few', 'none', 'most']"
128,data/images/quantifier/test_128.png,"['some', 'almost none', 'almost all', 'almost none', 'none']"
115,data/images/quantifier/test_115.png,"['some', 'some', 'all', 'almost none', 'almost none']"
1776,data/images/quantifier/test_1776.png,"['the smaller part', 'many', 'many', 'all', 'almost all']"
1633,data/images/quantifier/test_1633.png,"['few', 'the smaller part', 'some', 'almost all', 'all']"
1721,data/images/quantifier/test_1721.png,"['almost all', 'many', 'some', 'many', 'some']"
1780,data/images/quantifier/test_1780.png,"['some', 'many', 'all', 'almost all', 'many']"
1702,data/images/quantifier/test_1702.png,"['almost all', 'all', 'almost all', 'some', 'all']"
1735,data/images/quantifier/test_1735.png,"['the smaller part', 'the smaller part', 'the smaller part', 'many', 'few']"
1160,data/images/quantifier/test_1160.png,"['some', 'some', 'all', 'few', 'almost all']"
1014,data/images/quantifier/test_1014.png,"['many', 'almost all', 'none', 'the smaller part', 'some']"
1109,data/images/quantifier/test_1109.png,"['few', 'many', 'some', 'none', 'the smaller part']"
1019,data/images/quantifier/test_1019.png,"['all', 'all', 'few', 'almost all', 'many']"
1122,data/images/quantifier/test_1122.png,"['almost all', 'the smaller part', 'most', 'some', 'some']"
1166,data/images/quantifier/test_1166.png,"['the smaller part', 'none', 'none', 'none', 'almost none']"
938,data/images/quantifier/test_938.png,"['some', 'almost all', 'all', 'the smaller part', 'the smaller part']"
870,data/images/quantifier/test_870.png,"['the smaller part', 'most', 'none', 'some', 'all']"
863,data/images/quantifier/test_863.png,"['almost all', 'almost all', 'the smaller part', 'many', 'few']"
934,data/images/quantifier/test_934.png,"['the smaller part', 'none', 'all', 'many', 'most']"
866,data/images/quantifier/test_866.png,"['some', 'many', 'many', 'most', 'all']"
932,data/images/quantifier/test_932.png,"['some', 'some', 'most', 'many', 'some']"
711,data/images/quantifier/test_711.png,"['some', 'all', 'most', 'almost none', 'few']"
780,data/images/quantifier/test_780.png,"['some', 'none', 'none', 'almost all', 'most']"
793,data/images/quantifier/test_793.png,"['few', 'some', 'none', 'few', 'few']"
615,data/images/quantifier/test_615.png,"['almost all', 'most', 'almost all', 'some', 'some']"
737,data/images/quantifier/test_737.png,"['most', 'all', 'almost none', 'almost none', 'none']"
758,data/images/quantifier/test_758.png,"['few', 'some', 'none', 'almost all', 'some']"
474,data/images/quantifier/test_474.png,"['almost none', 'none', 'none', 'none', 'some']"
558,data/images/quantifier/test_558.png,"['none', 'all', 'some', 'none', 'the smaller part']"
512,data/images/quantifier/test_512.png,"['almost none', 'almost all', 'the smaller part', 'all', 'none']"
487,data/images/quantifier/test_487.png,"['almost none', 'almost none', 'the smaller part', 'some', 'the smaller part']"
507,data/images/quantifier/test_507.png,"['some', 'none', 'almost all', 'many', 'most']"
492,data/images/quantifier/test_492.png,"['almost all', 'none', 'many', 'all', 'some']"
212,data/images/quantifier/test_212.png,"['almost none', 'many', 'none', 'none', 'some']"
260,data/images/quantifier/test_260.png,"['some', 'almost none', 'the smaller part', 'few', 'almost all']"
326,data/images/quantifier/test_326.png,"['most', 'almost none', 'almost none', 'few', 'none']"
384,data/images/quantifier/test_384.png,"['none', 'the smaller part', 'none', 'the smaller part', 'none']"
303,data/images/quantifier/test_303.png,"['some', 'many', 'few', 'none', 'none']"
394,data/images/quantifier/test_394.png,"['some', 'almost none', 'few', 'almost none', 'some']"
2211,data/images/quantifier/test_2211.png,"['all', 'almost all', 'almost all', 'all', 'many']"
2229,data/images/quantifier/test_2229.png,"['some', 'some', 'many', 'some', 'the smaller part']"
2301,data/images/quantifier/test_2301.png,"['almost all', 'some', 'almost all', 'some', 'most']"
2243,data/images/quantifier/test_2243.png,"['some', 'all', 'some', 'many', 'many']"
2290,data/images/quantifier/test_2290.png,"['none', 'almost all', 'many', 'almost all', 'most']"
2201,data/images/quantifier/test_2201.png,"['almost all', 'many', 'some', 'most', 'almost all']"
1255,data/images/quantifier/test_1255.png,"['almost all', 'some', 'almost all', 'few', 'some']"
1341,data/images/quantifier/test_1341.png,"['some', 'few', 'the smaller part', 'none', 'few']"
1294,data/images/quantifier/test_1294.png,"['few', 'some', 'few', 'some', 'the smaller part']"
1204,data/images/quantifier/test_1204.png,"['none', 'some', 'almost all', 'some', 'many']"
1272,data/images/quantifier/test_1272.png,"['none', 'the smaller part', 'some', 'almost all', 'almost all']"
1302,data/images/quantifier/test_1302.png,"['all', 'all', 'some', 'none', 'none']"
2515,data/images/quantifier/test_2515.png,"['many', 'all', 'most', 'all', 'many']"
2557,data/images/quantifier/test_2557.png,"['all', 'few', 'some', 'all', 'some']"
2592,data/images/quantifier/test_2592.png,"['almost all', 'some', 'almost all', 'none', 'all']"
2567,data/images/quantifier/test_2567.png,"['almost all', 'some', 'many', 'all', 'most']"
2487,data/images/quantifier/test_2487.png,"['some', 'the smaller part', 'many', 'all', 'the smaller part']"
2472,data/images/quantifier/test_2472.png,"['many', 'all', 'most', 'almost none', 'almost all']"
2054,data/images/quantifier/test_2054.png,"['almost all', 'some', 'many', 'some', 'most']"
2111,data/images/quantifier/test_2111.png,"['some', 'the smaller part', 'most', 'some', 'almost all']"
2019,data/images/quantifier/test_2019.png,"['all', 'all', 'almost all', 'many', 'most']"
2031,data/images/quantifier/test_2031.png,"['few', 'almost all', 'few', 'all', 'all']"
2137,data/images/quantifier/test_2137.png,"['almost all', 'many', 'some', 'none', 'almost all']"
2135,data/images/quantifier/test_2135.png,"['some', 'almost all', 'many', 'many', 'many']"
1486,data/images/quantifier/test_1486.png,"['all', 'most', 'the smaller part', 'some', 'most']"
1499,data/images/quantifier/test_1499.png,"['many', 'almost all', 'the smaller part', 'none', 'none']"
1502,data/images/quantifier/test_1502.png,"['almost all', 'the smaller part', 'all', 'almost all', 'most']"
