index,image,llava_filtered_output
95,data/images/quantifier/test_95.png,"['almost none', 'none', 'few', 'none', 'none']"
15,data/images/quantifier/test_15.png,"['almost none', 'none', 'none', 'none', 'none']"
30,data/images/quantifier/test_30.png,"['none', 'almost none', 'almost all', 'almost none', 'almost none']"
158,data/images/quantifier/test_158.png,"['none', 'none', 'none', 'almost none', 'none']"
128,data/images/quantifier/test_128.png,"['none', 'none', 'almost none', 'none', 'none']"
115,data/images/quantifier/test_115.png,"['almost none', 'none', 'almost none', 'almost none', 'almost none']"
1776,data/images/quantifier/test_1776.png,"['many', 'many', 'many', 'some', 'many']"
1633,data/images/quantifier/test_1633.png,"['none', 'the smaller part', 'almost all', 'almost none', 'none']"
1721,data/images/quantifier/test_1721.png,"['almost all', 'almost none', 'all', 'all', 'many']"
1780,data/images/quantifier/test_1780.png,"['some', 'the smaller part', 'almost all', 'almost all', 'some']"
1702,data/images/quantifier/test_1702.png,"['almost all', 'most', 'many', 'almost all', 'many']"
1735,data/images/quantifier/test_1735.png,"['some', 'some', 'some', 'some', 'few']"
1160,data/images/quantifier/test_1160.png,"['the smaller part', 'most', 'almost all', 'all', 'many']"
1014,data/images/quantifier/test_1014.png,"['some', 'many', 'some', 'some', 'all']"
1109,data/images/quantifier/test_1109.png,"['almost all', 'some', 'some', 'many', 'none']"
1019,data/images/quantifier/test_1019.png,"['almost all', 'many', 'some', 'almost all', 'almost none']"
1122,data/images/quantifier/test_1122.png,"['almost none', 'most', 'none', 'the smaller part', 'few']"
1166,data/images/quantifier/test_1166.png,"['almost none', 'none', 'some', 'the smaller part', 'some']"
938,data/images/quantifier/test_938.png,"['none', 'some', 'some', 'none', 'some']"
870,data/images/quantifier/test_870.png,"['most', 'none', 'some', 'almost none', 'some']"
863,data/images/quantifier/test_863.png,"['none', 'some', 'most', 'almost none', 'almost none']"
934,data/images/quantifier/test_934.png,"['none', 'almost all', 'almost none', 'some', 'almost all']"
866,data/images/quantifier/test_866.png,"['almost all', 'few', 'almost all', 'most', 'the smaller part']"
932,data/images/quantifier/test_932.png,"['few', 'some', 'most', 'many', 'some']"
711,data/images/quantifier/test_711.png,"['some', 'few', 'most', 'the smaller part', 'many']"
780,data/images/quantifier/test_780.png,"['almost none', 'none', 'none', 'some', 'almost none']"
793,data/images/quantifier/test_793.png,"['almost all', 'many', 'all', 'almost none', 'some']"
615,data/images/quantifier/test_615.png,"['few', 'almost none', 'the smaller part', 'some', 'many']"
737,data/images/quantifier/test_737.png,"['none', 'the smaller part', 'almost all', 'almost all', 'few']"
758,data/images/quantifier/test_758.png,"['many', 'the smaller part', 'almost none', 'almost none', 'many']"
474,data/images/quantifier/test_474.png,"['none', 'some', 'almost none', 'the smaller part', 'none']"
558,data/images/quantifier/test_558.png,"['almost none', 'some', 'few', 'none', 'none']"
512,data/images/quantifier/test_512.png,"['few', 'none', 'none', 'none', 'none']"
487,data/images/quantifier/test_487.png,"['few', 'almost all', 'none', 'the smaller part', 'none']"
507,data/images/quantifier/test_507.png,"['many', 'the smaller part', 'almost none', 'none', 'few']"
492,data/images/quantifier/test_492.png,"['almost all', 'many', 'many', 'many', 'almost none']"
212,data/images/quantifier/test_212.png,"['some', 'none', 'none', 'some', 'almost none']"
260,data/images/quantifier/test_260.png,"['few', 'none', 'none', 'some', 'few']"
326,data/images/quantifier/test_326.png,"['all', 'some', 'none', 'the smaller part', 'almost none']"
384,data/images/quantifier/test_384.png,"['the smaller part', 'none', 'none', 'none', 'none']"
303,data/images/quantifier/test_303.png,"['some', 'almost none', 'almost none', 'few', 'some']"
394,data/images/quantifier/test_394.png,"['none', 'few', 'almost none', 'the smaller part', 'few']"
2211,data/images/quantifier/test_2211.png,"['almost all', 'the smaller part', 'none', 'the smaller part', 'the smaller part']"
2229,data/images/quantifier/test_2229.png,"['most', 'some', 'most', 'all', 'few']"
2301,data/images/quantifier/test_2301.png,"['some', 'some', 'many', 'all', 'few']"
2243,data/images/quantifier/test_2243.png,"['many', 'almost all', 'many', 'all', 'almost all']"
2290,data/images/quantifier/test_2290.png,"['all', 'many', 'some', 'almost all', 'all']"
2201,data/images/quantifier/test_2201.png,"['almost all', 'all', 'almost all', 'some', 'many']"
1255,data/images/quantifier/test_1255.png,"['many', 'the smaller part', 'the smaller part', 'most', 'many']"
1341,data/images/quantifier/test_1341.png,"['none', 'few', 'the smaller part', 'all', 'almost none']"
1294,data/images/quantifier/test_1294.png,"['all', 'almost none', 'some', 'none', 'none']"
1204,data/images/quantifier/test_1204.png,"['many', 'some', 'many', 'almost all', 'some']"
1272,data/images/quantifier/test_1272.png,"['all', 'some', 'almost all', 'many', 'some']"
1302,data/images/quantifier/test_1302.png,"['few', 'almost all', 'few', 'some', 'none']"
2515,data/images/quantifier/test_2515.png,"['many', 'most', 'almost all', 'all', 'almost all']"
2557,data/images/quantifier/test_2557.png,"['the smaller part', 'some', 'all', 'all', 'few']"
2592,data/images/quantifier/test_2592.png,"['almost all', 'the smaller part', 'some', 'almost all', 'most']"
2567,data/images/quantifier/test_2567.png,"['almost all', 'almost all', 'the smaller part', 'many', 'almost none']"
2487,data/images/quantifier/test_2487.png,"['all', 'most', 'all', 'some', 'some']"
2472,data/images/quantifier/test_2472.png,"['all', 'some', 'most', 'many', 'some']"
2054,data/images/quantifier/test_2054.png,"['some', 'almost all', 'almost all', 'many', 'many']"
2111,data/images/quantifier/test_2111.png,"['almost all', 'almost all', 'few', 'some', 'some']"
2019,data/images/quantifier/test_2019.png,"['the smaller part', 'almost all', 'many', 'many', 'almost all']"
2031,data/images/quantifier/test_2031.png,"['most', 'all', 'many', 'some', 'the smaller part']"
2137,data/images/quantifier/test_2137.png,"['almost all', 'the smaller part', 'all', 'all', 'many']"
2135,data/images/quantifier/test_2135.png,"['almost all', 'most', 'many', 'the smaller part', 'many']"
1486,data/images/quantifier/test_1486.png,"['none', 'the smaller part', 'almost all', 'almost all', 'almost all']"
1499,data/images/quantifier/test_1499.png,"['almost all', 'none', 'some', 'many', 'some']"
1502,data/images/quantifier/test_1502.png,"['almost all', 'few', 'few', 'the smaller part', 'none']"
1554,data/images/quantifier/test_1554.png,"['some', 'almost all', 'almost none', 'some', 'many']"
1493,data/images/quantifier/test_1493.png,"['all', 'most', 'most', 'some', 'most']"
1534,data/images/quantifier/test_1534.png,"['none', 'some', 'all', 'some', 'almost all']"
2658,data/images/quantifier/test_2658.png,"['the smaller part', 'the smaller part', 'all', 'all', 'many']"
2632,data/images/quantifier/test_2632.png,"['all', 'many', 'almost all', 'some', 'almost all']"
2789,data/images/quantifier/test_2789.png,"['almost all', 'almost all', 'few', 'some', 'almost all']"
2655,data/images/quantifier/test_2655.png,"['some', 'many', 'all', 'almost all', 'many']"
2603,data/images/quantifier/test_2603.png,"['many', 'many', 'almost all', 'many', 'almost all']"
2731,data/images/quantifier/test_2731.png,"['most', 'some', 'most', 'almost all', 'few']"
1982,data/images/quantifier/test_1982.png,"['all', 'some', 'almost all', 'some', 'all']"
1878,data/images/quantifier/test_1878.png,"['some', 'none', 'all', 'the smaller part', 'many']"
1912,data/images/quantifier/test_1912.png,"['almost all', 'many', 'few', 'some', 'all']"
1947,data/images/quantifier/test_1947.png,"['the smaller part', 'all', 'almost all', 'some', 'almost none']"
1858,data/images/quantifier/test_1858.png,"['almost all', 'some', 'almost none', 'almost none', 'almost all']"
1965,data/images/quantifier/test_1965.png,"['the smaller part', 'almost none', 'some', 'many', 'some']"
2893,data/images/quantifier/test_2893.png,"['some', 'many', 'many', 'almost all', 'many']"
2892,data/images/quantifier/test_2892.png,"['many', 'many', 'almost all', 'most', 'almost all']"
2945,data/images/quantifier/test_2945.png,"['many', 'almost all', 'many', 'almost all', 'many']"
2883,data/images/quantifier/test_2883.png,"['almost all', 'most', 'some', 'few', 'most']"
2985,data/images/quantifier/test_2985.png,"['the smaller part', 'all', 'all', 'most', 'some']"
2817,data/images/quantifier/test_2817.png,"['many', 'almost all', 'almost all', 'all', 'almost all']"
3139,data/images/quantifier/test_3139.png,"['most', 'many', 'some', 'many', 'many']"
3145,data/images/quantifier/test_3145.png,"['many', 'almost all', 'many', 'almost all', 'many']"
3157,data/images/quantifier/test_3157.png,"['many', 'almost all', 'most', 'almost all', 'many']"
3184,data/images/quantifier/test_3184.png,"['many', 'many', 'all', 'many', 'almost all']"
3110,data/images/quantifier/test_3110.png,"['many', 'almost all', 'many', 'most', 'many']"
3004,data/images/quantifier/test_3004.png,"['all', 'many', 'many', 'almost all', 'many']"
3310,data/images/quantifier/test_3310.png,"['some', 'all', 'all', 'all', 'almost all']"
3327,data/images/quantifier/test_3327.png,"['many', 'many', 'many', 'most', 'almost all']"
3249,data/images/quantifier/test_3249.png,"['few', 'many', 'many', 'almost all', 'many']"
3348,data/images/quantifier/test_3348.png,"['all', 'almost all', 'most', 'the smaller part', 'almost all']"
3353,data/images/quantifier/test_3353.png,"['almost all', 'many', 'many', 'almost all', 'almost all']"
3268,data/images/quantifier/test_3268.png,"['almost all', 'all', 'all', 'almost all', 'most']"
