index,image,llava_filtered_output
95,data/images/quantifier/test_95.png,"['none', 'none', 'none', 'none', 'almost none']"
15,data/images/quantifier/test_15.png,"['none', 'none', 'none', 'none', 'none']"
30,data/images/quantifier/test_30.png,"['almost none', 'some', 'none', 'none', 'almost none']"
158,data/images/quantifier/test_158.png,"['none', 'all', 'almost none', 'none', 'none']"
128,data/images/quantifier/test_128.png,"['none', 'none', 'none', 'the smaller part', 'none']"
115,data/images/quantifier/test_115.png,"['none', 'few', 'almost none', 'none', 'none']"
1776,data/images/quantifier/test_1776.png,"['the smaller part', 'many', 'all', 'many', 'most']"
1633,data/images/quantifier/test_1633.png,"['the smaller part', 'the smaller part', 'few', 'all', 'the smaller part']"
1721,data/images/quantifier/test_1721.png,"['the smaller part', 'few', 'none', 'many', 'almost all']"
1780,data/images/quantifier/test_1780.png,"['some', 'some', 'almost all', 'some', 'some']"
1702,data/images/quantifier/test_1702.png,"['all', 'most', 'the smaller part', 'some', 'many']"
1735,data/images/quantifier/test_1735.png,"['some', 'almost all', 'almost none', 'few', 'few']"
1160,data/images/quantifier/test_1160.png,"['many', 'almost none', 'almost all', 'all', 'many']"
1014,data/images/quantifier/test_1014.png,"['most', 'almost all', 'most', 'almost all', 'all']"
1109,data/images/quantifier/test_1109.png,"['some', 'some', 'many', 'some', 'almost all']"
1019,data/images/quantifier/test_1019.png,"['some', 'all', 'all', 'some', 'almost all']"
1122,data/images/quantifier/test_1122.png,"['almost all', 'many', 'almost all', 'many', 'almost all']"
1166,data/images/quantifier/test_1166.png,"['few', 'some', 'almost none', 'the smaller part', 'none']"
938,data/images/quantifier/test_938.png,"['some', 'all', 'few', 'some', 'almost none']"
870,data/images/quantifier/test_870.png,"['all', 'almost none', 'the smaller part', 'most', 'some']"
863,data/images/quantifier/test_863.png,"['many', 'some', 'none', 'none', 'almost all']"
934,data/images/quantifier/test_934.png,"['some', 'many', 'the smaller part', 'none', 'none']"
866,data/images/quantifier/test_866.png,"['many', 'many', 'almost none', 'some', 'most']"
932,data/images/quantifier/test_932.png,"['none', 'almost none', 'many', 'almost all', 'some']"
711,data/images/quantifier/test_711.png,"['few', 'almost all', 'almost all', 'almost all', 'few']"
780,data/images/quantifier/test_780.png,"['all', 'some', 'almost none', 'none', 'some']"
793,data/images/quantifier/test_793.png,"['few', 'few', 'some', 'few', 'almost none']"
615,data/images/quantifier/test_615.png,"['almost all', 'almost none', 'almost all', 'all', 'the smaller part']"
737,data/images/quantifier/test_737.png,"['some', 'few', 'some', 'almost none', 'some']"
758,data/images/quantifier/test_758.png,"['almost all', 'some', 'all', 'some', 'some']"
474,data/images/quantifier/test_474.png,"['almost none', 'some', 'almost none', 'some', 'some']"
558,data/images/quantifier/test_558.png,"['the smaller part', 'few', 'the smaller part', 'some', 'most']"
512,data/images/quantifier/test_512.png,"['almost all', 'the smaller part', 'none', 'few', 'none']"
487,data/images/quantifier/test_487.png,"['none', 'some', 'all', 'the smaller part', 'some']"
507,data/images/quantifier/test_507.png,"['none', 'none', 'none', 'the smaller part', 'most']"
492,data/images/quantifier/test_492.png,"['some', 'many', 'almost none', 'the smaller part', 'most']"
212,data/images/quantifier/test_212.png,"['some', 'some', 'the smaller part', 'almost all', 'some']"
260,data/images/quantifier/test_260.png,"['most', 'none', 'few', 'almost none', 'almost all']"
326,data/images/quantifier/test_326.png,"['few', 'the smaller part', 'the smaller part', 'most', 'many']"
384,data/images/quantifier/test_384.png,"['most', 'almost none', 'none', 'the smaller part', 'some']"
303,data/images/quantifier/test_303.png,"['almost none', 'most', 'almost none', 'none', 'almost all']"
394,data/images/quantifier/test_394.png,"['none', 'none', 'some', 'none', 'none']"
2229,data/images/quantifier/test_2229.png,"['almost all', 'some', 'almost all', 'almost all', 'some']"
2301,data/images/quantifier/test_2301.png,"['almost all', 'none', 'many', 'some', 'some']"
2243,data/images/quantifier/test_2243.png,"['some', 'many', 'almost all', 'almost all', 'some']"
2290,data/images/quantifier/test_2290.png,"['many', 'almost all', 'all', 'many', 'many']"
2201,data/images/quantifier/test_2201.png,"['some', 'almost none', 'almost all', 'the smaller part', 'some']"
1255,data/images/quantifier/test_1255.png,"['many', 'many', 'most', 'almost all', 'all']"
1341,data/images/quantifier/test_1341.png,"['few', 'almost all', 'few', 'almost none', 'the smaller part']"
1294,data/images/quantifier/test_1294.png,"['all', 'some', 'some', 'some', 'many']"
1204,data/images/quantifier/test_1204.png,"['all', 'some', 'most', 'many', 'some']"
1272,data/images/quantifier/test_1272.png,"['almost all', 'some', 'some', 'all', 'almost all']"
1302,data/images/quantifier/test_1302.png,"['all', 'some', 'some', 'all', 'almost all']"
2515,data/images/quantifier/test_2515.png,"['few', 'many', 'many', 'all', 'some']"
2557,data/images/quantifier/test_2557.png,"['none', 'few', 'the smaller part', 'some', 'some']"
2592,data/images/quantifier/test_2592.png,"['some', 'most', 'all', 'some', 'some']"
2567,data/images/quantifier/test_2567.png,"['some', 'all', 'almost all', 'many', 'most']"
2487,data/images/quantifier/test_2487.png,"['few', 'most', 'most', 'almost all', 'some']"
2472,data/images/quantifier/test_2472.png,"['all', 'the smaller part', 'many', 'almost all', 'almost none']"
2054,data/images/quantifier/test_2054.png,"['many', 'all', 'almost all', 'almost all', 'almost all']"
2111,data/images/quantifier/test_2111.png,"['all', 'almost all', 'the smaller part', 'most', 'some']"
2019,data/images/quantifier/test_2019.png,"['many', 'almost all', 'almost all', 'many', 'all']"
2031,data/images/quantifier/test_2031.png,"['almost all', 'some', 'almost all', 'the smaller part', 'few']"
2137,data/images/quantifier/test_2137.png,"['the smaller part', 'most', 'almost all', 'some', 'all']"
2135,data/images/quantifier/test_2135.png,"['most', 'many', 'some', 'many', 'many']"
1486,data/images/quantifier/test_1486.png,"['none', 'none', 'few', 'none', 'the smaller part']"
1499,data/images/quantifier/test_1499.png,"['few', 'many', 'almost all', 'few', 'some']"
1502,data/images/quantifier/test_1502.png,"['almost all', 'almost all', 'the smaller part', 'almost all', 'almost all']"
1554,data/images/quantifier/test_1554.png,"['almost all', 'all', 'all', 'some', 'all']"
1493,data/images/quantifier/test_1493.png,"['few', 'few', 'few', 'almost all', 'all']"
1534,data/images/quantifier/test_1534.png,"['almost all', 'the smaller part', 'some', 'none', 'some']"
2658,data/images/quantifier/test_2658.png,"['all', 'many', 'few', 'all', 'some']"
2632,data/images/quantifier/test_2632.png,"['many', 'many', 'almost all', 'many', 'most']"
2789,data/images/quantifier/test_2789.png,"['some', 'many', 'almost all', 'many', 'almost all']"
2655,data/images/quantifier/test_2655.png,"['many', 'many', 'almost all', 'many', 'almost all']"
2603,data/images/quantifier/test_2603.png,"['all', 'the smaller part', 'many', 'many', 'many']"
2731,data/images/quantifier/test_2731.png,"['almost all', 'almost all', 'many', 'almost all', 'some']"
1982,data/images/quantifier/test_1982.png,"['few', 'few', 'few', 'some', 'many']"
1878,data/images/quantifier/test_1878.png,"['few', 'few', 'most', 'many', 'some']"
1912,data/images/quantifier/test_1912.png,"['almost none', 'few', 'few', 'all', 'few']"
1947,data/images/quantifier/test_1947.png,"['some', 'all', 'almost all', 'almost all', 'almost all']"
1858,data/images/quantifier/test_1858.png,"['few', 'almost all', 'some', 'all', 'many']"
1965,data/images/quantifier/test_1965.png,"['almost none', 'all', 'almost all', 'almost all', 'all']"
2893,data/images/quantifier/test_2893.png,"['many', 'many', 'almost all', 'some', 'almost all']"
2892,data/images/quantifier/test_2892.png,"['almost all', 'many', 'almost all', 'many', 'some']"
2945,data/images/quantifier/test_2945.png,"['almost all', 'some', 'almost all', 'some', 'almost all']"
2883,data/images/quantifier/test_2883.png,"['some', 'almost all', 'most', 'some', 'almost all']"
2985,data/images/quantifier/test_2985.png,"['all', 'all', 'the smaller part', 'many', 'most']"
2817,data/images/quantifier/test_2817.png,"['almost all', 'all', 'almost all', 'all', 'many']"
3139,data/images/quantifier/test_3139.png,"['almost all', 'most', 'all', 'almost all', 'many']"
3145,data/images/quantifier/test_3145.png,"['almost all', 'all', 'many', 'many', 'many']"
3157,data/images/quantifier/test_3157.png,"['some', 'many', 'all', 'almost all', 'almost all']"
3184,data/images/quantifier/test_3184.png,"['many', 'the smaller part', 'the smaller part', 'almost all', 'almost all']"
3110,data/images/quantifier/test_3110.png,"['many', 'some', 'most', 'almost all', 'many']"
3004,data/images/quantifier/test_3004.png,"['many', 'all', 'many', 'all', 'many']"
3310,data/images/quantifier/test_3310.png,"['all', 'many', 'many', 'almost all', 'all']"
3327,data/images/quantifier/test_3327.png,"['none', 'almost all', 'all', 'many', 'almost all']"
3249,data/images/quantifier/test_3249.png,"['the smaller part', 'many', 'many', 'many', 'many']"
3348,data/images/quantifier/test_3348.png,"['all', 'almost all', 'almost all', 'the smaller part', 'most']"
3353,data/images/quantifier/test_3353.png,"['many', 'many', 'the smaller part', 'almost all', 'almost all']"
3268,data/images/quantifier/test_3268.png,"['almost all', 'the smaller part', 'many', 'most', 'all']"
