index,image_file,llava_output,shuffled_options,prompted_questions
2,data/images/quantifier/test_2.png,"[['F'], ['A: none'], ['A: none'], ['F'], ['D']]","[{'a': 'most', 'b': 'few', 'c': 'almost all', 'd': 'all', 'e': 'many', 'f': 'none', 'g': 'some', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'none', 'b': 'many', 'c': 'some', 'd': 'all', 'e': 'few', 'f': 'most', 'g': 'almost none', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'none', 'b': 'all', 'c': 'few', 'd': 'almost all', 'e': 'many', 'f': 'most', 'g': 'the smaller part', 'h': 'almost none', 'i': 'some'}, {'a': 'the smaller part', 'b': 'few', 'c': 'almost all', 'd': 'some', 'e': 'many', 'f': 'none', 'g': 'most', 'h': 'all', 'i': 'almost none'}, {'a': 'most', 'b': 'few', 'c': 'almost none', 'd': 'some', 'e': 'many', 'f': 'all', 'g': 'almost all', 'h': 'none', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost all\nD: all\nE: many\nF: none\nG: some\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: some\nD: all\nE: few\nF: most\nG: almost none\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: few\nD: almost all\nE: many\nF: most\nG: the smaller part\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: almost all\nD: some\nE: many\nF: none\nG: most\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost none\nD: some\nE: many\nF: all\nG: almost all\nH: none\nI: the smaller part\nAnswer:']"
5,data/images/quantifier/test_5.png,"[['D'], ['G'], ['B'], ['B'], ['B']]","[{'a': 'some', 'b': 'few', 'c': 'many', 'd': 'almost none', 'e': 'none', 'f': 'the smaller part', 'g': 'all', 'h': 'almost all', 'i': 'most'}, {'a': 'all', 'b': 'the smaller part', 'c': 'most', 'd': 'many', 'e': 'some', 'f': 'almost all', 'g': 'none', 'h': 'few', 'i': 'almost none'}, {'a': 'few', 'b': 'almost none', 'c': 'the smaller part', 'd': 'most', 'e': 'all', 'f': 'some', 'g': 'none', 'h': 'almost all', 'i': 'many'}, {'a': 'the smaller part', 'b': 'none', 'c': 'most', 'd': 'almost all', 'e': 'all', 'f': 'many', 'g': 'some', 'h': 'few', 'i': 'almost none'}, {'a': 'most', 'b': 'some', 'c': 'all', 'd': 'almost all', 'e': 'almost none', 'f': 'few', 'g': 'none', 'h': 'the smaller part', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: many\nD: almost none\nE: none\nF: the smaller part\nG: all\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: most\nD: many\nE: some\nF: almost all\nG: none\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: the smaller part\nD: most\nE: all\nF: some\nG: none\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: most\nD: almost all\nE: all\nF: many\nG: some\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: all\nD: almost all\nE: almost none\nF: few\nG: none\nH: the smaller part\nI: many\nAnswer:']"
13,data/images/quantifier/test_13.png,"[['D'], ['B'], ['C'], ['B'], ['B']]","[{'a': 'all', 'b': 'some', 'c': 'the smaller part', 'd': 'few', 'e': 'none', 'f': 'almost none', 'g': 'almost all', 'h': 'many', 'i': 'most'}, {'a': 'almost none', 'b': 'none', 'c': 'many', 'd': 'most', 'e': 'almost all', 'f': 'some', 'g': 'few', 'h': 'all', 'i': 'the smaller part'}, {'a': 'few', 'b': 'the smaller part', 'c': 'none', 'd': 'all', 'e': 'most', 'f': 'almost none', 'g': 'some', 'h': 'almost all', 'i': 'many'}, {'a': 'many', 'b': 'none', 'c': 'almost all', 'd': 'some', 'e': 'the smaller part', 'f': 'few', 'g': 'almost none', 'h': 'most', 'i': 'all'}, {'a': 'some', 'b': 'none', 'c': 'few', 'd': 'most', 'e': 'almost none', 'f': 'almost all', 'g': 'all', 'h': 'many', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: the smaller part\nD: few\nE: none\nF: almost none\nG: almost all\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: many\nD: most\nE: almost all\nF: some\nG: few\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: none\nD: all\nE: most\nF: almost none\nG: some\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: almost all\nD: some\nE: the smaller part\nF: few\nG: almost none\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: few\nD: most\nE: almost none\nF: almost all\nG: all\nH: many\nI: the smaller part\nAnswer:']"
16,data/images/quantifier/test_16.png,"[['D'], ['D'], ['D'], ['C'], ['C']]","[{'a': 'all', 'b': 'the smaller part', 'c': 'some', 'd': 'almost none', 'e': 'almost all', 'f': 'none', 'g': 'most', 'h': 'many', 'i': 'few'}, {'a': 'almost none', 'b': 'all', 'c': 'some', 'd': 'none', 'e': 'the smaller part', 'f': 'many', 'g': 'few', 'h': 'most', 'i': 'almost all'}, {'a': 'all', 'b': 'almost all', 'c': 'none', 'd': 'some', 'e': 'few', 'f': 'almost none', 'g': 'the smaller part', 'h': 'most', 'i': 'many'}, {'a': 'almost none', 'b': 'few', 'c': 'none', 'd': 'many', 'e': 'most', 'f': 'almost all', 'g': 'all', 'h': 'some', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'few', 'c': 'none', 'd': 'many', 'e': 'most', 'f': 'almost all', 'g': 'almost none', 'h': 'all', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: some\nD: almost none\nE: almost all\nF: none\nG: most\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: some\nD: none\nE: the smaller part\nF: many\nG: few\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: none\nD: some\nE: few\nF: almost none\nG: the smaller part\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: none\nD: many\nE: most\nF: almost all\nG: all\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: none\nD: many\nE: most\nF: almost all\nG: almost none\nH: all\nI: some\nAnswer:']"
20,data/images/quantifier/test_20.png,"[['A: none'], ['D'], ['B'], ['E'], ['C']]","[{'a': 'none', 'b': 'almost none', 'c': 'almost all', 'd': 'few', 'e': 'some', 'f': 'all', 'g': 'the smaller part', 'h': 'many', 'i': 'most'}, {'a': 'the smaller part', 'b': 'few', 'c': 'all', 'd': 'none', 'e': 'many', 'f': 'almost none', 'g': 'some', 'h': 'most', 'i': 'almost all'}, {'a': 'almost all', 'b': 'none', 'c': 'most', 'd': 'many', 'e': 'some', 'f': 'few', 'g': 'all', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'all', 'b': 'the smaller part', 'c': 'few', 'd': 'most', 'e': 'almost none', 'f': 'almost all', 'g': 'none', 'h': 'some', 'i': 'many'}, {'a': 'few', 'b': 'most', 'c': 'almost none', 'd': 'many', 'e': 'almost all', 'f': 'some', 'g': 'the smaller part', 'h': 'none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: almost all\nD: few\nE: some\nF: all\nG: the smaller part\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: all\nD: none\nE: many\nF: almost none\nG: some\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: none\nC: most\nD: many\nE: some\nF: few\nG: all\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: few\nD: most\nE: almost none\nF: almost all\nG: none\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: almost none\nD: many\nE: almost all\nF: some\nG: the smaller part\nH: none\nI: all\nAnswer:']"
24,data/images/quantifier/test_24.png,"[['C'], ['C'], ['C'], ['B'], ['B']]","[{'a': 'most', 'b': 'some', 'c': 'none', 'd': 'all', 'e': 'almost none', 'f': 'few', 'g': 'many', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'few', 'b': 'all', 'c': 'none', 'd': 'some', 'e': 'almost none', 'f': 'almost all', 'g': 'the smaller part', 'h': 'many', 'i': 'most'}, {'a': 'some', 'b': 'most', 'c': 'almost none', 'd': 'few', 'e': 'almost all', 'f': 'none', 'g': 'many', 'h': 'all', 'i': 'the smaller part'}, {'a': 'many', 'b': 'the smaller part', 'c': 'few', 'd': 'most', 'e': 'some', 'f': 'all', 'g': 'almost none', 'h': 'none', 'i': 'almost all'}, {'a': 'some', 'b': 'few', 'c': 'almost none', 'd': 'most', 'e': 'many', 'f': 'none', 'g': 'the smaller part', 'h': 'all', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: none\nD: all\nE: almost none\nF: few\nG: many\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: none\nD: some\nE: almost none\nF: almost all\nG: the smaller part\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: almost none\nD: few\nE: almost all\nF: none\nG: many\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: few\nD: most\nE: some\nF: all\nG: almost none\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: almost none\nD: most\nE: many\nF: none\nG: the smaller part\nH: all\nI: almost all\nAnswer:']"
25,data/images/quantifier/test_25.png,"[['B: none'], ['D'], ['C'], ['F'], ['D']]","[{'a': 'many', 'b': 'none', 'c': 'most', 'd': 'all', 'e': 'the smaller part', 'f': 'few', 'g': 'almost none', 'h': 'almost all', 'i': 'some'}, {'a': 'almost none', 'b': 'most', 'c': 'all', 'd': 'the smaller part', 'e': 'none', 'f': 'some', 'g': 'few', 'h': 'almost all', 'i': 'many'}, {'a': 'many', 'b': 'few', 'c': 'none', 'd': 'the smaller part', 'e': 'almost all', 'f': 'most', 'g': 'some', 'h': 'all', 'i': 'almost none'}, {'a': 'most', 'b': 'the smaller part', 'c': 'almost none', 'd': 'few', 'e': 'all', 'f': 'none', 'g': 'some', 'h': 'almost all', 'i': 'many'}, {'a': 'some', 'b': 'almost all', 'c': 'few', 'd': 'none', 'e': 'most', 'f': 'many', 'g': 'almost none', 'h': 'all', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: most\nD: all\nE: the smaller part\nF: few\nG: almost none\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: all\nD: the smaller part\nE: none\nF: some\nG: few\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: none\nD: the smaller part\nE: almost all\nF: most\nG: some\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: almost none\nD: few\nE: all\nF: none\nG: some\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: few\nD: none\nE: most\nF: many\nG: almost none\nH: all\nI: the smaller part\nAnswer:']"
29,data/images/quantifier/test_29.png,"[['C'], ['D'], ['B'], ['E'], ['F']]","[{'a': 'few', 'b': 'all', 'c': 'none', 'd': 'almost all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'many', 'h': 'some', 'i': 'most'}, {'a': 'most', 'b': 'almost all', 'c': 'many', 'd': 'some', 'e': 'all', 'f': 'none', 'g': 'few', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'many', 'b': 'almost none', 'c': 'almost all', 'd': 'most', 'e': 'few', 'f': 'the smaller part', 'g': 'some', 'h': 'none', 'i': 'all'}, {'a': 'many', 'b': 'all', 'c': 'some', 'd': 'almost all', 'e': 'none', 'f': 'most', 'g': 'almost none', 'h': 'few', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'all', 'c': 'few', 'd': 'most', 'e': 'some', 'f': 'none', 'g': 'the smaller part', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: none\nD: almost all\nE: almost none\nF: the smaller part\nG: many\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: many\nD: some\nE: all\nF: none\nG: few\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: almost all\nD: most\nE: few\nF: the smaller part\nG: some\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: some\nD: almost all\nE: none\nF: most\nG: almost none\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: few\nD: most\nE: some\nF: none\nG: the smaller part\nH: almost all\nI: many\nAnswer:']"
37,data/images/quantifier/test_37.png,"[['B'], ['I: none'], ['B: none'], ['I'], ['D']]","[{'a': 'the smaller part', 'b': 'none', 'c': 'some', 'd': 'many', 'e': 'almost none', 'f': 'most', 'g': 'all', 'h': 'few', 'i': 'almost all'}, {'a': 'few', 'b': 'some', 'c': 'almost none', 'd': 'most', 'e': 'the smaller part', 'f': 'all', 'g': 'almost all', 'h': 'many', 'i': 'none'}, {'a': 'few', 'b': 'none', 'c': 'most', 'd': 'all', 'e': 'many', 'f': 'some', 'g': 'the smaller part', 'h': 'almost all', 'i': 'almost none'}, {'a': 'all', 'b': 'almost all', 'c': 'the smaller part', 'd': 'few', 'e': 'most', 'f': 'some', 'g': 'many', 'h': 'almost none', 'i': 'none'}, {'a': 'all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'many', 'e': 'none', 'f': 'almost all', 'g': 'most', 'h': 'some', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: some\nD: many\nE: almost none\nF: most\nG: all\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: almost none\nD: most\nE: the smaller part\nF: all\nG: almost all\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: most\nD: all\nE: many\nF: some\nG: the smaller part\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: the smaller part\nD: few\nE: most\nF: some\nG: many\nH: almost none\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost none\nD: many\nE: none\nF: almost all\nG: most\nH: some\nI: few\nAnswer:']"
44,data/images/quantifier/test_44.png,"[['I: none'], ['B'], ['D'], ['C: none'], ['F']]","[{'a': 'the smaller part', 'b': 'many', 'c': 'some', 'd': 'most', 'e': 'almost all', 'f': 'few', 'g': 'almost none', 'h': 'all', 'i': 'none'}, {'a': 'all', 'b': 'none', 'c': 'almost none', 'd': 'almost all', 'e': 'the smaller part', 'f': 'many', 'g': 'few', 'h': 'most', 'i': 'some'}, {'a': 'almost all', 'b': 'all', 'c': 'many', 'd': 'almost none', 'e': 'most', 'f': 'some', 'g': 'the smaller part', 'h': 'none', 'i': 'few'}, {'a': 'almost all', 'b': 'many', 'c': 'none', 'd': 'some', 'e': 'few', 'f': 'almost none', 'g': 'most', 'h': 'the smaller part', 'i': 'all'}, {'a': 'the smaller part', 'b': 'all', 'c': 'few', 'd': 'many', 'e': 'some', 'f': 'none', 'g': 'almost none', 'h': 'most', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: some\nD: most\nE: almost all\nF: few\nG: almost none\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: almost none\nD: almost all\nE: the smaller part\nF: many\nG: few\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: many\nD: almost none\nE: most\nF: some\nG: the smaller part\nH: none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: none\nD: some\nE: few\nF: almost none\nG: most\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: few\nD: many\nE: some\nF: none\nG: almost none\nH: most\nI: almost all\nAnswer:']"
