index,image,llava_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['B'], ['B'], ['A: almost none'], ['D'], ['A: none']]","[{'a': 'most', 'b': 'none', 'c': 'the smaller part', 'd': 'almost none', 'e': 'few', 'f': 'some', 'g': 'all', 'h': 'almost all', 'i': 'many'}, {'a': 'few', 'b': 'none', 'c': 'almost none', 'd': 'some', 'e': 'almost all', 'f': 'the smaller part', 'g': 'many', 'h': 'most', 'i': 'all'}, {'a': 'almost none', 'b': 'many', 'c': 'some', 'd': 'all', 'e': 'few', 'f': 'the smaller part', 'g': 'most', 'h': 'almost all', 'i': 'none'}, {'a': 'some', 'b': 'few', 'c': 'most', 'd': 'almost none', 'e': 'almost all', 'f': 'many', 'g': 'all', 'h': 'the smaller part', 'i': 'none'}, {'a': 'none', 'b': 'some', 'c': 'all', 'd': 'most', 'e': 'the smaller part', 'f': 'many', 'g': 'almost all', 'h': 'few', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: the smaller part\nD: almost none\nE: few\nF: some\nG: all\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: almost none\nD: some\nE: almost all\nF: the smaller part\nG: many\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: some\nD: all\nE: few\nF: the smaller part\nG: most\nH: almost all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: most\nD: almost none\nE: almost all\nF: many\nG: all\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: all\nD: most\nE: the smaller part\nF: many\nG: almost all\nH: few\nI: almost none\nAnswer:']"
15,data/images/quantifier/test_15.png,"[['D'], ['B'], ['B'], ['I: none'], ['D']]","[{'a': 'some', 'b': 'all', 'c': 'many', 'd': 'almost none', 'e': 'the smaller part', 'f': 'almost all', 'g': 'none', 'h': 'few', 'i': 'most'}, {'a': 'almost all', 'b': 'all', 'c': 'few', 'd': 'most', 'e': 'the smaller part', 'f': 'some', 'g': 'none', 'h': 'many', 'i': 'almost none'}, {'a': 'almost all', 'b': 'few', 'c': 'almost none', 'd': 'all', 'e': 'some', 'f': 'most', 'g': 'none', 'h': 'many', 'i': 'the smaller part'}, {'a': 'few', 'b': 'most', 'c': 'the smaller part', 'd': 'all', 'e': 'some', 'f': 'many', 'g': 'almost none', 'h': 'almost all', 'i': 'none'}, {'a': 'some', 'b': 'most', 'c': 'all', 'd': 'almost none', 'e': 'the smaller part', 'f': 'none', 'g': 'almost all', 'h': 'many', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: many\nD: almost none\nE: the smaller part\nF: almost all\nG: none\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: few\nD: most\nE: the smaller part\nF: some\nG: none\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: almost none\nD: all\nE: some\nF: most\nG: none\nH: many\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: the smaller part\nD: all\nE: some\nF: many\nG: almost none\nH: almost all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: all\nD: almost none\nE: the smaller part\nF: none\nG: almost all\nH: many\nI: few\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['C'], ['D'], ['D'], ['B'], ['B']]","[{'a': 'many', 'b': 'almost all', 'c': 'none', 'd': 'few', 'e': 'some', 'f': 'most', 'g': 'the smaller part', 'h': 'all', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'almost none', 'd': 'some', 'e': 'none', 'f': 'all', 'g': 'many', 'h': 'most', 'i': 'few'}, {'a': 'almost all', 'b': 'most', 'c': 'almost none', 'd': 'few', 'e': 'many', 'f': 'all', 'g': 'the smaller part', 'h': 'none', 'i': 'some'}, {'a': 'some', 'b': 'none', 'c': 'few', 'd': 'most', 'e': 'many', 'f': 'all', 'g': 'almost all', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'almost none', 'c': 'many', 'd': 'some', 'e': 'none', 'f': 'all', 'g': 'almost all', 'h': 'most', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: none\nD: few\nE: some\nF: most\nG: the smaller part\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: almost none\nD: some\nE: none\nF: all\nG: many\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: almost none\nD: few\nE: many\nF: all\nG: the smaller part\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: few\nD: most\nE: many\nF: all\nG: almost all\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: many\nD: some\nE: none\nF: all\nG: almost all\nH: most\nI: few\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['E'], ['D'], ['A'], ['D'], ['B']]","[{'a': 'almost all', 'b': 'most', 'c': 'all', 'd': 'some', 'e': 'none', 'f': 'the smaller part', 'g': 'few', 'h': 'almost none', 'i': 'many'}, {'a': 'some', 'b': 'all', 'c': 'few', 'd': 'none', 'e': 'the smaller part', 'f': 'many', 'g': 'almost none', 'h': 'almost all', 'i': 'most'}, {'a': 'none', 'b': 'all', 'c': 'many', 'd': 'some', 'e': 'almost none', 'f': 'few', 'g': 'most', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'many', 'b': 'most', 'c': 'almost none', 'd': 'none', 'e': 'the smaller part', 'f': 'some', 'g': 'few', 'h': 'all', 'i': 'almost all'}, {'a': 'all', 'b': 'few', 'c': 'almost all', 'd': 'the smaller part', 'e': 'almost none', 'f': 'none', 'g': 'most', 'h': 'many', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: all\nD: some\nE: none\nF: the smaller part\nG: few\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: few\nD: none\nE: the smaller part\nF: many\nG: almost none\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: many\nD: some\nE: almost none\nF: few\nG: most\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: almost none\nD: none\nE: the smaller part\nF: some\nG: few\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: almost all\nD: the smaller part\nE: almost none\nF: none\nG: most\nH: many\nI: some\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['A: none'], ['I'], ['D'], ['I: few'], ['A']]","[{'a': 'none', 'b': 'all', 'c': 'almost all', 'd': 'the smaller part', 'e': 'most', 'f': 'few', 'g': 'many', 'h': 'almost none', 'i': 'some'}, {'a': 'all', 'b': 'the smaller part', 'c': 'most', 'd': 'almost all', 'e': 'few', 'f': 'many', 'g': 'none', 'h': 'some', 'i': 'almost none'}, {'a': 'all', 'b': 'none', 'c': 'almost all', 'd': 'almost none', 'e': 'the smaller part', 'f': 'many', 'g': 'few', 'h': 'most', 'i': 'some'}, {'a': 'almost none', 'b': 'the smaller part', 'c': 'none', 'd': 'most', 'e': 'all', 'f': 'almost all', 'g': 'many', 'h': 'some', 'i': 'few'}, {'a': 'almost none', 'b': 'some', 'c': 'almost all', 'd': 'most', 'e': 'all', 'f': 'few', 'g': 'many', 'h': 'the smaller part', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: almost all\nD: the smaller part\nE: most\nF: few\nG: many\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: most\nD: almost all\nE: few\nF: many\nG: none\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: almost all\nD: almost none\nE: the smaller part\nF: many\nG: few\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: none\nD: most\nE: all\nF: almost all\nG: many\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: almost all\nD: most\nE: all\nF: few\nG: many\nH: the smaller part\nI: none\nAnswer:']"
115,data/images/quantifier/test_115.png,"[['D'], ['B'], ['D'], ['D'], ['B']]","[{'a': 'most', 'b': 'the smaller part', 'c': 'many', 'd': 'almost none', 'e': 'none', 'f': 'all', 'g': 'almost all', 'h': 'few', 'i': 'some'}, {'a': 'most', 'b': 'few', 'c': 'some', 'd': 'many', 'e': 'none', 'f': 'almost all', 'g': 'almost none', 'h': 'the smaller part', 'i': 'all'}, {'a': 'most', 'b': 'some', 'c': 'almost all', 'd': 'none', 'e': 'all', 'f': 'almost none', 'g': 'few', 'h': 'the smaller part', 'i': 'many'}, {'a': 'few', 'b': 'all', 'c': 'almost none', 'd': 'none', 'e': 'some', 'f': 'the smaller part', 'g': 'many', 'h': 'almost all', 'i': 'most'}, {'a': 'many', 'b': 'almost none', 'c': 'the smaller part', 'd': 'most', 'e': 'almost all', 'f': 'all', 'g': 'some', 'h': 'none', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: many\nD: almost none\nE: none\nF: all\nG: almost all\nH: few\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: some\nD: many\nE: none\nF: almost all\nG: almost none\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: almost all\nD: none\nE: all\nF: almost none\nG: few\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost none\nD: none\nE: some\nF: the smaller part\nG: many\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: the smaller part\nD: most\nE: almost all\nF: all\nG: some\nH: none\nI: few\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['D'], ['D'], ['H'], ['D'], ['A: almost all']]","[{'a': 'almost none', 'b': 'few', 'c': 'all', 'd': 'many', 'e': 'almost all', 'f': 'most', 'g': 'some', 'h': 'the smaller part', 'i': 'none'}, {'a': 'most', 'b': 'many', 'c': 'none', 'd': 'some', 'e': 'almost all', 'f': 'almost none', 'g': 'the smaller part', 'h': 'all', 'i': 'few'}, {'a': 'some', 'b': 'the smaller part', 'c': 'all', 'd': 'almost none', 'e': 'almost all', 'f': 'none', 'g': 'few', 'h': 'many', 'i': 'most'}, {'a': 'none', 'b': 'almost none', 'c': 'almost all', 'd': 'most', 'e': 'many', 'f': 'the smaller part', 'g': 'few', 'h': 'some', 'i': 'all'}, {'a': 'almost all', 'b': 'few', 'c': 'the smaller part', 'd': 'some', 'e': 'many', 'f': 'most', 'g': 'none', 'h': 'almost none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: all\nD: many\nE: almost all\nF: most\nG: some\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: none\nD: some\nE: almost all\nF: almost none\nG: the smaller part\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: all\nD: almost none\nE: almost all\nF: none\nG: few\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: almost all\nD: most\nE: many\nF: the smaller part\nG: few\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: the smaller part\nD: some\nE: many\nF: most\nG: none\nH: almost none\nI: all\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['A'], ['D'], ['D'], ['B'], ['G']]","[{'a': 'some', 'b': 'most', 'c': 'few', 'd': 'the smaller part', 'e': 'many', 'f': 'almost all', 'g': 'none', 'h': 'all', 'i': 'almost none'}, {'a': 'most', 'b': 'almost none', 'c': 'the smaller part', 'd': 'some', 'e': 'all', 'f': 'almost all', 'g': 'few', 'h': 'many', 'i': 'none'}, {'a': 'many', 'b': 'the smaller part', 'c': 'all', 'd': 'some', 'e': 'almost none', 'f': 'none', 'g': 'almost all', 'h': 'most', 'i': 'few'}, {'a': 'many', 'b': 'none', 'c': 'few', 'd': 'most', 'e': 'almost all', 'f': 'some', 'g': 'almost none', 'h': 'all', 'i': 'the smaller part'}, {'a': 'most', 'b': 'almost all', 'c': 'almost none', 'd': 'the smaller part', 'e': 'none', 'f': 'few', 'g': 'some', 'h': 'many', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: few\nD: the smaller part\nE: many\nF: almost all\nG: none\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: the smaller part\nD: some\nE: all\nF: almost all\nG: few\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: all\nD: some\nE: almost none\nF: none\nG: almost all\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: few\nD: most\nE: almost all\nF: some\nG: almost none\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: almost none\nD: the smaller part\nE: none\nF: few\nG: some\nH: many\nI: all\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[['A'], ['C'], ['A'], ['B'], ['A']]","[{'a': 'many', 'b': 'almost all', 'c': 'almost none', 'd': 'some', 'e': 'the smaller part', 'f': 'none', 'g': 'all', 'h': 'few', 'i': 'most'}, {'a': 'none', 'b': 'all', 'c': 'most', 'd': 'many', 'e': 'some', 'f': 'almost all', 'g': 'few', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'most', 'b': 'few', 'c': 'almost all', 'd': 'the smaller part', 'e': 'none', 'f': 'some', 'g': 'all', 'h': 'many', 'i': 'almost none'}, {'a': 'all', 'b': 'some', 'c': 'none', 'd': 'the smaller part', 'e': 'almost none', 'f': 'most', 'g': 'many', 'h': 'few', 'i': 'almost all'}, {'a': 'many', 'b': 'almost all', 'c': 'some', 'd': 'most', 'e': 'almost none', 'f': 'none', 'g': 'all', 'h': 'the smaller part', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: almost none\nD: some\nE: the smaller part\nF: none\nG: all\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: most\nD: many\nE: some\nF: almost all\nG: few\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost all\nD: the smaller part\nE: none\nF: some\nG: all\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: none\nD: the smaller part\nE: almost none\nF: most\nG: many\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: some\nD: most\nE: almost none\nF: none\nG: all\nH: the smaller part\nI: few\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['B'], ['B'], ['G'], ['A'], ['D']]","[{'a': 'the smaller part', 'b': 'all', 'c': 'most', 'd': 'none', 'e': 'some', 'f': 'many', 'g': 'almost all', 'h': 'almost none', 'i': 'few'}, {'a': 'none', 'b': 'almost all', 'c': 'almost none', 'd': 'few', 'e': 'all', 'f': 'some', 'g': 'the smaller part', 'h': 'most', 'i': 'many'}, {'a': 'none', 'b': 'almost none', 'c': 'almost all', 'd': 'all', 'e': 'the smaller part', 'f': 'some', 'g': 'few', 'h': 'many', 'i': 'most'}, {'a': 'almost all', 'b': 'some', 'c': 'many', 'd': 'most', 'e': 'almost none', 'f': 'none', 'g': 'the smaller part', 'h': 'few', 'i': 'all'}, {'a': 'all', 'b': 'few', 'c': 'almost none', 'd': 'many', 'e': 'almost all', 'f': 'none', 'g': 'the smaller part', 'h': 'some', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: most\nD: none\nE: some\nF: many\nG: almost all\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: almost none\nD: few\nE: all\nF: some\nG: the smaller part\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: almost all\nD: all\nE: the smaller part\nF: some\nG: few\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: many\nD: most\nE: almost none\nF: none\nG: the smaller part\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: almost none\nD: many\nE: almost all\nF: none\nG: the smaller part\nH: some\nI: most\nAnswer:']"
