index,image_file,llava_output,shuffled_options,prompted_questions
2,data/images/quantifier/test_2.png,"[['B'], ['A: none'], ['I'], ['A: none'], ['D']]","[{'a': 'almost none', 'b': 'none', 'c': 'some', 'd': 'most', 'e': 'many', 'f': 'all', 'g': 'few', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'none', 'b': 'some', 'c': 'almost all', 'd': 'most', 'e': 'the smaller part', 'f': 'few', 'g': 'all', 'h': 'many', 'i': 'almost none'}, {'a': 'almost all', 'b': 'all', 'c': 'some', 'd': 'few', 'e': 'almost none', 'f': 'many', 'g': 'the smaller part', 'h': 'most', 'i': 'none'}, {'a': 'none', 'b': 'almost none', 'c': 'many', 'd': 'almost all', 'e': 'all', 'f': 'most', 'g': 'few', 'h': 'the smaller part', 'i': 'some'}, {'a': 'all', 'b': 'almost all', 'c': 'few', 'd': 'some', 'e': 'almost none', 'f': 'the smaller part', 'g': 'none', 'h': 'many', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: some\nD: most\nE: many\nF: all\nG: few\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: almost all\nD: most\nE: the smaller part\nF: few\nG: all\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: some\nD: few\nE: almost none\nF: many\nG: the smaller part\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: many\nD: almost all\nE: all\nF: most\nG: few\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: few\nD: some\nE: almost none\nF: the smaller part\nG: none\nH: many\nI: most\nAnswer:']"
5,data/images/quantifier/test_5.png,"[['I'], ['A: none'], ['F'], ['D'], ['A: none']]","[{'a': 'few', 'b': 'most', 'c': 'almost all', 'd': 'some', 'e': 'almost none', 'f': 'all', 'g': 'many', 'h': 'the smaller part', 'i': 'none'}, {'a': 'none', 'b': 'many', 'c': 'almost all', 'd': 'the smaller part', 'e': 'few', 'f': 'some', 'g': 'all', 'h': 'almost none', 'i': 'most'}, {'a': 'some', 'b': 'almost all', 'c': 'many', 'd': 'few', 'e': 'the smaller part', 'f': 'none', 'g': 'all', 'h': 'most', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'most', 'c': 'some', 'd': 'almost none', 'e': 'almost all', 'f': 'many', 'g': 'none', 'h': 'few', 'i': 'all'}, {'a': 'none', 'b': 'some', 'c': 'almost none', 'd': 'many', 'e': 'almost all', 'f': 'all', 'g': 'few', 'h': 'the smaller part', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: almost all\nD: some\nE: almost none\nF: all\nG: many\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: almost all\nD: the smaller part\nE: few\nF: some\nG: all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: many\nD: few\nE: the smaller part\nF: none\nG: all\nH: most\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: some\nD: almost none\nE: almost all\nF: many\nG: none\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: almost none\nD: many\nE: almost all\nF: all\nG: few\nH: the smaller part\nI: most\nAnswer:']"
13,data/images/quantifier/test_13.png,"[['A: none'], ['B'], ['G'], ['B: almost none'], ['D']]","[{'a': 'none', 'b': 'some', 'c': 'most', 'd': 'almost all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'few', 'h': 'many', 'i': 'all'}, {'a': 'some', 'b': 'almost none', 'c': 'most', 'd': 'many', 'e': 'the smaller part', 'f': 'all', 'g': 'none', 'h': 'almost all', 'i': 'few'}, {'a': 'some', 'b': 'most', 'c': 'few', 'd': 'many', 'e': 'all', 'f': 'the smaller part', 'g': 'none', 'h': 'almost none', 'i': 'almost all'}, {'a': 'few', 'b': 'almost none', 'c': 'none', 'd': 'almost all', 'e': 'some', 'f': 'most', 'g': 'the smaller part', 'h': 'many', 'i': 'all'}, {'a': 'few', 'b': 'almost all', 'c': 'all', 'd': 'none', 'e': 'the smaller part', 'f': 'some', 'g': 'most', 'h': 'almost none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: most\nD: almost all\nE: almost none\nF: the smaller part\nG: few\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: most\nD: many\nE: the smaller part\nF: all\nG: none\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: few\nD: many\nE: all\nF: the smaller part\nG: none\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: none\nD: almost all\nE: some\nF: most\nG: the smaller part\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: all\nD: none\nE: the smaller part\nF: some\nG: most\nH: almost none\nI: many\nAnswer:']"
16,data/images/quantifier/test_16.png,"[['H'], ['B'], ['B'], ['H'], ['E']]","[{'a': 'most', 'b': 'almost all', 'c': 'many', 'd': 'all', 'e': 'almost none', 'f': 'few', 'g': 'some', 'h': 'none', 'i': 'the smaller part'}, {'a': 'most', 'b': 'few', 'c': 'almost all', 'd': 'the smaller part', 'e': 'almost none', 'f': 'some', 'g': 'none', 'h': 'all', 'i': 'many'}, {'a': 'almost none', 'b': 'none', 'c': 'the smaller part', 'd': 'most', 'e': 'few', 'f': 'many', 'g': 'almost all', 'h': 'some', 'i': 'all'}, {'a': 'most', 'b': 'many', 'c': 'all', 'd': 'almost all', 'e': 'few', 'f': 'the smaller part', 'g': 'some', 'h': 'none', 'i': 'almost none'}, {'a': 'all', 'b': 'the smaller part', 'c': 'few', 'd': 'most', 'e': 'none', 'f': 'many', 'g': 'some', 'h': 'almost none', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: many\nD: all\nE: almost none\nF: few\nG: some\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost all\nD: the smaller part\nE: almost none\nF: some\nG: none\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: the smaller part\nD: most\nE: few\nF: many\nG: almost all\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: all\nD: almost all\nE: few\nF: the smaller part\nG: some\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: few\nD: most\nE: none\nF: many\nG: some\nH: almost none\nI: almost all\nAnswer:']"
20,data/images/quantifier/test_20.png,"[['B'], ['E'], ['B: almost none'], ['D'], ['B']]","[{'a': 'many', 'b': 'none', 'c': 'all', 'd': 'most', 'e': 'almost all', 'f': 'the smaller part', 'g': 'almost none', 'h': 'some', 'i': 'few'}, {'a': 'few', 'b': 'almost all', 'c': 'all', 'd': 'the smaller part', 'e': 'none', 'f': 'most', 'g': 'almost none', 'h': 'some', 'i': 'many'}, {'a': 'few', 'b': 'almost none', 'c': 'none', 'd': 'almost all', 'e': 'all', 'f': 'most', 'g': 'the smaller part', 'h': 'many', 'i': 'some'}, {'a': 'almost all', 'b': 'most', 'c': 'some', 'd': 'the smaller part', 'e': 'almost none', 'f': 'few', 'g': 'none', 'h': 'all', 'i': 'many'}, {'a': 'some', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'most', 'f': 'many', 'g': 'few', 'h': 'none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: all\nD: most\nE: almost all\nF: the smaller part\nG: almost none\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: all\nD: the smaller part\nE: none\nF: most\nG: almost none\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: none\nD: almost all\nE: all\nF: most\nG: the smaller part\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: some\nD: the smaller part\nE: almost none\nF: few\nG: none\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: almost none\nD: almost all\nE: most\nF: many\nG: few\nH: none\nI: all\nAnswer:']"
24,data/images/quantifier/test_24.png,"[['D'], ['B'], ['I'], ['D'], ['B']]","[{'a': 'all', 'b': 'some', 'c': 'almost none', 'd': 'none', 'e': 'most', 'f': 'the smaller part', 'g': 'few', 'h': 'almost all', 'i': 'many'}, {'a': 'the smaller part', 'b': 'none', 'c': 'many', 'd': 'most', 'e': 'few', 'f': 'almost all', 'g': 'all', 'h': 'some', 'i': 'almost none'}, {'a': 'few', 'b': 'all', 'c': 'most', 'd': 'almost all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'many', 'h': 'some', 'i': 'none'}, {'a': 'almost all', 'b': 'all', 'c': 'some', 'd': 'almost none', 'e': 'few', 'f': 'none', 'g': 'many', 'h': 'most', 'i': 'the smaller part'}, {'a': 'many', 'b': 'none', 'c': 'the smaller part', 'd': 'all', 'e': 'almost none', 'f': 'most', 'g': 'almost all', 'h': 'few', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: almost none\nD: none\nE: most\nF: the smaller part\nG: few\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: many\nD: most\nE: few\nF: almost all\nG: all\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: most\nD: almost all\nE: almost none\nF: the smaller part\nG: many\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: some\nD: almost none\nE: few\nF: none\nG: many\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: the smaller part\nD: all\nE: almost none\nF: most\nG: almost all\nH: few\nI: some\nAnswer:']"
25,data/images/quantifier/test_25.png,"[['G: none'], ['E'], ['B'], ['I: none'], ['B']]","[{'a': 'few', 'b': 'almost all', 'c': 'many', 'd': 'the smaller part', 'e': 'all', 'f': 'some', 'g': 'none', 'h': 'almost none', 'i': 'most'}, {'a': 'most', 'b': 'almost all', 'c': 'few', 'd': 'all', 'e': 'none', 'f': 'almost none', 'g': 'the smaller part', 'h': 'many', 'i': 'some'}, {'a': 'most', 'b': 'none', 'c': 'some', 'd': 'few', 'e': 'the smaller part', 'f': 'many', 'g': 'almost all', 'h': 'almost none', 'i': 'all'}, {'a': 'many', 'b': 'the smaller part', 'c': 'few', 'd': 'all', 'e': 'most', 'f': 'almost all', 'g': 'some', 'h': 'almost none', 'i': 'none'}, {'a': 'the smaller part', 'b': 'almost none', 'c': 'almost all', 'd': 'few', 'e': 'none', 'f': 'all', 'g': 'most', 'h': 'some', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: many\nD: the smaller part\nE: all\nF: some\nG: none\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: few\nD: all\nE: none\nF: almost none\nG: the smaller part\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: some\nD: few\nE: the smaller part\nF: many\nG: almost all\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: few\nD: all\nE: most\nF: almost all\nG: some\nH: almost none\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: almost all\nD: few\nE: none\nF: all\nG: most\nH: some\nI: many\nAnswer:']"
29,data/images/quantifier/test_29.png,"[['D'], ['C'], ['A: none'], ['A: none'], ['I']]","[{'a': 'many', 'b': 'most', 'c': 'almost all', 'd': 'few', 'e': 'some', 'f': 'none', 'g': 'almost none', 'h': 'all', 'i': 'the smaller part'}, {'a': 'some', 'b': 'all', 'c': 'almost none', 'd': 'most', 'e': 'the smaller part', 'f': 'almost all', 'g': 'none', 'h': 'few', 'i': 'many'}, {'a': 'none', 'b': 'many', 'c': 'all', 'd': 'almost all', 'e': 'some', 'f': 'the smaller part', 'g': 'most', 'h': 'few', 'i': 'almost none'}, {'a': 'none', 'b': 'most', 'c': 'some', 'd': 'almost all', 'e': 'many', 'f': 'almost none', 'g': 'the smaller part', 'h': 'few', 'i': 'all'}, {'a': 'almost all', 'b': 'all', 'c': 'almost none', 'd': 'many', 'e': 'the smaller part', 'f': 'most', 'g': 'few', 'h': 'none', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: almost all\nD: few\nE: some\nF: none\nG: almost none\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: almost none\nD: most\nE: the smaller part\nF: almost all\nG: none\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: all\nD: almost all\nE: some\nF: the smaller part\nG: most\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: some\nD: almost all\nE: many\nF: almost none\nG: the smaller part\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: almost none\nD: many\nE: the smaller part\nF: most\nG: few\nH: none\nI: some\nAnswer:']"
37,data/images/quantifier/test_37.png,"[['B'], ['C'], ['D'], ['I'], ['F']]","[{'a': 'many', 'b': 'none', 'c': 'almost none', 'd': 'almost all', 'e': 'few', 'f': 'some', 'g': 'most', 'h': 'all', 'i': 'the smaller part'}, {'a': 'few', 'b': 'some', 'c': 'none', 'd': 'almost none', 'e': 'almost all', 'f': 'all', 'g': 'the smaller part', 'h': 'many', 'i': 'most'}, {'a': 'most', 'b': 'many', 'c': 'few', 'd': 'none', 'e': 'almost none', 'f': 'the smaller part', 'g': 'some', 'h': 'almost all', 'i': 'all'}, {'a': 'all', 'b': 'the smaller part', 'c': 'many', 'd': 'almost all', 'e': 'almost none', 'f': 'none', 'g': 'most', 'h': 'few', 'i': 'some'}, {'a': 'few', 'b': 'the smaller part', 'c': 'some', 'd': 'many', 'e': 'all', 'f': 'none', 'g': 'most', 'h': 'almost none', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: almost none\nD: almost all\nE: few\nF: some\nG: most\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: none\nD: almost none\nE: almost all\nF: all\nG: the smaller part\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: few\nD: none\nE: almost none\nF: the smaller part\nG: some\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: many\nD: almost all\nE: almost none\nF: none\nG: most\nH: few\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: some\nD: many\nE: all\nF: none\nG: most\nH: almost none\nI: almost all\nAnswer:']"
44,data/images/quantifier/test_44.png,"[['B'], ['B'], ['B'], ['E'], ['F']]","[{'a': 'some', 'b': 'none', 'c': 'few', 'd': 'many', 'e': 'most', 'f': 'almost all', 'g': 'the smaller part', 'h': 'all', 'i': 'almost none'}, {'a': 'many', 'b': 'some', 'c': 'most', 'd': 'almost all', 'e': 'few', 'f': 'the smaller part', 'g': 'none', 'h': 'all', 'i': 'almost none'}, {'a': 'some', 'b': 'none', 'c': 'all', 'd': 'almost none', 'e': 'almost all', 'f': 'many', 'g': 'the smaller part', 'h': 'most', 'i': 'few'}, {'a': 'few', 'b': 'most', 'c': 'many', 'd': 'all', 'e': 'none', 'f': 'some', 'g': 'the smaller part', 'h': 'almost none', 'i': 'almost all'}, {'a': 'few', 'b': 'almost all', 'c': 'all', 'd': 'many', 'e': 'the smaller part', 'f': 'none', 'g': 'most', 'h': 'some', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: few\nD: many\nE: most\nF: almost all\nG: the smaller part\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: most\nD: almost all\nE: few\nF: the smaller part\nG: none\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: all\nD: almost none\nE: almost all\nF: many\nG: the smaller part\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: many\nD: all\nE: none\nF: some\nG: the smaller part\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: all\nD: many\nE: the smaller part\nF: none\nG: most\nH: some\nI: almost none\nAnswer:']"
