index,image,llava_filtered_output
95,data/images/quantifier/test_95.png,"['none', 'almost none', 'none', 'most', 'almost none']"
15,data/images/quantifier/test_15.png,"['most', 'none', 'some', 'none', 'almost none']"
30,data/images/quantifier/test_30.png,"['few', 'almost none', 'almost none', 'none', 'some']"
158,data/images/quantifier/test_158.png,"['few', 'none', 'few', 'none', 'almost none']"
128,data/images/quantifier/test_128.png,"['all', 'almost none', 'some', 'almost none', 'none']"
115,data/images/quantifier/test_115.png,"['none', 'almost all', 'almost none', 'none', 'none']"
1776,data/images/quantifier/test_1776.png,"['almost all', 'many', 'many', 'almost all', 'some']"
1633,data/images/quantifier/test_1633.png,"['some', 'some', 'few', 'some', 'the smaller part']"
1721,data/images/quantifier/test_1721.png,"['many', 'almost none', 'many', 'almost all', 'the smaller part']"
1780,data/images/quantifier/test_1780.png,"['almost none', 'many', 'some', 'almost all', 'some']"
1702,data/images/quantifier/test_1702.png,"['the smaller part', 'almost all', 'all', 'most', 'almost all']"
1735,data/images/quantifier/test_1735.png,"['almost none', 'the smaller part', 'almost none', 'few', 'none']"
1160,data/images/quantifier/test_1160.png,"['none', 'none', 'many', 'the smaller part', 'almost all']"
1014,data/images/quantifier/test_1014.png,"['many', 'few', 'all', 'most', 'many']"
1109,data/images/quantifier/test_1109.png,"['some', 'none', 'few', 'the smaller part', 'almost all']"
1019,data/images/quantifier/test_1019.png,"['some', 'almost all', 'many', 'some', 'almost all']"
1122,data/images/quantifier/test_1122.png,"['almost all', 'many', 'many', 'some', 'many']"
1166,data/images/quantifier/test_1166.png,"['almost none', 'none', 'the smaller part', 'none', 'none']"
938,data/images/quantifier/test_938.png,"['few', 'almost none', 'almost all', 'many', 'many']"
870,data/images/quantifier/test_870.png,"['some', 'almost none', 'few', 'almost none', 'none']"
863,data/images/quantifier/test_863.png,"['few', 'almost none', 'some', 'almost none', 'some']"
934,data/images/quantifier/test_934.png,"['almost none', 'most', 'almost all', 'almost none', 'some']"
866,data/images/quantifier/test_866.png,"['almost all', 'many', 'all', 'almost all', 'almost all']"
932,data/images/quantifier/test_932.png,"['almost none', 'some', 'some', 'few', 'almost none']"
711,data/images/quantifier/test_711.png,"['almost all', 'almost none', 'none', 'almost none', 'some']"
780,data/images/quantifier/test_780.png,"['almost none', 'few', 'almost none', 'almost all', 'some']"
793,data/images/quantifier/test_793.png,"['none', 'none', 'few', 'none', 'some']"
615,data/images/quantifier/test_615.png,"['almost none', 'all', 'few', 'almost all', 'none']"
737,data/images/quantifier/test_737.png,"['all', 'some', 'some', 'almost all', 'the smaller part']"
