index,image_file,llava_output,shuffled_options,prompted_questions
2,data/images/quantifier/test_2.png,"[['D'], ['A: none'], ['B'], ['D'], ['I']]","[{'a': 'almost none', 'b': 'most', 'c': 'the smaller part', 'd': 'none', 'e': 'many', 'f': 'all', 'g': 'few', 'h': 'almost all', 'i': 'some'}, {'a': 'none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'all', 'e': 'many', 'f': 'some', 'g': 'almost none', 'h': 'most', 'i': 'few'}, {'a': 'the smaller part', 'b': 'none', 'c': 'almost none', 'd': 'most', 'e': 'few', 'f': 'almost all', 'g': 'some', 'h': 'many', 'i': 'all'}, {'a': 'almost all', 'b': 'most', 'c': 'some', 'd': 'none', 'e': 'almost none', 'f': 'the smaller part', 'g': 'many', 'h': 'all', 'i': 'few'}, {'a': 'almost none', 'b': 'most', 'c': 'few', 'd': 'the smaller part', 'e': 'all', 'f': 'some', 'g': 'almost all', 'h': 'many', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: the smaller part\nD: none\nE: many\nF: all\nG: few\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: the smaller part\nD: all\nE: many\nF: some\nG: almost none\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost none\nD: most\nE: few\nF: almost all\nG: some\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: some\nD: none\nE: almost none\nF: the smaller part\nG: many\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: few\nD: the smaller part\nE: all\nF: some\nG: almost all\nH: many\nI: none\nAnswer:']"
5,data/images/quantifier/test_5.png,"[['D'], ['E'], ['I'], ['I: none'], ['B']]","[{'a': 'most', 'b': 'some', 'c': 'few', 'd': 'none', 'e': 'all', 'f': 'the smaller part', 'g': 'many', 'h': 'almost none', 'i': 'almost all'}, {'a': 'most', 'b': 'some', 'c': 'many', 'd': 'almost all', 'e': 'none', 'f': 'the smaller part', 'g': 'almost none', 'h': 'all', 'i': 'few'}, {'a': 'the smaller part', 'b': 'almost none', 'c': 'many', 'd': 'most', 'e': 'some', 'f': 'all', 'g': 'almost all', 'h': 'few', 'i': 'none'}, {'a': 'most', 'b': 'some', 'c': 'all', 'd': 'almost all', 'e': 'the smaller part', 'f': 'few', 'g': 'almost none', 'h': 'many', 'i': 'none'}, {'a': 'most', 'b': 'none', 'c': 'some', 'd': 'almost none', 'e': 'few', 'f': 'the smaller part', 'g': 'almost all', 'h': 'all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: few\nD: none\nE: all\nF: the smaller part\nG: many\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: many\nD: almost all\nE: none\nF: the smaller part\nG: almost none\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: many\nD: most\nE: some\nF: all\nG: almost all\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: all\nD: almost all\nE: the smaller part\nF: few\nG: almost none\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: some\nD: almost none\nE: few\nF: the smaller part\nG: almost all\nH: all\nI: many\nAnswer:']"
13,data/images/quantifier/test_13.png,"[['D'], ['I'], ['E'], ['D'], ['I: few']]","[{'a': 'almost all', 'b': 'many', 'c': 'few', 'd': 'some', 'e': 'most', 'f': 'almost none', 'g': 'none', 'h': 'all', 'i': 'the smaller part'}, {'a': 'all', 'b': 'almost all', 'c': 'few', 'd': 'almost none', 'e': 'most', 'f': 'some', 'g': 'many', 'h': 'the smaller part', 'i': 'none'}, {'a': 'some', 'b': 'most', 'c': 'almost none', 'd': 'many', 'e': 'none', 'f': 'few', 'g': 'all', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'almost none', 'b': 'most', 'c': 'few', 'd': 'none', 'e': 'many', 'f': 'the smaller part', 'g': 'some', 'h': 'almost all', 'i': 'all'}, {'a': 'most', 'b': 'all', 'c': 'the smaller part', 'd': 'almost all', 'e': 'many', 'f': 'none', 'g': 'almost none', 'h': 'some', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: few\nD: some\nE: most\nF: almost none\nG: none\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: few\nD: almost none\nE: most\nF: some\nG: many\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: almost none\nD: many\nE: none\nF: few\nG: all\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: few\nD: none\nE: many\nF: the smaller part\nG: some\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: the smaller part\nD: almost all\nE: many\nF: none\nG: almost none\nH: some\nI: few\nAnswer:']"
16,data/images/quantifier/test_16.png,"[['B'], ['A: none'], ['C'], ['D'], ['D']]","[{'a': 'some', 'b': 'none', 'c': 'almost all', 'd': 'few', 'e': 'many', 'f': 'the smaller part', 'g': 'almost none', 'h': 'all', 'i': 'most'}, {'a': 'none', 'b': 'the smaller part', 'c': 'almost none', 'd': 'most', 'e': 'many', 'f': 'few', 'g': 'all', 'h': 'almost all', 'i': 'some'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'none', 'd': 'most', 'e': 'few', 'f': 'all', 'g': 'many', 'h': 'almost none', 'i': 'some'}, {'a': 'most', 'b': 'many', 'c': 'all', 'd': 'almost none', 'e': 'almost all', 'f': 'some', 'g': 'the smaller part', 'h': 'none', 'i': 'few'}, {'a': 'most', 'b': 'few', 'c': 'almost all', 'd': 'all', 'e': 'some', 'f': 'almost none', 'g': 'none', 'h': 'many', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: almost all\nD: few\nE: many\nF: the smaller part\nG: almost none\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: almost none\nD: most\nE: many\nF: few\nG: all\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: none\nD: most\nE: few\nF: all\nG: many\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: all\nD: almost none\nE: almost all\nF: some\nG: the smaller part\nH: none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost all\nD: all\nE: some\nF: almost none\nG: none\nH: many\nI: the smaller part\nAnswer:']"
20,data/images/quantifier/test_20.png,"[['D'], ['B'], ['G'], ['D'], ['D']]","[{'a': 'some', 'b': 'few', 'c': 'most', 'd': 'none', 'e': 'almost all', 'f': 'many', 'g': 'all', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'none', 'c': 'some', 'd': 'the smaller part', 'e': 'few', 'f': 'many', 'g': 'most', 'h': 'almost all', 'i': 'all'}, {'a': 'many', 'b': 'most', 'c': 'some', 'd': 'almost all', 'e': 'few', 'f': 'all', 'g': 'none', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'some', 'b': 'most', 'c': 'many', 'd': 'none', 'e': 'almost all', 'f': 'few', 'g': 'almost none', 'h': 'all', 'i': 'the smaller part'}, {'a': 'many', 'b': 'most', 'c': 'all', 'd': 'some', 'e': 'the smaller part', 'f': 'almost none', 'g': 'none', 'h': 'few', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: most\nD: none\nE: almost all\nF: many\nG: all\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: some\nD: the smaller part\nE: few\nF: many\nG: most\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: some\nD: almost all\nE: few\nF: all\nG: none\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: many\nD: none\nE: almost all\nF: few\nG: almost none\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: all\nD: some\nE: the smaller part\nF: almost none\nG: none\nH: few\nI: almost all\nAnswer:']"
24,data/images/quantifier/test_24.png,"[['D'], ['C'], ['C'], ['B'], ['B']]","[{'a': 'many', 'b': 'few', 'c': 'some', 'd': 'almost none', 'e': 'most', 'f': 'the smaller part', 'g': 'all', 'h': 'none', 'i': 'almost all'}, {'a': 'all', 'b': 'almost all', 'c': 'none', 'd': 'some', 'e': 'many', 'f': 'most', 'g': 'almost none', 'h': 'few', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'all', 'c': 'none', 'd': 'few', 'e': 'almost all', 'f': 'almost none', 'g': 'some', 'h': 'many', 'i': 'most'}, {'a': 'all', 'b': 'almost none', 'c': 'the smaller part', 'd': 'most', 'e': 'almost all', 'f': 'some', 'g': 'few', 'h': 'none', 'i': 'many'}, {'a': 'many', 'b': 'almost none', 'c': 'none', 'd': 'some', 'e': 'all', 'f': 'few', 'g': 'the smaller part', 'h': 'most', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: some\nD: almost none\nE: most\nF: the smaller part\nG: all\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: none\nD: some\nE: many\nF: most\nG: almost none\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: none\nD: few\nE: almost all\nF: almost none\nG: some\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: the smaller part\nD: most\nE: almost all\nF: some\nG: few\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: none\nD: some\nE: all\nF: few\nG: the smaller part\nH: most\nI: almost all\nAnswer:']"
25,data/images/quantifier/test_25.png,"[['B'], ['A: none'], ['B'], ['H'], ['E']]","[{'a': 'many', 'b': 'almost none', 'c': 'almost all', 'd': 'none', 'e': 'few', 'f': 'the smaller part', 'g': 'all', 'h': 'most', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'few', 'd': 'almost none', 'e': 'some', 'f': 'many', 'g': 'all', 'h': 'most', 'i': 'almost all'}, {'a': 'some', 'b': 'none', 'c': 'few', 'd': 'many', 'e': 'the smaller part', 'f': 'almost all', 'g': 'almost none', 'h': 'all', 'i': 'most'}, {'a': 'the smaller part', 'b': 'all', 'c': 'some', 'd': 'most', 'e': 'many', 'f': 'almost all', 'g': 'few', 'h': 'none', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'some', 'c': 'most', 'd': 'all', 'e': 'none', 'f': 'almost all', 'g': 'few', 'h': 'almost none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: almost all\nD: none\nE: few\nF: the smaller part\nG: all\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: few\nD: almost none\nE: some\nF: many\nG: all\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: few\nD: many\nE: the smaller part\nF: almost all\nG: almost none\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: some\nD: most\nE: many\nF: almost all\nG: few\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: most\nD: all\nE: none\nF: almost all\nG: few\nH: almost none\nI: many\nAnswer:']"
29,data/images/quantifier/test_29.png,"[['D'], ['A: almost none'], ['I: none'], ['B'], ['B']]","[{'a': 'most', 'b': 'few', 'c': 'many', 'd': 'some', 'e': 'all', 'f': 'almost all', 'g': 'almost none', 'h': 'the smaller part', 'i': 'none'}, {'a': 'almost none', 'b': 'few', 'c': 'some', 'd': 'all', 'e': 'none', 'f': 'almost all', 'g': 'the smaller part', 'h': 'many', 'i': 'most'}, {'a': 'many', 'b': 'the smaller part', 'c': 'almost none', 'd': 'all', 'e': 'almost all', 'f': 'some', 'g': 'few', 'h': 'most', 'i': 'none'}, {'a': 'all', 'b': 'almost none', 'c': 'most', 'd': 'the smaller part', 'e': 'some', 'f': 'none', 'g': 'few', 'h': 'many', 'i': 'almost all'}, {'a': 'some', 'b': 'none', 'c': 'almost none', 'd': 'all', 'e': 'the smaller part', 'f': 'most', 'g': 'almost all', 'h': 'few', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: many\nD: some\nE: all\nF: almost all\nG: almost none\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: some\nD: all\nE: none\nF: almost all\nG: the smaller part\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: almost none\nD: all\nE: almost all\nF: some\nG: few\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: most\nD: the smaller part\nE: some\nF: none\nG: few\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: almost none\nD: all\nE: the smaller part\nF: most\nG: almost all\nH: few\nI: many\nAnswer:']"
37,data/images/quantifier/test_37.png,"[['F'], ['E'], ['D'], ['A: none'], ['E']]","[{'a': 'almost none', 'b': 'the smaller part', 'c': 'all', 'd': 'few', 'e': 'some', 'f': 'none', 'g': 'almost all', 'h': 'most', 'i': 'many'}, {'a': 'some', 'b': 'most', 'c': 'almost all', 'd': 'many', 'e': 'none', 'f': 'the smaller part', 'g': 'few', 'h': 'all', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'many', 'd': 'none', 'e': 'all', 'f': 'almost none', 'g': 'some', 'h': 'few', 'i': 'most'}, {'a': 'none', 'b': 'the smaller part', 'c': 'few', 'd': 'some', 'e': 'all', 'f': 'almost all', 'g': 'almost none', 'h': 'many', 'i': 'most'}, {'a': 'many', 'b': 'the smaller part', 'c': 'few', 'd': 'most', 'e': 'none', 'f': 'all', 'g': 'almost none', 'h': 'some', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: all\nD: few\nE: some\nF: none\nG: almost all\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: almost all\nD: many\nE: none\nF: the smaller part\nG: few\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: many\nD: none\nE: all\nF: almost none\nG: some\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: few\nD: some\nE: all\nF: almost all\nG: almost none\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: few\nD: most\nE: none\nF: all\nG: almost none\nH: some\nI: almost all\nAnswer:']"
44,data/images/quantifier/test_44.png,"[['E'], ['D'], ['E: almost none'], ['B: almost none'], ['D']]","[{'a': 'all', 'b': 'the smaller part', 'c': 'many', 'd': 'almost all', 'e': 'none', 'f': 'some', 'g': 'almost none', 'h': 'few', 'i': 'most'}, {'a': 'most', 'b': 'few', 'c': 'almost all', 'd': 'none', 'e': 'the smaller part', 'f': 'almost none', 'g': 'all', 'h': 'some', 'i': 'many'}, {'a': 'almost all', 'b': 'few', 'c': 'all', 'd': 'most', 'e': 'almost none', 'f': 'none', 'g': 'some', 'h': 'the smaller part', 'i': 'many'}, {'a': 'many', 'b': 'almost none', 'c': 'most', 'd': 'some', 'e': 'few', 'f': 'the smaller part', 'g': 'none', 'h': 'all', 'i': 'almost all'}, {'a': 'many', 'b': 'few', 'c': 'the smaller part', 'd': 'almost none', 'e': 'some', 'f': 'most', 'g': 'none', 'h': 'all', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: many\nD: almost all\nE: none\nF: some\nG: almost none\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost all\nD: none\nE: the smaller part\nF: almost none\nG: all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: all\nD: most\nE: almost none\nF: none\nG: some\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: most\nD: some\nE: few\nF: the smaller part\nG: none\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: the smaller part\nD: almost none\nE: some\nF: most\nG: none\nH: all\nI: almost all\nAnswer:']"
