index,image,llava_filtered_output
95,data/images/quantifier/test_95.png,"['many', 'none', 'the smaller part', 'some', 'none']"
15,data/images/quantifier/test_15.png,"['almost none', 'none', 'some', 'none', 'none']"
30,data/images/quantifier/test_30.png,"['none', 'none', 'almost none', 'none', 'almost none']"
158,data/images/quantifier/test_158.png,"['almost none', 'few', 'many', 'none', 'almost none']"
128,data/images/quantifier/test_128.png,"['none', 'almost none', 'almost none', 'none', 'almost none']"
115,data/images/quantifier/test_115.png,"['none', 'almost none', 'almost none', 'none', 'none']"
1776,data/images/quantifier/test_1776.png,"['almost all', 'almost all', 'many', 'most', 'the smaller part']"
1633,data/images/quantifier/test_1633.png,"['few', 'some', 'few', 'none', 'the smaller part']"
1721,data/images/quantifier/test_1721.png,"['many', 'few', 'most', 'all', 'almost all']"
1780,data/images/quantifier/test_1780.png,"['many', 'almost all', 'most', 'some', 'almost all']"
1702,data/images/quantifier/test_1702.png,"['almost all', 'the smaller part', 'some', 'almost all', 'almost all']"
1735,data/images/quantifier/test_1735.png,"['the smaller part', 'some', 'none', 'the smaller part', 'most']"
1160,data/images/quantifier/test_1160.png,"['most', 'the smaller part', 'many', 'few', 'many']"
1014,data/images/quantifier/test_1014.png,"['some', 'some', 'some', 'many', 'almost all']"
1109,data/images/quantifier/test_1109.png,"['some', 'almost none', 'almost all', 'some', 'some']"
1019,data/images/quantifier/test_1019.png,"['many', 'all', 'few', 'few', 'some']"
1122,data/images/quantifier/test_1122.png,"['some', 'none', 'almost all', 'most', 'almost all']"
1166,data/images/quantifier/test_1166.png,"['the smaller part', 'some', 'the smaller part', 'the smaller part', 'some']"
938,data/images/quantifier/test_938.png,"['almost all', 'some', 'many', 'most', 'some']"
870,data/images/quantifier/test_870.png,"['almost all', 'most', 'some', 'many', 'many']"
863,data/images/quantifier/test_863.png,"['none', 'almost all', 'few', 'few', 'few']"
934,data/images/quantifier/test_934.png,"['almost all', 'almost all', 'few', 'almost none', 'almost all']"
866,data/images/quantifier/test_866.png,"['almost none', 'many', 'none', 'some', 'some']"
932,data/images/quantifier/test_932.png,"['the smaller part', 'none', 'almost all', 'most', 'all']"
711,data/images/quantifier/test_711.png,"['the smaller part', 'few', 'some', 'the smaller part', 'almost none']"
780,data/images/quantifier/test_780.png,"['none', 'almost none', 'some', 'all', 'some']"
793,data/images/quantifier/test_793.png,"['almost all', 'some', 'almost all', 'some', 'few']"
615,data/images/quantifier/test_615.png,"['none', 'some', 'none', 'some', 'almost all']"
737,data/images/quantifier/test_737.png,"['all', 'some', 'almost none', 'few', 'few']"
758,data/images/quantifier/test_758.png,"['some', 'few', 'almost none', 'all', 'some']"
474,data/images/quantifier/test_474.png,"['almost none', 'few', 'none', 'almost all', 'none']"
558,data/images/quantifier/test_558.png,"['many', 'almost none', 'almost none', 'few', 'most']"
512,data/images/quantifier/test_512.png,"['some', 'almost none', 'almost all', 'none', 'none']"
487,data/images/quantifier/test_487.png,"['none', 'none', 'almost none', 'the smaller part', 'all']"
507,data/images/quantifier/test_507.png,"['the smaller part', 'all', 'some', 'the smaller part', 'most']"
492,data/images/quantifier/test_492.png,"['almost none', 'none', 'some', 'many', 'many']"
212,data/images/quantifier/test_212.png,"['almost none', 'none', 'none', 'almost none', 'all']"
260,data/images/quantifier/test_260.png,"['some', 'almost none', 'some', 'the smaller part', 'none']"
326,data/images/quantifier/test_326.png,"['almost none', 'some', 'the smaller part', 'many', 'few']"
384,data/images/quantifier/test_384.png,"['none', 'none', 'none', 'the smaller part', 'none']"
303,data/images/quantifier/test_303.png,"['most', 'almost none', 'some', 'none', 'all']"
394,data/images/quantifier/test_394.png,"['the smaller part', 'the smaller part', 'the smaller part', 'the smaller part', 'almost none']"
