index,image,blip2_filtered_output
95,data/images/quantifier/test_95.png,"['almost none', 'few', 'almost all', 'some', 'most']"
15,data/images/quantifier/test_15.png,"['none', 'some', 'the smaller part', 'none', 'none']"
158,data/images/quantifier/test_158.png,"['most', 'all', 'the smaller part', 'almost all', 'most']"
128,data/images/quantifier/test_128.png,"['some', 'all', 'all', 'some', 'the smaller part']"
115,data/images/quantifier/test_115.png,"['none', 'most', 'none', 'almost all', 'few']"
1776,data/images/quantifier/test_1776.png,"['almost all', 'some', 'some', 'almost all', 'none']"
1633,data/images/quantifier/test_1633.png,"['some', 'the smaller part', 'all', 'all', 'some']"
1735,data/images/quantifier/test_1735.png,"['almost all', 'the smaller part', 'all', 'most', 'all']"
1160,data/images/quantifier/test_1160.png,"['all', 'all', 'all', 'almost all', 'the smaller part']"
1122,data/images/quantifier/test_1122.png,"['some', 'many', 'many', 'the smaller part', 'the smaller part']"
1166,data/images/quantifier/test_1166.png,"['some', 'few', 'the smaller part', 'the smaller part', 'almost all']"
863,data/images/quantifier/test_863.png,"['all', 'many', 'the smaller part', 'none', 'almost all']"
934,data/images/quantifier/test_934.png,"['the smaller part', 'the smaller part', 'all', 'almost none', 'none']"
780,data/images/quantifier/test_780.png,"['almost all', 'none', 'all', 'some', 'most']"
615,data/images/quantifier/test_615.png,"['some', 'the smaller part', 'almost all', 'all', 'few']"
737,data/images/quantifier/test_737.png,"['some', 'the smaller part', 'the smaller part', 'many', 'all']"
474,data/images/quantifier/test_474.png,"['almost none', 'most', 'all', 'the smaller part', 'none']"
487,data/images/quantifier/test_487.png,"['the smaller part', 'almost none', 'many', 'all', 'all']"
507,data/images/quantifier/test_507.png,"['none', 'none', 'some', 'all', 'some']"
212,data/images/quantifier/test_212.png,"['few', 'almost none', 'none', 'all', 'some']"
394,data/images/quantifier/test_394.png,"['almost all', 'many', 'almost all', 'none', 'none']"
2243,data/images/quantifier/test_2243.png,"['none', 'almost all', 'many', 'all', 'none']"
2290,data/images/quantifier/test_2290.png,"['most', 'all', 'the smaller part', 'the smaller part', 'few']"
1255,data/images/quantifier/test_1255.png,"['none', 'some', 'some', 'some', 'none']"
1341,data/images/quantifier/test_1341.png,"['most', 'many', 'many', 'none', 'none']"
1204,data/images/quantifier/test_1204.png,"['many', 'some', 'few', 'none', 'most']"
1272,data/images/quantifier/test_1272.png,"['some', 'none', 'the smaller part', 'the smaller part', 'none']"
2515,data/images/quantifier/test_2515.png,"['the smaller part', 'the smaller part', 'the smaller part', 'all', 'the smaller part']"
2472,data/images/quantifier/test_2472.png,"['all', 'the smaller part', 'few', 'few', 'most']"
2111,data/images/quantifier/test_2111.png,"['none', 'none', 'almost none', 'almost all', 'none']"
2019,data/images/quantifier/test_2019.png,"['the smaller part', 'many', 'most', 'all', 'many']"
2031,data/images/quantifier/test_2031.png,"['most', 'almost none', 'the smaller part', 'many', 'many']"
2135,data/images/quantifier/test_2135.png,"['most', 'almost all', 'all', 'none', 'none']"
1499,data/images/quantifier/test_1499.png,"['all', 'all', 'some', 'few', 'all']"
1554,data/images/quantifier/test_1554.png,"['many', 'all', 'the smaller part', 'most', 'few']"
1493,data/images/quantifier/test_1493.png,"['some', 'all', 'many', 'some', 'few']"
2632,data/images/quantifier/test_2632.png,"['the smaller part', 'few', 'none', 'almost all', 'almost all']"
2603,data/images/quantifier/test_2603.png,"['many', 'almost none', 'none', 'all', 'the smaller part']"
1982,data/images/quantifier/test_1982.png,"['almost all', 'some', 'many', 'the smaller part', 'most']"
1912,data/images/quantifier/test_1912.png,"['most', 'all', 'almost none', 'some', 'many']"
1947,data/images/quantifier/test_1947.png,"['all', 'all', 'none', 'none', 'most']"
1858,data/images/quantifier/test_1858.png,"['some', 'none', 'all', 'some', 'almost none']"
2892,data/images/quantifier/test_2892.png,"['all', 'none', 'some', 'the smaller part', 'none']"
2985,data/images/quantifier/test_2985.png,"['most', 'most', 'none', 'many', 'few']"
3139,data/images/quantifier/test_3139.png,"['the smaller part', 'the smaller part', 'none', 'none', 'the smaller part']"
3145,data/images/quantifier/test_3145.png,"['none', 'none', 'none', 'all', 'some']"
3157,data/images/quantifier/test_3157.png,"['none', 'almost all', 'many', 'almost all', 'few']"
3184,data/images/quantifier/test_3184.png,"['none', 'the smaller part', 'almost none', 'the smaller part', 'almost none']"
3004,data/images/quantifier/test_3004.png,"['some', 'some', 'none', 'almost all', 'many']"
3348,data/images/quantifier/test_3348.png,"['the smaller part', 'all', 'some', 'all', 'few']"
3353,data/images/quantifier/test_3353.png,"['almost none', 'almost all', 'the smaller part', 'the smaller part', 'none']"
