index,image,blip2_filtered_output
15,data/images/quantifier/test_15.png,"['some', 'few', 'many', 'some', 'none']"
30,data/images/quantifier/test_30.png,"['some', 'most', 'all', 'almost none', 'few']"
158,data/images/quantifier/test_158.png,"['few', 'most', 'most', 'all', 'all']"
115,data/images/quantifier/test_115.png,"['many', 'almost all', 'none', 'none', 'all']"
1633,data/images/quantifier/test_1633.png,"['none', 'the smaller part', 'few', 'most', 'the smaller part']"
1721,data/images/quantifier/test_1721.png,"['none', 'many', 'all', 'many', 'none']"
1780,data/images/quantifier/test_1780.png,"['many', 'almost all', 'few', 'some', 'the smaller part']"
1014,data/images/quantifier/test_1014.png,"['none', 'all', 'most', 'many', 'many']"
1109,data/images/quantifier/test_1109.png,"['all', 'almost all', 'all', 'none', 'the smaller part']"
1019,data/images/quantifier/test_1019.png,"['all', 'all', 'all', 'none', 'all']"
1166,data/images/quantifier/test_1166.png,"['few', 'all', 'many', 'none', 'the smaller part']"
938,data/images/quantifier/test_938.png,"['most', 'none', 'few', 'none', 'few']"
870,data/images/quantifier/test_870.png,"['many', 'none', 'none', 'the smaller part', 'none']"
863,data/images/quantifier/test_863.png,"['few', 'all', 'many', 'almost none', 'many']"
866,data/images/quantifier/test_866.png,"['almost none', 'none', 'almost all', 'none', 'some']"
711,data/images/quantifier/test_711.png,"['few', 'most', 'most', 'most', 'many']"
780,data/images/quantifier/test_780.png,"['some', 'the smaller part', 'some', 'many', 'some']"
615,data/images/quantifier/test_615.png,"['none', 'some', 'all', 'some', 'none']"
737,data/images/quantifier/test_737.png,"['the smaller part', 'the smaller part', 'almost all', 'almost none', 'the smaller part']"
758,data/images/quantifier/test_758.png,"['none', 'the smaller part', 'all', 'many', 'all']"
558,data/images/quantifier/test_558.png,"['few', 'few', 'almost all', 'all', 'none']"
512,data/images/quantifier/test_512.png,"['all', 'some', 'almost all', 'most', 'all']"
492,data/images/quantifier/test_492.png,"['none', 'most', 'some', 'some', 'the smaller part']"
212,data/images/quantifier/test_212.png,"['few', 'all', 'some', 'almost none', 'few']"
260,data/images/quantifier/test_260.png,"['few', 'none', 'the smaller part', 'few', 'almost all']"
384,data/images/quantifier/test_384.png,"['few', 'few', 'many', 'almost all', 'almost none']"
394,data/images/quantifier/test_394.png,"['the smaller part', 'almost none', 'almost all', 'the smaller part', 'most']"
2301,data/images/quantifier/test_2301.png,"['many', 'some', 'the smaller part', 'all', 'most']"
2243,data/images/quantifier/test_2243.png,"['none', 'almost none', 'all', 'the smaller part', 'none']"
2290,data/images/quantifier/test_2290.png,"['the smaller part', 'most', 'all', 'many', 'all']"
1341,data/images/quantifier/test_1341.png,"['most', 'some', 'none', 'all', 'none']"
1294,data/images/quantifier/test_1294.png,"['the smaller part', 'none', 'the smaller part', 'most', 'almost all']"
1204,data/images/quantifier/test_1204.png,"['the smaller part', 'the smaller part', 'all', 'the smaller part', 'all']"
1272,data/images/quantifier/test_1272.png,"['the smaller part', 'almost all', 'few', 'none', 'some']"
1302,data/images/quantifier/test_1302.png,"['some', 'all', 'the smaller part', 'almost none', 'all']"
2592,data/images/quantifier/test_2592.png,"['all', 'the smaller part', 'most', 'none', 'all']"
2567,data/images/quantifier/test_2567.png,"['none', 'many', 'some', 'some', 'almost none']"
2487,data/images/quantifier/test_2487.png,"['none', 'some', 'the smaller part', 'none', 'almost none']"
2472,data/images/quantifier/test_2472.png,"['almost none', 'many', 'all', 'some', 'most']"
2054,data/images/quantifier/test_2054.png,"['some', 'almost none', 'most', 'most', 'some']"
2019,data/images/quantifier/test_2019.png,"['many', 'the smaller part', 'none', 'all', 'the smaller part']"
1486,data/images/quantifier/test_1486.png,"['some', 'all', 'almost none', 'almost all', 'none']"
1554,data/images/quantifier/test_1554.png,"['almost none', 'many', 'most', 'the smaller part', 'none']"
1534,data/images/quantifier/test_1534.png,"['few', 'none', 'most', 'few', 'most']"
2658,data/images/quantifier/test_2658.png,"['all', 'all', 'many', 'all', 'the smaller part']"
2789,data/images/quantifier/test_2789.png,"['all', 'none', 'none', 'all', 'none']"
2655,data/images/quantifier/test_2655.png,"['most', 'the smaller part', 'many', 'almost none', 'few']"
2603,data/images/quantifier/test_2603.png,"['all', 'almost all', 'none', 'almost all', 'all']"
1982,data/images/quantifier/test_1982.png,"['almost all', 'many', 'none', 'most', 'the smaller part']"
1878,data/images/quantifier/test_1878.png,"['the smaller part', 'all', 'most', 'none', 'the smaller part']"
1965,data/images/quantifier/test_1965.png,"['the smaller part', 'almost none', 'none', 'none', 'few']"
2893,data/images/quantifier/test_2893.png,"['almost none', 'many', 'all', 'almost all', 'the smaller part']"
2892,data/images/quantifier/test_2892.png,"['none', 'the smaller part', 'all', 'few', 'some']"
2883,data/images/quantifier/test_2883.png,"['none', 'some', 'some', 'all', 'none']"
2985,data/images/quantifier/test_2985.png,"['most', 'none', 'many', 'the smaller part', 'some']"
2817,data/images/quantifier/test_2817.png,"['all', 'all', 'almost all', 'few', 'none']"
3184,data/images/quantifier/test_3184.png,"['all', 'none', 'almost all', 'all', 'some']"
3004,data/images/quantifier/test_3004.png,"['some', 'many', 'all', 'the smaller part', 'almost none']"
3327,data/images/quantifier/test_3327.png,"['all', 'almost none', 'many', 'none', 'many']"
3348,data/images/quantifier/test_3348.png,"['all', 'most', 'none', 'the smaller part', 'all']"
3268,data/images/quantifier/test_3268.png,"['some', 'none', 'none', 'many', 'none']"
