index,image,blip2_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['the bigger part'], ['a'], ['g'], ['the larger part of the image is a small portion of an animal'], ['almost all']]","[{'a': 'none', 'b': 'the smaller part', 'c': 'many', 'd': 'almost all', 'e': 'some', 'f': 'most', 'g': 'almost none', 'h': 'all', 'i': 'few'}, {'a': 'most', 'b': 'none', 'c': 'the smaller part', 'd': 'few', 'e': 'many', 'f': 'all', 'g': 'almost none', 'h': 'almost all', 'i': 'some'}, {'a': 'none', 'b': 'few', 'c': 'the smaller part', 'd': 'some', 'e': 'almost none', 'f': 'most', 'g': 'almost all', 'h': 'many', 'i': 'all'}, {'a': 'almost all', 'b': 'few', 'c': 'many', 'd': 'all', 'e': 'the smaller part', 'f': 'most', 'g': 'almost none', 'h': 'some', 'i': 'none'}, {'a': 'the smaller part', 'b': 'most', 'c': 'almost all', 'd': 'all', 'e': 'almost none', 'f': 'few', 'g': 'some', 'h': 'none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: many\nD: almost all\nE: some\nF: most\nG: almost none\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: the smaller part\nD: few\nE: many\nF: all\nG: almost none\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: the smaller part\nD: some\nE: almost none\nF: most\nG: almost all\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: many\nD: all\nE: the smaller part\nF: most\nG: almost none\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: almost all\nD: all\nE: almost none\nF: few\nG: some\nH: none\nI: many\nAnswer:']"
15,data/images/quantifier/test_15.png,"[['the smaller part'], ['almost all'], ['g'], ['all'], ['the smallest part']]","[{'a': 'some', 'b': 'none', 'c': 'few', 'd': 'many', 'e': 'almost all', 'f': 'almost none', 'g': 'all', 'h': 'the smaller part', 'i': 'most'}, {'a': 'none', 'b': 'many', 'c': 'the smaller part', 'd': 'some', 'e': 'almost all', 'f': 'almost none', 'g': 'most', 'h': 'few', 'i': 'all'}, {'a': 'none', 'b': 'most', 'c': 'almost all', 'd': 'few', 'e': 'all', 'f': 'almost none', 'g': 'many', 'h': 'the smaller part', 'i': 'some'}, {'a': 'almost none', 'b': 'almost all', 'c': 'all', 'd': 'none', 'e': 'most', 'f': 'few', 'g': 'some', 'h': 'many', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'none', 'c': 'most', 'd': 'almost all', 'e': 'many', 'f': 'some', 'g': 'all', 'h': 'the smaller part', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: few\nD: many\nE: almost all\nF: almost none\nG: all\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: the smaller part\nD: some\nE: almost all\nF: almost none\nG: most\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: almost all\nD: few\nE: all\nF: almost none\nG: many\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: all\nD: none\nE: most\nF: few\nG: some\nH: many\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: most\nD: almost all\nE: many\nF: some\nG: all\nH: the smaller part\nI: few\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['3'], ['a'], ['i'], ['there is only one animal in the image'], ['most']]","[{'a': 'few', 'b': 'some', 'c': 'many', 'd': 'the smaller part', 'e': 'all', 'f': 'none', 'g': 'almost none', 'h': 'most', 'i': 'almost all'}, {'a': 'many', 'b': 'none', 'c': 'few', 'd': 'most', 'e': 'some', 'f': 'the smaller part', 'g': 'all', 'h': 'almost none', 'i': 'almost all'}, {'a': 'few', 'b': 'some', 'c': 'the smaller part', 'd': 'many', 'e': 'almost none', 'f': 'almost all', 'g': 'none', 'h': 'most', 'i': 'all'}, {'a': 'none', 'b': 'many', 'c': 'few', 'd': 'most', 'e': 'some', 'f': 'all', 'g': 'the smaller part', 'h': 'almost all', 'i': 'almost none'}, {'a': 'many', 'b': 'all', 'c': 'few', 'd': 'none', 'e': 'some', 'f': 'almost none', 'g': 'almost all', 'h': 'most', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: many\nD: the smaller part\nE: all\nF: none\nG: almost none\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: few\nD: most\nE: some\nF: the smaller part\nG: all\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: the smaller part\nD: many\nE: almost none\nF: almost all\nG: none\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: few\nD: most\nE: some\nF: all\nG: the smaller part\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: few\nD: none\nE: some\nF: almost none\nG: almost all\nH: most\nI: the smaller part\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['d'], [''], ['(b) most'], ['""all""'], ['']]","[{'a': 'many', 'b': 'almost none', 'c': 'the smaller part', 'd': 'almost all', 'e': 'all', 'f': 'few', 'g': 'none', 'h': 'some', 'i': 'most'}, {'a': 'all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'few', 'f': 'none', 'g': 'many', 'h': 'most', 'i': 'some'}, {'a': 'almost all', 'b': 'all', 'c': 'many', 'd': 'the smaller part', 'e': 'none', 'f': 'almost none', 'g': 'few', 'h': 'some', 'i': 'most'}, {'a': 'most', 'b': 'none', 'c': 'many', 'd': 'almost all', 'e': 'all', 'f': 'few', 'g': 'the smaller part', 'h': 'almost none', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'many', 'd': 'all', 'e': 'some', 'f': 'few', 'g': 'almost all', 'h': 'almost none', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: the smaller part\nD: almost all\nE: all\nF: few\nG: none\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost none\nD: almost all\nE: few\nF: none\nG: many\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: many\nD: the smaller part\nE: none\nF: almost none\nG: few\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: many\nD: almost all\nE: all\nF: few\nG: the smaller part\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: many\nD: all\nE: some\nF: few\nG: almost all\nH: almost none\nI: most\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['e'], ['g'], ['almost all'], [""ai guess the only thing i can say is that you'll probably never get any more of""], ['a']]","[{'a': 'all', 'b': 'almost all', 'c': 'none', 'd': 'many', 'e': 'almost none', 'f': 'the smaller part', 'g': 'some', 'h': 'few', 'i': 'most'}, {'a': 'some', 'b': 'all', 'c': 'almost all', 'd': 'the smaller part', 'e': 'few', 'f': 'almost none', 'g': 'many', 'h': 'none', 'i': 'most'}, {'a': 'almost all', 'b': 'few', 'c': 'the smaller part', 'd': 'all', 'e': 'almost none', 'f': 'most', 'g': 'none', 'h': 'some', 'i': 'many'}, {'a': 'the smaller part', 'b': 'few', 'c': 'most', 'd': 'many', 'e': 'almost all', 'f': 'almost none', 'g': 'some', 'h': 'none', 'i': 'all'}, {'a': 'all', 'b': 'some', 'c': 'almost none', 'd': 'few', 'e': 'most', 'f': 'almost all', 'g': 'the smaller part', 'h': 'many', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: none\nD: many\nE: almost none\nF: the smaller part\nG: some\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: almost all\nD: the smaller part\nE: few\nF: almost none\nG: many\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: the smaller part\nD: all\nE: almost none\nF: most\nG: none\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: most\nD: many\nE: almost all\nF: almost none\nG: some\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: almost none\nD: few\nE: most\nF: almost all\nG: the smaller part\nH: many\nI: none\nAnswer:']"
115,data/images/quantifier/test_115.png,"[[''], ['all'], ['almost all'], ['all'], ['a']]","[{'a': 'the smaller part', 'b': 'most', 'c': 'many', 'd': 'none', 'e': 'almost all', 'f': 'all', 'g': 'few', 'h': 'almost none', 'i': 'some'}, {'a': 'many', 'b': 'none', 'c': 'few', 'd': 'the smaller part', 'e': 'most', 'f': 'some', 'g': 'all', 'h': 'almost all', 'i': 'almost none'}, {'a': 'many', 'b': 'none', 'c': 'the smaller part', 'd': 'almost all', 'e': 'all', 'f': 'some', 'g': 'almost none', 'h': 'most', 'i': 'few'}, {'a': 'few', 'b': 'none', 'c': 'almost none', 'd': 'all', 'e': 'the smaller part', 'f': 'almost all', 'g': 'most', 'h': 'some', 'i': 'many'}, {'a': 'almost all', 'b': 'some', 'c': 'most', 'd': 'few', 'e': 'all', 'f': 'many', 'g': 'the smaller part', 'h': 'none', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: many\nD: none\nE: almost all\nF: all\nG: few\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: few\nD: the smaller part\nE: most\nF: some\nG: all\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: the smaller part\nD: almost all\nE: all\nF: some\nG: almost none\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: almost none\nD: all\nE: the smaller part\nF: almost all\nG: most\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: most\nD: few\nE: all\nF: many\nG: the smaller part\nH: none\nI: almost none\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['d'], ['a'], ['d'], ['a is the correct answer'], ['a']]","[{'a': 'most', 'b': 'many', 'c': 'almost all', 'd': 'the smaller part', 'e': 'almost none', 'f': 'few', 'g': 'none', 'h': 'all', 'i': 'some'}, {'a': 'few', 'b': 'none', 'c': 'some', 'd': 'the smaller part', 'e': 'many', 'f': 'almost all', 'g': 'all', 'h': 'most', 'i': 'almost none'}, {'a': 'almost none', 'b': 'few', 'c': 'most', 'd': 'some', 'e': 'none', 'f': 'almost all', 'g': 'the smaller part', 'h': 'many', 'i': 'all'}, {'a': 'none', 'b': 'few', 'c': 'all', 'd': 'some', 'e': 'many', 'f': 'almost all', 'g': 'the smaller part', 'h': 'almost none', 'i': 'most'}, {'a': 'all', 'b': 'many', 'c': 'almost none', 'd': 'most', 'e': 'few', 'f': 'the smaller part', 'g': 'almost all', 'h': 'none', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: almost all\nD: the smaller part\nE: almost none\nF: few\nG: none\nH: all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: some\nD: the smaller part\nE: many\nF: almost all\nG: all\nH: most\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: most\nD: some\nE: none\nF: almost all\nG: the smaller part\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: all\nD: some\nE: many\nF: almost all\nG: the smaller part\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: almost none\nD: most\nE: few\nF: the smaller part\nG: almost all\nH: none\nI: some\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['none'], ['the larger part'], ['d'], ['c'], ['some']]","[{'a': 'most', 'b': 'the smaller part', 'c': 'none', 'd': 'almost none', 'e': 'all', 'f': 'many', 'g': 'few', 'h': 'almost all', 'i': 'some'}, {'a': 'the smaller part', 'b': 'all', 'c': 'few', 'd': 'many', 'e': 'most', 'f': 'some', 'g': 'almost none', 'h': 'none', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'none', 'c': 'all', 'd': 'many', 'e': 'some', 'f': 'most', 'g': 'few', 'h': 'almost all', 'i': 'almost none'}, {'a': 'none', 'b': 'many', 'c': 'some', 'd': 'most', 'e': 'the smaller part', 'f': 'almost none', 'g': 'almost all', 'h': 'few', 'i': 'all'}, {'a': 'most', 'b': 'some', 'c': 'almost none', 'd': 'many', 'e': 'all', 'f': 'the smaller part', 'g': 'few', 'h': 'almost all', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: none\nD: almost none\nE: all\nF: many\nG: few\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: few\nD: many\nE: most\nF: some\nG: almost none\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: all\nD: many\nE: some\nF: most\nG: few\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: some\nD: most\nE: the smaller part\nF: almost none\nG: almost all\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: almost none\nD: many\nE: all\nF: the smaller part\nG: few\nH: almost all\nI: none\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[['b'], ['h'], ['b'], ['g'], ['']]","[{'a': 'all', 'b': 'almost all', 'c': 'none', 'd': 'many', 'e': 'few', 'f': 'some', 'g': 'the smaller part', 'h': 'almost none', 'i': 'most'}, {'a': 'none', 'b': 'the smaller part', 'c': 'most', 'd': 'some', 'e': 'almost all', 'f': 'all', 'g': 'many', 'h': 'almost none', 'i': 'few'}, {'a': 'almost all', 'b': 'all', 'c': 'almost none', 'd': 'the smaller part', 'e': 'none', 'f': 'many', 'g': 'most', 'h': 'some', 'i': 'few'}, {'a': 'most', 'b': 'the smaller part', 'c': 'almost none', 'd': 'some', 'e': 'none', 'f': 'many', 'g': 'few', 'h': 'all', 'i': 'almost all'}, {'a': 'some', 'b': 'none', 'c': 'few', 'd': 'most', 'e': 'almost none', 'f': 'all', 'g': 'the smaller part', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: none\nD: many\nE: few\nF: some\nG: the smaller part\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: most\nD: some\nE: almost all\nF: all\nG: many\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: almost none\nD: the smaller part\nE: none\nF: many\nG: most\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: almost none\nD: some\nE: none\nF: many\nG: few\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: few\nD: most\nE: almost none\nF: all\nG: the smaller part\nH: almost all\nI: many\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['d'], ['d'], ['b'], ['all'], ['g']]","[{'a': 'some', 'b': 'many', 'c': 'none', 'd': 'all', 'e': 'most', 'f': 'almost all', 'g': 'the smaller part', 'h': 'few', 'i': 'almost none'}, {'a': 'almost none', 'b': 'almost all', 'c': 'many', 'd': 'most', 'e': 'some', 'f': 'all', 'g': 'few', 'h': 'none', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'some', 'c': 'all', 'd': 'many', 'e': 'few', 'f': 'most', 'g': 'none', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'most', 'b': 'almost none', 'c': 'some', 'd': 'almost all', 'e': 'many', 'f': 'few', 'g': 'none', 'h': 'all', 'i': 'the smaller part'}, {'a': 'all', 'b': 'most', 'c': 'many', 'd': 'few', 'e': 'the smaller part', 'f': 'almost none', 'g': 'almost all', 'h': 'none', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: none\nD: all\nE: most\nF: almost all\nG: the smaller part\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: many\nD: most\nE: some\nF: all\nG: few\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: all\nD: many\nE: few\nF: most\nG: none\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: some\nD: almost all\nE: many\nF: few\nG: none\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: many\nD: few\nE: the smaller part\nF: almost none\nG: almost all\nH: none\nI: some\nAnswer:']"
