index,image,blip2_filtered_output
95,data/images/quantifier/test_95.png,"['some', 'all', 'all', 'almost none', 'the smaller part']"
30,data/images/quantifier/test_30.png,"['none', 'many', 'all', 'almost all', 'almost none']"
158,data/images/quantifier/test_158.png,"['all', 'the smaller part', 'the smaller part', 'the smaller part', 'none']"
115,data/images/quantifier/test_115.png,"['almost all', 'many', 'some', 'none', 'almost all']"
1776,data/images/quantifier/test_1776.png,"['the smaller part', 'all', 'few', 'the smaller part', 'the smaller part']"
1633,data/images/quantifier/test_1633.png,"['all', 'none', 'none', 'most', 'many']"
1780,data/images/quantifier/test_1780.png,"['none', 'none', 'all', 'the smaller part', 'almost none']"
1735,data/images/quantifier/test_1735.png,"['the smaller part', 'almost none', 'some', 'most', 'few']"
1160,data/images/quantifier/test_1160.png,"['some', 'all', 'the smaller part', 'few', 'none']"
1014,data/images/quantifier/test_1014.png,"['the smaller part', 'most', 'some', 'some', 'none']"
1109,data/images/quantifier/test_1109.png,"['almost all', 'most', 'almost all', 'the smaller part', 'the smaller part']"
1019,data/images/quantifier/test_1019.png,"['the smaller part', 'none', 'none', 'all', 'the smaller part']"
1122,data/images/quantifier/test_1122.png,"['the smaller part', 'most', 'none', 'most', 'the smaller part']"
1166,data/images/quantifier/test_1166.png,"['most', 'most', 'almost all', 'all', 'most']"
863,data/images/quantifier/test_863.png,"['almost all', 'few', 'almost all', 'the smaller part', 'almost none']"
932,data/images/quantifier/test_932.png,"['all', 'none', 'the smaller part', 'some', 'almost all']"
780,data/images/quantifier/test_780.png,"['almost all', 'almost all', 'none', 'few', 'all']"
793,data/images/quantifier/test_793.png,"['all', 'few', 'all', 'few', 'almost all']"
615,data/images/quantifier/test_615.png,"['few', 'all', 'the smaller part', 'few', 'most']"
737,data/images/quantifier/test_737.png,"['all', 'some', 'few', 'almost none', 'most']"
474,data/images/quantifier/test_474.png,"['the smaller part', 'none', 'all', 'none', 'most']"
512,data/images/quantifier/test_512.png,"['none', 'some', 'all', 'some', 'some']"
487,data/images/quantifier/test_487.png,"['all', 'almost none', 'none', 'the smaller part', 'almost all']"
507,data/images/quantifier/test_507.png,"['all', 'all', 'the smaller part', 'most', 'some']"
