index,image,blip2_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['all'], ['none'], ['a'], ['all'], ['b']]","[{'a': 'few', 'b': 'none', 'c': 'all', 'd': 'the smaller part', 'e': 'most', 'f': 'almost all', 'g': 'many', 'h': 'some', 'i': 'almost none'}, {'a': 'almost all', 'b': 'few', 'c': 'some', 'd': 'many', 'e': 'most', 'f': 'the smaller part', 'g': 'none', 'h': 'all', 'i': 'almost none'}, {'a': 'most', 'b': 'none', 'c': 'some', 'd': 'many', 'e': 'all', 'f': 'almost all', 'g': 'almost none', 'h': 'the smaller part', 'i': 'few'}, {'a': 'many', 'b': 'almost all', 'c': 'almost none', 'd': 'the smaller part', 'e': 'few', 'f': 'all', 'g': 'none', 'h': 'most', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'some', 'd': 'almost all', 'e': 'few', 'f': 'all', 'g': 'most', 'h': 'almost none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: all\nD: the smaller part\nE: most\nF: almost all\nG: many\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: some\nD: many\nE: most\nF: the smaller part\nG: none\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: some\nD: many\nE: all\nF: almost all\nG: almost none\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: almost none\nD: the smaller part\nE: few\nF: all\nG: none\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: some\nD: almost all\nE: few\nF: all\nG: most\nH: almost none\nI: many\nAnswer:']"
15,data/images/quantifier/test_15.png,"[['almost none'], ['some'], ['i'], ['d'], ['']]","[{'a': 'some', 'b': 'all', 'c': 'almost all', 'd': 'few', 'e': 'almost none', 'f': 'the smaller part', 'g': 'many', 'h': 'none', 'i': 'most'}, {'a': 'all', 'b': 'none', 'c': 'few', 'd': 'some', 'e': 'almost all', 'f': 'most', 'g': 'the smaller part', 'h': 'almost none', 'i': 'many'}, {'a': 'none', 'b': 'almost none', 'c': 'all', 'd': 'few', 'e': 'the smaller part', 'f': 'many', 'g': 'most', 'h': 'almost all', 'i': 'some'}, {'a': 'almost none', 'b': 'all', 'c': 'none', 'd': 'few', 'e': 'almost all', 'f': 'many', 'g': 'most', 'h': 'the smaller part', 'i': 'some'}, {'a': 'the smaller part', 'b': 'almost none', 'c': 'all', 'd': 'some', 'e': 'almost all', 'f': 'many', 'g': 'few', 'h': 'none', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: almost all\nD: few\nE: almost none\nF: the smaller part\nG: many\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: few\nD: some\nE: almost all\nF: most\nG: the smaller part\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: all\nD: few\nE: the smaller part\nF: many\nG: most\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: none\nD: few\nE: almost all\nF: many\nG: most\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: all\nD: some\nE: almost all\nF: many\nG: few\nH: none\nI: most\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['f'], ['the smaller part'], ['b'], ['f'], ['b']]","[{'a': 'some', 'b': 'almost none', 'c': 'the smaller part', 'd': 'few', 'e': 'almost all', 'f': 'many', 'g': 'most', 'h': 'all', 'i': 'none'}, {'a': 'most', 'b': 'few', 'c': 'none', 'd': 'all', 'e': 'some', 'f': 'the smaller part', 'g': 'many', 'h': 'almost all', 'i': 'almost none'}, {'a': 'all', 'b': 'almost none', 'c': 'none', 'd': 'the smaller part', 'e': 'few', 'f': 'many', 'g': 'most', 'h': 'almost all', 'i': 'some'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'none', 'd': 'few', 'e': 'many', 'f': 'some', 'g': 'all', 'h': 'almost none', 'i': 'most'}, {'a': 'the smaller part', 'b': 'some', 'c': 'all', 'd': 'almost none', 'e': 'almost all', 'f': 'most', 'g': 'many', 'h': 'few', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: the smaller part\nD: few\nE: almost all\nF: many\nG: most\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: none\nD: all\nE: some\nF: the smaller part\nG: many\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: none\nD: the smaller part\nE: few\nF: many\nG: most\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: none\nD: few\nE: many\nF: some\nG: all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: all\nD: almost none\nE: almost all\nF: most\nG: many\nH: few\nI: none\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['d'], ['d'], ['a'], ['most'], ['all']]","[{'a': 'most', 'b': 'few', 'c': 'all', 'd': 'the smaller part', 'e': 'many', 'f': 'almost none', 'g': 'almost all', 'h': 'none', 'i': 'some'}, {'a': 'many', 'b': 'few', 'c': 'the smaller part', 'd': 'none', 'e': 'all', 'f': 'some', 'g': 'almost all', 'h': 'almost none', 'i': 'most'}, {'a': 'most', 'b': 'some', 'c': 'many', 'd': 'few', 'e': 'the smaller part', 'f': 'none', 'g': 'almost none', 'h': 'almost all', 'i': 'all'}, {'a': 'none', 'b': 'most', 'c': 'almost none', 'd': 'few', 'e': 'all', 'f': 'some', 'g': 'many', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'almost none', 'b': 'the smaller part', 'c': 'most', 'd': 'some', 'e': 'many', 'f': 'none', 'g': 'almost all', 'h': 'few', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: all\nD: the smaller part\nE: many\nF: almost none\nG: almost all\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: the smaller part\nD: none\nE: all\nF: some\nG: almost all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: many\nD: few\nE: the smaller part\nF: none\nG: almost none\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: almost none\nD: few\nE: all\nF: some\nG: many\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: most\nD: some\nE: many\nF: none\nG: almost all\nH: few\nI: all\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['a'], ['many'], ['g'], ['most'], ['c']]","[{'a': 'few', 'b': 'the smaller part', 'c': 'many', 'd': 'all', 'e': 'most', 'f': 'some', 'g': 'none', 'h': 'almost none', 'i': 'almost all'}, {'a': 'many', 'b': 'most', 'c': 'none', 'd': 'few', 'e': 'the smaller part', 'f': 'some', 'g': 'almost none', 'h': 'all', 'i': 'almost all'}, {'a': 'some', 'b': 'most', 'c': 'few', 'd': 'almost none', 'e': 'all', 'f': 'the smaller part', 'g': 'none', 'h': 'almost all', 'i': 'many'}, {'a': 'all', 'b': 'few', 'c': 'most', 'd': 'almost none', 'e': 'almost all', 'f': 'none', 'g': 'many', 'h': 'some', 'i': 'the smaller part'}, {'a': 'many', 'b': 'almost all', 'c': 'none', 'd': 'almost none', 'e': 'some', 'f': 'few', 'g': 'all', 'h': 'the smaller part', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: many\nD: all\nE: most\nF: some\nG: none\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: none\nD: few\nE: the smaller part\nF: some\nG: almost none\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: few\nD: almost none\nE: all\nF: the smaller part\nG: none\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: most\nD: almost none\nE: almost all\nF: none\nG: many\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: none\nD: almost none\nE: some\nF: few\nG: all\nH: the smaller part\nI: most\nAnswer:']"
115,data/images/quantifier/test_115.png,"[[''], ['all'], ['g'], ['b'], ['none']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'none', 'd': 'all', 'e': 'few', 'f': 'some', 'g': 'many', 'h': 'most', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'few', 'c': 'none', 'd': 'some', 'e': 'the smaller part', 'f': 'all', 'g': 'most', 'h': 'many', 'i': 'almost all'}, {'a': 'some', 'b': 'all', 'c': 'many', 'd': 'few', 'e': 'none', 'f': 'almost all', 'g': 'the smaller part', 'h': 'most', 'i': 'almost none'}, {'a': 'few', 'b': 'many', 'c': 'all', 'd': 'none', 'e': 'almost all', 'f': 'the smaller part', 'g': 'almost none', 'h': 'most', 'i': 'some'}, {'a': 'few', 'b': 'all', 'c': 'the smaller part', 'd': 'almost none', 'e': 'none', 'f': 'most', 'g': 'some', 'h': 'many', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: none\nD: all\nE: few\nF: some\nG: many\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: none\nD: some\nE: the smaller part\nF: all\nG: most\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: many\nD: few\nE: none\nF: almost all\nG: the smaller part\nH: most\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: all\nD: none\nE: almost all\nF: the smaller part\nG: almost none\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: the smaller part\nD: almost none\nE: none\nF: most\nG: some\nH: many\nI: almost all\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['almost all'], ['g'], ['c'], ['a'], ['g']]","[{'a': 'the smaller part', 'b': 'some', 'c': 'all', 'd': 'few', 'e': 'most', 'f': 'none', 'g': 'almost all', 'h': 'almost none', 'i': 'many'}, {'a': 'the smaller part', 'b': 'some', 'c': 'most', 'd': 'all', 'e': 'almost all', 'f': 'none', 'g': 'many', 'h': 'almost none', 'i': 'few'}, {'a': 'almost none', 'b': 'almost all', 'c': 'few', 'd': 'all', 'e': 'many', 'f': 'most', 'g': 'none', 'h': 'some', 'i': 'the smaller part'}, {'a': 'none', 'b': 'few', 'c': 'almost none', 'd': 'most', 'e': 'all', 'f': 'the smaller part', 'g': 'many', 'h': 'some', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'all', 'd': 'none', 'e': 'few', 'f': 'almost none', 'g': 'most', 'h': 'some', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: all\nD: few\nE: most\nF: none\nG: almost all\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: most\nD: all\nE: almost all\nF: none\nG: many\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: few\nD: all\nE: many\nF: most\nG: none\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: almost none\nD: most\nE: all\nF: the smaller part\nG: many\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: all\nD: none\nE: few\nF: almost none\nG: most\nH: some\nI: many\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['b'], ['all'], ['almost all'], ['i'], ['d']]","[{'a': 'most', 'b': 'few', 'c': 'almost all', 'd': 'some', 'e': 'all', 'f': 'none', 'g': 'the smaller part', 'h': 'many', 'i': 'almost none'}, {'a': 'all', 'b': 'few', 'c': 'the smaller part', 'd': 'none', 'e': 'almost none', 'f': 'almost all', 'g': 'many', 'h': 'most', 'i': 'some'}, {'a': 'many', 'b': 'some', 'c': 'few', 'd': 'all', 'e': 'almost all', 'f': 'none', 'g': 'almost none', 'h': 'the smaller part', 'i': 'most'}, {'a': 'almost none', 'b': 'few', 'c': 'the smaller part', 'd': 'almost all', 'e': 'none', 'f': 'many', 'g': 'most', 'h': 'all', 'i': 'some'}, {'a': 'almost all', 'b': 'almost none', 'c': 'all', 'd': 'most', 'e': 'the smaller part', 'f': 'many', 'g': 'some', 'h': 'few', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost all\nD: some\nE: all\nF: none\nG: the smaller part\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: the smaller part\nD: none\nE: almost none\nF: almost all\nG: many\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: few\nD: all\nE: almost all\nF: none\nG: almost none\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: the smaller part\nD: almost all\nE: none\nF: many\nG: most\nH: all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: all\nD: most\nE: the smaller part\nF: many\nG: some\nH: few\nI: none\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[[''], ['all'], ['b'], [''], ['g']]","[{'a': 'almost all', 'b': 'almost none', 'c': 'most', 'd': 'none', 'e': 'some', 'f': 'all', 'g': 'many', 'h': 'few', 'i': 'the smaller part'}, {'a': 'some', 'b': 'many', 'c': 'almost none', 'd': 'all', 'e': 'most', 'f': 'almost all', 'g': 'few', 'h': 'none', 'i': 'the smaller part'}, {'a': 'many', 'b': 'almost none', 'c': 'some', 'd': 'most', 'e': 'almost all', 'f': 'the smaller part', 'g': 'all', 'h': 'few', 'i': 'none'}, {'a': 'all', 'b': 'none', 'c': 'some', 'd': 'most', 'e': 'the smaller part', 'f': 'almost all', 'g': 'few', 'h': 'almost none', 'i': 'many'}, {'a': 'few', 'b': 'all', 'c': 'many', 'd': 'none', 'e': 'almost none', 'f': 'almost all', 'g': 'most', 'h': 'some', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: most\nD: none\nE: some\nF: all\nG: many\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: almost none\nD: all\nE: most\nF: almost all\nG: few\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: some\nD: most\nE: almost all\nF: the smaller part\nG: all\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: some\nD: most\nE: the smaller part\nF: almost all\nG: few\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: many\nD: none\nE: almost none\nF: almost all\nG: most\nH: some\nI: the smaller part\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['all animals are in the image'], ['g, more than all'], ['g'], ['d'], ['']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'all', 'd': 'some', 'e': 'none', 'f': 'most', 'g': 'many', 'h': 'the smaller part', 'i': 'few'}, {'a': 'many', 'b': 'none', 'c': 'the smaller part', 'd': 'almost all', 'e': 'almost none', 'f': 'few', 'g': 'all', 'h': 'some', 'i': 'most'}, {'a': 'almost all', 'b': 'none', 'c': 'many', 'd': 'some', 'e': 'the smaller part', 'f': 'most', 'g': 'few', 'h': 'almost none', 'i': 'all'}, {'a': 'most', 'b': 'none', 'c': 'the smaller part', 'd': 'few', 'e': 'some', 'f': 'many', 'g': 'almost all', 'h': 'almost none', 'i': 'all'}, {'a': 'the smaller part', 'b': 'all', 'c': 'some', 'd': 'few', 'e': 'none', 'f': 'almost none', 'g': 'most', 'h': 'many', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: all\nD: some\nE: none\nF: most\nG: many\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: the smaller part\nD: almost all\nE: almost none\nF: few\nG: all\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: none\nC: many\nD: some\nE: the smaller part\nF: most\nG: few\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: the smaller part\nD: few\nE: some\nF: many\nG: almost all\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: some\nD: few\nE: none\nF: almost none\nG: most\nH: many\nI: almost all\nAnswer:']"
