index,image,blip2_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['c'], ['the smaller part'], ['the smaller part'], ['a'], ['']]","[{'a': 'most', 'b': 'many', 'c': 'few', 'd': 'none', 'e': 'the smaller part', 'f': 'almost none', 'g': 'all', 'h': 'some', 'i': 'almost all'}, {'a': 'many', 'b': 'almost all', 'c': 'most', 'd': 'few', 'e': 'the smaller part', 'f': 'all', 'g': 'some', 'h': 'none', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'few', 'c': 'none', 'd': 'all', 'e': 'almost none', 'f': 'many', 'g': 'some', 'h': 'most', 'i': 'almost all'}, {'a': 'many', 'b': 'none', 'c': 'most', 'd': 'some', 'e': 'almost none', 'f': 'all', 'g': 'almost all', 'h': 'few', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'none', 'c': 'many', 'd': 'most', 'e': 'almost all', 'f': 'few', 'g': 'all', 'h': 'some', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: few\nD: none\nE: the smaller part\nF: almost none\nG: all\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: most\nD: few\nE: the smaller part\nF: all\nG: some\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: none\nD: all\nE: almost none\nF: many\nG: some\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: most\nD: some\nE: almost none\nF: all\nG: almost all\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: many\nD: most\nE: almost all\nF: few\nG: all\nH: some\nI: the smaller part\nAnswer:']"
15,data/images/quantifier/test_15.png,"[[''], ['all'], ['all'], ['b'], ['b']]","[{'a': 'some', 'b': 'all', 'c': 'few', 'd': 'the smaller part', 'e': 'most', 'f': 'many', 'g': 'none', 'h': 'almost all', 'i': 'almost none'}, {'a': 'few', 'b': 'the smaller part', 'c': 'almost none', 'd': 'all', 'e': 'most', 'f': 'none', 'g': 'some', 'h': 'almost all', 'i': 'many'}, {'a': 'many', 'b': 'few', 'c': 'most', 'd': 'almost none', 'e': 'some', 'f': 'none', 'g': 'the smaller part', 'h': 'all', 'i': 'almost all'}, {'a': 'few', 'b': 'almost all', 'c': 'many', 'd': 'all', 'e': 'most', 'f': 'some', 'g': 'none', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'few', 'b': 'almost all', 'c': 'many', 'd': 'some', 'e': 'most', 'f': 'almost none', 'g': 'none', 'h': 'the smaller part', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: few\nD: the smaller part\nE: most\nF: many\nG: none\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: almost none\nD: all\nE: most\nF: none\nG: some\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: most\nD: almost none\nE: some\nF: none\nG: the smaller part\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: many\nD: all\nE: most\nF: some\nG: none\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: many\nD: some\nE: most\nF: almost none\nG: none\nH: the smaller part\nI: all\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['some'], ['d'], ['d'], ['all'], ['all']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'few', 'e': 'most', 'f': 'none', 'g': 'many', 'h': 'some', 'i': 'all'}, {'a': 'some', 'b': 'almost all', 'c': 'almost none', 'd': 'the smaller part', 'e': 'none', 'f': 'all', 'g': 'most', 'h': 'few', 'i': 'many'}, {'a': 'almost all', 'b': 'most', 'c': 'many', 'd': 'some', 'e': 'all', 'f': 'few', 'g': 'almost none', 'h': 'the smaller part', 'i': 'none'}, {'a': 'all', 'b': 'most', 'c': 'almost all', 'd': 'almost none', 'e': 'none', 'f': 'some', 'g': 'many', 'h': 'the smaller part', 'i': 'few'}, {'a': 'most', 'b': 'some', 'c': 'few', 'd': 'many', 'e': 'the smaller part', 'f': 'almost none', 'g': 'all', 'h': 'none', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: the smaller part\nD: few\nE: most\nF: none\nG: many\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: almost none\nD: the smaller part\nE: none\nF: all\nG: most\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: many\nD: some\nE: all\nF: few\nG: almost none\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: almost all\nD: almost none\nE: none\nF: some\nG: many\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: few\nD: many\nE: the smaller part\nF: almost none\nG: all\nH: none\nI: almost all\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['i'], ['none'], ['the smaller part'], [''], ['some']]","[{'a': 'the smaller part', 'b': 'many', 'c': 'most', 'd': 'none', 'e': 'few', 'f': 'almost none', 'g': 'all', 'h': 'some', 'i': 'almost all'}, {'a': 'almost none', 'b': 'few', 'c': 'none', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'the smaller part', 'h': 'many', 'i': 'most'}, {'a': 'most', 'b': 'many', 'c': 'almost none', 'd': 'almost all', 'e': 'none', 'f': 'few', 'g': 'all', 'h': 'some', 'i': 'the smaller part'}, {'a': 'many', 'b': 'almost all', 'c': 'almost none', 'd': 'most', 'e': 'few', 'f': 'some', 'g': 'all', 'h': 'none', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'few', 'c': 'almost all', 'd': 'none', 'e': 'many', 'f': 'most', 'g': 'almost none', 'h': 'all', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: most\nD: none\nE: few\nF: almost none\nG: all\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: none\nD: all\nE: some\nF: almost all\nG: the smaller part\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: almost none\nD: almost all\nE: none\nF: few\nG: all\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: almost none\nD: most\nE: few\nF: some\nG: all\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: almost all\nD: none\nE: many\nF: most\nG: almost none\nH: all\nI: some\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['the smaller part'], ['e'], ['b'], ['b'], ['e']]","[{'a': 'many', 'b': 'almost none', 'c': 'few', 'd': 'the smaller part', 'e': 'almost all', 'f': 'some', 'g': 'most', 'h': 'none', 'i': 'all'}, {'a': 'few', 'b': 'none', 'c': 'some', 'd': 'many', 'e': 'almost none', 'f': 'the smaller part', 'g': 'most', 'h': 'all', 'i': 'almost all'}, {'a': 'some', 'b': 'many', 'c': 'almost all', 'd': 'none', 'e': 'almost none', 'f': 'few', 'g': 'most', 'h': 'the smaller part', 'i': 'all'}, {'a': 'almost all', 'b': 'most', 'c': 'many', 'd': 'few', 'e': 'none', 'f': 'the smaller part', 'g': 'all', 'h': 'almost none', 'i': 'some'}, {'a': 'almost none', 'b': 'none', 'c': 'many', 'd': 'almost all', 'e': 'some', 'f': 'all', 'g': 'the smaller part', 'h': 'most', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: few\nD: the smaller part\nE: almost all\nF: some\nG: most\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: some\nD: many\nE: almost none\nF: the smaller part\nG: most\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: almost all\nD: none\nE: almost none\nF: few\nG: most\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: many\nD: few\nE: none\nF: the smaller part\nG: all\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: many\nD: almost all\nE: some\nF: all\nG: the smaller part\nH: most\nI: few\nAnswer:']"
115,data/images/quantifier/test_115.png,"[['b'], ['a'], ['i'], ['almost all'], ['a']]","[{'a': 'some', 'b': 'the smaller part', 'c': 'many', 'd': 'none', 'e': 'almost all', 'f': 'almost none', 'g': 'few', 'h': 'most', 'i': 'all'}, {'a': 'some', 'b': 'few', 'c': 'the smaller part', 'd': 'many', 'e': 'most', 'f': 'almost all', 'g': 'none', 'h': 'almost none', 'i': 'all'}, {'a': 'many', 'b': 'few', 'c': 'some', 'd': 'almost none', 'e': 'none', 'f': 'all', 'g': 'most', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'few', 'c': 'almost none', 'd': 'all', 'e': 'some', 'f': 'many', 'g': 'none', 'h': 'almost all', 'i': 'most'}, {'a': 'the smaller part', 'b': 'none', 'c': 'most', 'd': 'few', 'e': 'all', 'f': 'almost all', 'g': 'many', 'h': 'some', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: many\nD: none\nE: almost all\nF: almost none\nG: few\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: the smaller part\nD: many\nE: most\nF: almost all\nG: none\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: some\nD: almost none\nE: none\nF: all\nG: most\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: almost none\nD: all\nE: some\nF: many\nG: none\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: most\nD: few\nE: all\nF: almost all\nG: many\nH: some\nI: almost none\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['h'], ['g'], ['e'], ['d'], ['d']]","[{'a': 'all', 'b': 'the smaller part', 'c': 'some', 'd': 'few', 'e': 'most', 'f': 'almost all', 'g': 'none', 'h': 'almost none', 'i': 'many'}, {'a': 'none', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'few', 'f': 'many', 'g': 'most', 'h': 'some', 'i': 'all'}, {'a': 'few', 'b': 'the smaller part', 'c': 'almost none', 'd': 'none', 'e': 'many', 'f': 'almost all', 'g': 'all', 'h': 'some', 'i': 'most'}, {'a': 'all', 'b': 'the smaller part', 'c': 'some', 'd': 'few', 'e': 'almost all', 'f': 'none', 'g': 'most', 'h': 'almost none', 'i': 'many'}, {'a': 'almost all', 'b': 'many', 'c': 'most', 'd': 'none', 'e': 'some', 'f': 'almost none', 'g': 'the smaller part', 'h': 'all', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: some\nD: few\nE: most\nF: almost all\nG: none\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: almost none\nD: almost all\nE: few\nF: many\nG: most\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: almost none\nD: none\nE: many\nF: almost all\nG: all\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: some\nD: few\nE: almost all\nF: none\nG: most\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: most\nD: none\nE: some\nF: almost none\nG: the smaller part\nH: all\nI: few\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['none'], ['a'], [''], [''], ['there are some animals in the image']]","[{'a': 'the smaller part', 'b': 'most', 'c': 'almost none', 'd': 'all', 'e': 'few', 'f': 'almost all', 'g': 'some', 'h': 'none', 'i': 'many'}, {'a': 'many', 'b': 'most', 'c': 'none', 'd': 'all', 'e': 'few', 'f': 'some', 'g': 'almost none', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'many', 'b': 'almost all', 'c': 'all', 'd': 'most', 'e': 'none', 'f': 'few', 'g': 'some', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'most', 'b': 'none', 'c': 'few', 'd': 'all', 'e': 'many', 'f': 'some', 'g': 'almost all', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'few', 'c': 'many', 'd': 'most', 'e': 'none', 'f': 'some', 'g': 'almost all', 'h': 'all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: almost none\nD: all\nE: few\nF: almost all\nG: some\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: none\nD: all\nE: few\nF: some\nG: almost none\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: all\nD: most\nE: none\nF: few\nG: some\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: few\nD: all\nE: many\nF: some\nG: almost all\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: many\nD: most\nE: none\nF: some\nG: almost all\nH: all\nI: almost none\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[['i'], ['c'], ['g'], ['d'], ['c']]","[{'a': 'none', 'b': 'almost none', 'c': 'most', 'd': 'some', 'e': 'many', 'f': 'almost all', 'g': 'the smaller part', 'h': 'all', 'i': 'few'}, {'a': 'almost all', 'b': 'all', 'c': 'few', 'd': 'the smaller part', 'e': 'none', 'f': 'many', 'g': 'almost none', 'h': 'some', 'i': 'most'}, {'a': 'most', 'b': 'none', 'c': 'almost all', 'd': 'almost none', 'e': 'many', 'f': 'few', 'g': 'some', 'h': 'the smaller part', 'i': 'all'}, {'a': 'the smaller part', 'b': 'none', 'c': 'few', 'd': 'some', 'e': 'almost all', 'f': 'almost none', 'g': 'all', 'h': 'many', 'i': 'most'}, {'a': 'none', 'b': 'almost all', 'c': 'most', 'd': 'many', 'e': 'few', 'f': 'almost none', 'g': 'all', 'h': 'the smaller part', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: most\nD: some\nE: many\nF: almost all\nG: the smaller part\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: few\nD: the smaller part\nE: none\nF: many\nG: almost none\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: almost all\nD: almost none\nE: many\nF: few\nG: some\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: few\nD: some\nE: almost all\nF: almost none\nG: all\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: most\nD: many\nE: few\nF: almost none\nG: all\nH: the smaller part\nI: some\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['all'], ['g'], ['the smaller part'], ['c'], ['g']]","[{'a': 'many', 'b': 'none', 'c': 'most', 'd': 'all', 'e': 'almost all', 'f': 'few', 'g': 'the smaller part', 'h': 'some', 'i': 'almost none'}, {'a': 'all', 'b': 'almost none', 'c': 'most', 'd': 'the smaller part', 'e': 'none', 'f': 'many', 'g': 'some', 'h': 'few', 'i': 'almost all'}, {'a': 'some', 'b': 'almost all', 'c': 'almost none', 'd': 'many', 'e': 'all', 'f': 'the smaller part', 'g': 'none', 'h': 'few', 'i': 'most'}, {'a': 'almost none', 'b': 'some', 'c': 'none', 'd': 'few', 'e': 'most', 'f': 'many', 'g': 'almost all', 'h': 'all', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'many', 'c': 'almost all', 'd': 'the smaller part', 'e': 'few', 'f': 'most', 'g': 'some', 'h': 'none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: most\nD: all\nE: almost all\nF: few\nG: the smaller part\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: most\nD: the smaller part\nE: none\nF: many\nG: some\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: almost none\nD: many\nE: all\nF: the smaller part\nG: none\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: none\nD: few\nE: most\nF: many\nG: almost all\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: almost all\nD: the smaller part\nE: few\nF: most\nG: some\nH: none\nI: all\nAnswer:']"
