index,image_file,blip2_output,shuffled_options,prompted_questions
2,data/images/quantifier/test_2.png,"[['none'], ['a'], ['there are more than three animals in this image'], ['all'], ['a']]","[{'a': 'all', 'b': 'many', 'c': 'few', 'd': 'none', 'e': 'most', 'f': 'some', 'g': 'almost all', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'few', 'b': 'most', 'c': 'the smaller part', 'd': 'almost none', 'e': 'some', 'f': 'many', 'g': 'none', 'h': 'almost all', 'i': 'all'}, {'a': 'few', 'b': 'almost none', 'c': 'none', 'd': 'many', 'e': 'some', 'f': 'the smaller part', 'g': 'most', 'h': 'almost all', 'i': 'all'}, {'a': 'almost all', 'b': 'most', 'c': 'almost none', 'd': 'none', 'e': 'some', 'f': 'all', 'g': 'the smaller part', 'h': 'many', 'i': 'few'}, {'a': 'almost all', 'b': 'none', 'c': 'some', 'd': 'almost none', 'e': 'all', 'f': 'many', 'g': 'few', 'h': 'most', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: few\nD: none\nE: most\nF: some\nG: almost all\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: the smaller part\nD: almost none\nE: some\nF: many\nG: none\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: none\nD: many\nE: some\nF: the smaller part\nG: most\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: almost none\nD: none\nE: some\nF: all\nG: the smaller part\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: none\nC: some\nD: almost none\nE: all\nF: many\nG: few\nH: most\nI: the smaller part\nAnswer:']"
5,data/images/quantifier/test_5.png,"[['g'], ['c'], ['g'], ['c'], ['none']]","[{'a': 'most', 'b': 'the smaller part', 'c': 'some', 'd': 'few', 'e': 'many', 'f': 'all', 'g': 'almost all', 'h': 'almost none', 'i': 'none'}, {'a': 'few', 'b': 'some', 'c': 'the smaller part', 'd': 'many', 'e': 'all', 'f': 'almost none', 'g': 'most', 'h': 'none', 'i': 'almost all'}, {'a': 'almost all', 'b': 'none', 'c': 'many', 'd': 'all', 'e': 'almost none', 'f': 'some', 'g': 'the smaller part', 'h': 'few', 'i': 'most'}, {'a': 'most', 'b': 'many', 'c': 'none', 'd': 'some', 'e': 'few', 'f': 'all', 'g': 'almost all', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'all', 'b': 'most', 'c': 'many', 'd': 'almost all', 'e': 'few', 'f': 'some', 'g': 'none', 'h': 'the smaller part', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: some\nD: few\nE: many\nF: all\nG: almost all\nH: almost none\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: the smaller part\nD: many\nE: all\nF: almost none\nG: most\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: none\nC: many\nD: all\nE: almost none\nF: some\nG: the smaller part\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: none\nD: some\nE: few\nF: all\nG: almost all\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: many\nD: almost all\nE: few\nF: some\nG: none\nH: the smaller part\nI: almost none\nAnswer:']"
13,data/images/quantifier/test_13.png,"[['d'], ['d'], ['e'], ['none'], ['a']]","[{'a': 'all', 'b': 'many', 'c': 'some', 'd': 'most', 'e': 'almost all', 'f': 'none', 'g': 'almost none', 'h': 'the smaller part', 'i': 'few'}, {'a': 'some', 'b': 'few', 'c': 'none', 'd': 'almost none', 'e': 'most', 'f': 'the smaller part', 'g': 'almost all', 'h': 'many', 'i': 'all'}, {'a': 'some', 'b': 'none', 'c': 'many', 'd': 'few', 'e': 'almost none', 'f': 'all', 'g': 'most', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'none', 'c': 'some', 'd': 'almost none', 'e': 'most', 'f': 'all', 'g': 'almost all', 'h': 'few', 'i': 'many'}, {'a': 'almost all', 'b': 'all', 'c': 'many', 'd': 'almost none', 'e': 'few', 'f': 'none', 'g': 'some', 'h': 'most', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: some\nD: most\nE: almost all\nF: none\nG: almost none\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: none\nD: almost none\nE: most\nF: the smaller part\nG: almost all\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: many\nD: few\nE: almost none\nF: all\nG: most\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: some\nD: almost none\nE: most\nF: all\nG: almost all\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: many\nD: almost none\nE: few\nF: none\nG: some\nH: most\nI: the smaller part\nAnswer:']"
16,data/images/quantifier/test_16.png,"[[''], ['there are 5 animals in the image'], ['b'], ['d'], ['a']]","[{'a': 'the smaller part', 'b': 'none', 'c': 'almost all', 'd': 'many', 'e': 'some', 'f': 'most', 'g': 'almost none', 'h': 'all', 'i': 'few'}, {'a': 'some', 'b': 'few', 'c': 'most', 'd': 'all', 'e': 'none', 'f': 'almost none', 'g': 'the smaller part', 'h': 'many', 'i': 'almost all'}, {'a': 'almost none', 'b': 'most', 'c': 'all', 'd': 'the smaller part', 'e': 'many', 'f': 'few', 'g': 'none', 'h': 'some', 'i': 'almost all'}, {'a': 'few', 'b': 'all', 'c': 'the smaller part', 'd': 'almost none', 'e': 'none', 'f': 'almost all', 'g': 'most', 'h': 'some', 'i': 'many'}, {'a': 'few', 'b': 'almost none', 'c': 'most', 'd': 'none', 'e': 'many', 'f': 'the smaller part', 'g': 'all', 'h': 'almost all', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost all\nD: many\nE: some\nF: most\nG: almost none\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: most\nD: all\nE: none\nF: almost none\nG: the smaller part\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: all\nD: the smaller part\nE: many\nF: few\nG: none\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: the smaller part\nD: almost none\nE: none\nF: almost all\nG: most\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: most\nD: none\nE: many\nF: the smaller part\nG: all\nH: almost all\nI: some\nAnswer:']"
20,data/images/quantifier/test_20.png,"[['a'], ['the smaller part'], ['e'], ['d'], ['some']]","[{'a': 'almost none', 'b': 'none', 'c': 'the smaller part', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'few', 'h': 'most', 'i': 'many'}, {'a': 'none', 'b': 'few', 'c': 'many', 'd': 'almost none', 'e': 'most', 'f': 'almost all', 'g': 'the smaller part', 'h': 'some', 'i': 'all'}, {'a': 'some', 'b': 'the smaller part', 'c': 'none', 'd': 'almost none', 'e': 'few', 'f': 'most', 'g': 'all', 'h': 'almost all', 'i': 'many'}, {'a': 'none', 'b': 'almost none', 'c': 'most', 'd': 'almost all', 'e': 'some', 'f': 'few', 'g': 'many', 'h': 'all', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'most', 'c': 'almost all', 'd': 'the smaller part', 'e': 'few', 'f': 'some', 'g': 'all', 'h': 'none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: the smaller part\nD: all\nE: some\nF: almost all\nG: few\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: many\nD: almost none\nE: most\nF: almost all\nG: the smaller part\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: none\nD: almost none\nE: few\nF: most\nG: all\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: most\nD: almost all\nE: some\nF: few\nG: many\nH: all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: almost all\nD: the smaller part\nE: few\nF: some\nG: all\nH: none\nI: many\nAnswer:']"
24,data/images/quantifier/test_24.png,"[[''], ['a'], [''], ['all'], ['']]","[{'a': 'almost all', 'b': 'some', 'c': 'almost none', 'd': 'the smaller part', 'e': 'few', 'f': 'many', 'g': 'none', 'h': 'most', 'i': 'all'}, {'a': 'the smaller part', 'b': 'most', 'c': 'few', 'd': 'many', 'e': 'almost all', 'f': 'all', 'g': 'some', 'h': 'none', 'i': 'almost none'}, {'a': 'all', 'b': 'many', 'c': 'none', 'd': 'almost none', 'e': 'almost all', 'f': 'few', 'g': 'some', 'h': 'most', 'i': 'the smaller part'}, {'a': 'all', 'b': 'most', 'c': 'some', 'd': 'almost all', 'e': 'almost none', 'f': 'none', 'g': 'the smaller part', 'h': 'many', 'i': 'few'}, {'a': 'most', 'b': 'few', 'c': 'almost none', 'd': 'none', 'e': 'the smaller part', 'f': 'all', 'g': 'many', 'h': 'some', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: almost none\nD: the smaller part\nE: few\nF: many\nG: none\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: few\nD: many\nE: almost all\nF: all\nG: some\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: none\nD: almost none\nE: almost all\nF: few\nG: some\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: some\nD: almost all\nE: almost none\nF: none\nG: the smaller part\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost none\nD: none\nE: the smaller part\nF: all\nG: many\nH: some\nI: almost all\nAnswer:']"
25,data/images/quantifier/test_25.png,"[['b'], ['h, few'], ['a'], ['all'], ['all']]","[{'a': 'all', 'b': 'some', 'c': 'almost all', 'd': 'few', 'e': 'none', 'f': 'the smaller part', 'g': 'most', 'h': 'many', 'i': 'almost none'}, {'a': 'all', 'b': 'none', 'c': 'the smaller part', 'd': 'some', 'e': 'almost none', 'f': 'many', 'g': 'most', 'h': 'almost all', 'i': 'few'}, {'a': 'almost none', 'b': 'the smaller part', 'c': 'almost all', 'd': 'few', 'e': 'some', 'f': 'all', 'g': 'many', 'h': 'none', 'i': 'most'}, {'a': 'none', 'b': 'all', 'c': 'most', 'd': 'almost all', 'e': 'some', 'f': 'few', 'g': 'almost none', 'h': 'the smaller part', 'i': 'many'}, {'a': 'none', 'b': 'some', 'c': 'almost none', 'd': 'the smaller part', 'e': 'most', 'f': 'few', 'g': 'many', 'h': 'all', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: almost all\nD: few\nE: none\nF: the smaller part\nG: most\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: the smaller part\nD: some\nE: almost none\nF: many\nG: most\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: almost all\nD: few\nE: some\nF: all\nG: many\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: most\nD: almost all\nE: some\nF: few\nG: almost none\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: almost none\nD: the smaller part\nE: most\nF: few\nG: many\nH: all\nI: almost all\nAnswer:']"
29,data/images/quantifier/test_29.png,"[['d'], ['c'], ['c'], ['g'], ['g']]","[{'a': 'many', 'b': 'most', 'c': 'all', 'd': 'none', 'e': 'the smaller part', 'f': 'few', 'g': 'almost all', 'h': 'almost none', 'i': 'some'}, {'a': 'few', 'b': 'the smaller part', 'c': 'almost none', 'd': 'most', 'e': 'almost all', 'f': 'many', 'g': 'some', 'h': 'none', 'i': 'all'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'some', 'd': 'many', 'e': 'few', 'f': 'almost none', 'g': 'none', 'h': 'all', 'i': 'most'}, {'a': 'few', 'b': 'almost none', 'c': 'almost all', 'd': 'all', 'e': 'many', 'f': 'most', 'g': 'some', 'h': 'none', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'some', 'c': 'few', 'd': 'all', 'e': 'none', 'f': 'almost all', 'g': 'most', 'h': 'almost none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: all\nD: none\nE: the smaller part\nF: few\nG: almost all\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: almost none\nD: most\nE: almost all\nF: many\nG: some\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: some\nD: many\nE: few\nF: almost none\nG: none\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: almost all\nD: all\nE: many\nF: most\nG: some\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: few\nD: all\nE: none\nF: almost all\nG: most\nH: almost none\nI: many\nAnswer:']"
37,data/images/quantifier/test_37.png,"[['a, c'], ['the larger part'], ['c'], ['g'], ['almost all']]","[{'a': 'most', 'b': 'almost all', 'c': 'few', 'd': 'none', 'e': 'some', 'f': 'many', 'g': 'the smaller part', 'h': 'all', 'i': 'almost none'}, {'a': 'most', 'b': 'few', 'c': 'almost none', 'd': 'all', 'e': 'none', 'f': 'almost all', 'g': 'the smaller part', 'h': 'many', 'i': 'some'}, {'a': 'few', 'b': 'almost all', 'c': 'some', 'd': 'many', 'e': 'all', 'f': 'almost none', 'g': 'the smaller part', 'h': 'most', 'i': 'none'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'most', 'd': 'almost none', 'e': 'some', 'f': 'few', 'g': 'all', 'h': 'many', 'i': 'none'}, {'a': 'few', 'b': 'most', 'c': 'almost all', 'd': 'the smaller part', 'e': 'none', 'f': 'almost none', 'g': 'some', 'h': 'all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: few\nD: none\nE: some\nF: many\nG: the smaller part\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: few\nC: almost none\nD: all\nE: none\nF: almost all\nG: the smaller part\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: some\nD: many\nE: all\nF: almost none\nG: the smaller part\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: most\nD: almost none\nE: some\nF: few\nG: all\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: almost all\nD: the smaller part\nE: none\nF: almost none\nG: some\nH: all\nI: many\nAnswer:']"
44,data/images/quantifier/test_44.png,"[['c'], ['none'], ['a'], ['there are 5 animals in the image'], ['c']]","[{'a': 'all', 'b': 'few', 'c': 'the smaller part', 'd': 'almost all', 'e': 'none', 'f': 'most', 'g': 'almost none', 'h': 'many', 'i': 'some'}, {'a': 'some', 'b': 'few', 'c': 'all', 'd': 'none', 'e': 'almost all', 'f': 'almost none', 'g': 'most', 'h': 'the smaller part', 'i': 'many'}, {'a': 'none', 'b': 'few', 'c': 'almost all', 'd': 'all', 'e': 'many', 'f': 'some', 'g': 'the smaller part', 'h': 'almost none', 'i': 'most'}, {'a': 'almost none', 'b': 'many', 'c': 'the smaller part', 'd': 'most', 'e': 'some', 'f': 'almost all', 'g': 'few', 'h': 'all', 'i': 'none'}, {'a': 'all', 'b': 'almost none', 'c': 'many', 'd': 'most', 'e': 'some', 'f': 'the smaller part', 'g': 'none', 'h': 'almost all', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: the smaller part\nD: almost all\nE: none\nF: most\nG: almost none\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: all\nD: none\nE: almost all\nF: almost none\nG: most\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: almost all\nD: all\nE: many\nF: some\nG: the smaller part\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: the smaller part\nD: most\nE: some\nF: almost all\nG: few\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: many\nD: most\nE: some\nF: the smaller part\nG: none\nH: almost all\nI: few\nAnswer:']"
