index,image,blip2_filtered_output
95,data/images/quantifier/test_95.png,"['all', 'most', 'almost all', 'some', 'few']"
30,data/images/quantifier/test_30.png,"['most', 'the smaller part', 'few', 'most', 'all']"
158,data/images/quantifier/test_158.png,"['the smaller part', 'few', 'none', 'all', 'the smaller part']"
128,data/images/quantifier/test_128.png,"['many', 'all', 'some', 'many', 'few']"
115,data/images/quantifier/test_115.png,"['all', 'all', 'all', 'almost none', 'most']"
1776,data/images/quantifier/test_1776.png,"['some', 'many', 'almost none', 'all', 'none']"
1780,data/images/quantifier/test_1780.png,"['all', 'almost none', 'almost all', 'almost all', 'all']"
1109,data/images/quantifier/test_1109.png,"['some', 'few', 'few', 'all', 'some']"
1122,data/images/quantifier/test_1122.png,"['some', 'many', 'all', 'few', 'almost none']"
938,data/images/quantifier/test_938.png,"['almost none', 'many', 'none', 'the smaller part', 'few']"
870,data/images/quantifier/test_870.png,"['some', 'none', 'the smaller part', 'some', 'all']"
932,data/images/quantifier/test_932.png,"['many', 'many', 'many', 'almost none', 'few']"
780,data/images/quantifier/test_780.png,"['the smaller part', 'some', 'almost all', 'many', 'many']"
737,data/images/quantifier/test_737.png,"['all', 'all', 'the smaller part', 'most', 'many']"
474,data/images/quantifier/test_474.png,"['the smaller part', 'some', 'the smaller part', 'many', 'many']"
558,data/images/quantifier/test_558.png,"['some', 'few', 'almost all', 'none', 'many']"
512,data/images/quantifier/test_512.png,"['all', 'the smaller part', 'most', 'most', 'many']"
492,data/images/quantifier/test_492.png,"['most', 'few', 'many', 'many', 'all']"
260,data/images/quantifier/test_260.png,"['all', 'many', 'almost all', 'the smaller part', 'the smaller part']"
326,data/images/quantifier/test_326.png,"['many', 'all', 'many', 'none', 'most']"
2290,data/images/quantifier/test_2290.png,"['the smaller part', 'none', 'many', 'all', 'most']"
1255,data/images/quantifier/test_1255.png,"['many', 'almost all', 'all', 'none', 'the smaller part']"
1302,data/images/quantifier/test_1302.png,"['some', 'the smaller part', 'some', 'none', 'most']"
2054,data/images/quantifier/test_2054.png,"['none', 'all', 'most', 'none', 'many']"
2019,data/images/quantifier/test_2019.png,"['none', 'all', 'almost none', 'all', 'some']"
2137,data/images/quantifier/test_2137.png,"['none', 'the smaller part', 'all', 'all', 'all']"
1493,data/images/quantifier/test_1493.png,"['almost none', 'none', 'almost none', 'few', 'almost none']"
2658,data/images/quantifier/test_2658.png,"['almost none', 'almost none', 'none', 'many', 'none']"
2632,data/images/quantifier/test_2632.png,"['none', 'some', 'the smaller part', 'some', 'few']"
2789,data/images/quantifier/test_2789.png,"['the smaller part', 'most', 'most', 'all', 'most']"
2603,data/images/quantifier/test_2603.png,"['the smaller part', 'many', 'almost none', 'most', 'many']"
2731,data/images/quantifier/test_2731.png,"['the smaller part', 'few', 'some', 'none', 'all']"
1878,data/images/quantifier/test_1878.png,"['the smaller part', 'few', 'some', 'some', 'all']"
1858,data/images/quantifier/test_1858.png,"['all', 'most', 'the smaller part', 'some', 'some']"
2892,data/images/quantifier/test_2892.png,"['the smaller part', 'few', 'all', 'few', 'the smaller part']"
2945,data/images/quantifier/test_2945.png,"['all', 'none', 'some', 'many', 'all']"
2883,data/images/quantifier/test_2883.png,"['the smaller part', 'none', 'few', 'few', 'the smaller part']"
3145,data/images/quantifier/test_3145.png,"['none', 'all', 'all', 'almost all', 'almost all']"
3249,data/images/quantifier/test_3249.png,"['few', 'almost none', 'the smaller part', 'none', 'some']"
3348,data/images/quantifier/test_3348.png,"['the smaller part', 'many', 'none', 'all', 'most']"
