index,image,blip2_filtered_output
30,data/images/quantifier/test_30.png,"['some', 'some', 'the smaller part', 'all', 'all']"
128,data/images/quantifier/test_128.png,"['almost none', 'most', 'the smaller part', 'many', 'some']"
1776,data/images/quantifier/test_1776.png,"['most', 'almost none', 'none', 'few', 'many']"
1721,data/images/quantifier/test_1721.png,"['most', 'some', 'few', 'few', 'some']"
1780,data/images/quantifier/test_1780.png,"['some', 'none', 'some', 'all', 'the smaller part']"
1109,data/images/quantifier/test_1109.png,"['all', 'none', 'almost all', 'most', 'the smaller part']"
1019,data/images/quantifier/test_1019.png,"['few', 'few', 'many', 'the smaller part', 'some']"
1122,data/images/quantifier/test_1122.png,"['the smaller part', 'none', 'some', 'none', 'all']"
1166,data/images/quantifier/test_1166.png,"['none', 'all', 'the smaller part', 'few', 'all']"
938,data/images/quantifier/test_938.png,"['most', 'almost none', 'all', 'many', 'none']"
863,data/images/quantifier/test_863.png,"['few', 'none', 'almost none', 'the smaller part', 'the smaller part']"
934,data/images/quantifier/test_934.png,"['all', 'none', 'the smaller part', 'the smaller part', 'most']"
932,data/images/quantifier/test_932.png,"['few', 'none', 'none', 'none', 'none']"
793,data/images/quantifier/test_793.png,"['the smaller part', 'many', 'few', 'some', 'most']"
737,data/images/quantifier/test_737.png,"['most', 'many', 'almost all', 'many', 'many']"
474,data/images/quantifier/test_474.png,"['the smaller part', 'most', 'most', 'all', 'many']"
558,data/images/quantifier/test_558.png,"['some', 'few', 'almost all', 'many', 'the smaller part']"
487,data/images/quantifier/test_487.png,"['all', 'almost all', 'all', 'some', 'none']"
260,data/images/quantifier/test_260.png,"['all', 'most', 'none', 'all', 'none']"
384,data/images/quantifier/test_384.png,"['all', 'almost none', 'many', 'many', 'all']"
303,data/images/quantifier/test_303.png,"['many', 'some', 'the smaller part', 'some', 'the smaller part']"
394,data/images/quantifier/test_394.png,"['none', 'all', 'many', 'almost all', 'most']"
2211,data/images/quantifier/test_2211.png,"['some', 'the smaller part', 'all', 'almost all', 'many']"
2229,data/images/quantifier/test_2229.png,"['most', 'the smaller part', 'almost all', 'many', 'some']"
2301,data/images/quantifier/test_2301.png,"['none', 'many', 'almost all', 'many', 'almost all']"
1255,data/images/quantifier/test_1255.png,"['few', 'many', 'the smaller part', 'all', 'almost all']"
1341,data/images/quantifier/test_1341.png,"['the smaller part', 'most', 'none', 'almost none', 'all']"
1294,data/images/quantifier/test_1294.png,"['some', 'none', 'almost all', 'all', 'most']"
1204,data/images/quantifier/test_1204.png,"['the smaller part', 'all', 'some', 'almost none', 'none']"
1302,data/images/quantifier/test_1302.png,"['many', 'none', 'almost all', 'almost none', 'few']"
2567,data/images/quantifier/test_2567.png,"['almost all', 'some', 'most', 'some', 'many']"
2472,data/images/quantifier/test_2472.png,"['none', 'some', 'all', 'some', 'none']"
2111,data/images/quantifier/test_2111.png,"['few', 'almost all', 'some', 'none', 'all']"
1499,data/images/quantifier/test_1499.png,"['almost none', 'few', 'all', 'most', 'the smaller part']"
1554,data/images/quantifier/test_1554.png,"['almost none', 'all', 'none', 'some', 'some']"
1493,data/images/quantifier/test_1493.png,"['almost all', 'many', 'none', 'most', 'the smaller part']"
2655,data/images/quantifier/test_2655.png,"['some', 'none', 'all', 'most', 'all']"
2603,data/images/quantifier/test_2603.png,"['some', 'many', 'almost none', 'the smaller part', 'all']"
2731,data/images/quantifier/test_2731.png,"['many', 'most', 'some', 'many', 'almost none']"
1982,data/images/quantifier/test_1982.png,"['all', 'none', 'most', 'some', 'the smaller part']"
1878,data/images/quantifier/test_1878.png,"['many', 'almost all', 'many', 'none', 'all']"
1947,data/images/quantifier/test_1947.png,"['many', 'some', 'some', 'all', 'all']"
1965,data/images/quantifier/test_1965.png,"['none', 'all', 'many', 'all', 'none']"
2893,data/images/quantifier/test_2893.png,"['almost none', 'all', 'the smaller part', 'all', 'many']"
2945,data/images/quantifier/test_2945.png,"['none', 'some', 'the smaller part', 'all', 'few']"
3139,data/images/quantifier/test_3139.png,"['many', 'almost all', 'the smaller part', 'many', 'few']"
3145,data/images/quantifier/test_3145.png,"['some', 'none', 'the smaller part', 'all', 'the smaller part']"
3157,data/images/quantifier/test_3157.png,"['all', 'all', 'almost none', 'most', 'some']"
3184,data/images/quantifier/test_3184.png,"['all', 'almost none', 'some', 'the smaller part', 'many']"
3249,data/images/quantifier/test_3249.png,"['some', 'all', 'the smaller part', 'many', 'some']"
3268,data/images/quantifier/test_3268.png,"['few', 'none', 'few', 'none', 'none']"
