index,image_file,blip2_output,shuffled_options,prompted_questions
2,data/images/quantifier/test_2.png,"[['g'], ['none'], ['there are 8 animals in the image'], ['most'], ['the smaller part']]","[{'a': 'almost all', 'b': 'all', 'c': 'few', 'd': 'most', 'e': 'almost none', 'f': 'some', 'g': 'the smaller part', 'h': 'none', 'i': 'many'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'none', 'd': 'many', 'e': 'few', 'f': 'all', 'g': 'most', 'h': 'some', 'i': 'almost none'}, {'a': 'most', 'b': 'almost none', 'c': 'few', 'd': 'none', 'e': 'the smaller part', 'f': 'many', 'g': 'almost all', 'h': 'some', 'i': 'all'}, {'a': 'some', 'b': 'none', 'c': 'all', 'd': 'the smaller part', 'e': 'most', 'f': 'few', 'g': 'almost all', 'h': 'almost none', 'i': 'many'}, {'a': 'the smaller part', 'b': 'all', 'c': 'most', 'd': 'almost all', 'e': 'many', 'f': 'none', 'g': 'some', 'h': 'few', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: few\nD: most\nE: almost none\nF: some\nG: the smaller part\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: none\nD: many\nE: few\nF: all\nG: most\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: few\nD: none\nE: the smaller part\nF: many\nG: almost all\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: all\nD: the smaller part\nE: most\nF: few\nG: almost all\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: most\nD: almost all\nE: many\nF: none\nG: some\nH: few\nI: almost none\nAnswer:']"
5,data/images/quantifier/test_5.png,"[['a'], ['the smaller part'], ['i choose e'], [''], ['b']]","[{'a': 'many', 'b': 'few', 'c': 'none', 'd': 'almost none', 'e': 'almost all', 'f': 'all', 'g': 'the smaller part', 'h': 'most', 'i': 'some'}, {'a': 'all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'few', 'e': 'none', 'f': 'some', 'g': 'many', 'h': 'almost all', 'i': 'most'}, {'a': 'some', 'b': 'the smaller part', 'c': 'none', 'd': 'all', 'e': 'most', 'f': 'few', 'g': 'almost none', 'h': 'many', 'i': 'almost all'}, {'a': 'some', 'b': 'none', 'c': 'many', 'd': 'few', 'e': 'all', 'f': 'most', 'g': 'the smaller part', 'h': 'almost all', 'i': 'almost none'}, {'a': 'few', 'b': 'some', 'c': 'none', 'd': 'almost all', 'e': 'the smaller part', 'f': 'most', 'g': 'many', 'h': 'almost none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: none\nD: almost none\nE: almost all\nF: all\nG: the smaller part\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost none\nD: few\nE: none\nF: some\nG: many\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: none\nD: all\nE: most\nF: few\nG: almost none\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: many\nD: few\nE: all\nF: most\nG: the smaller part\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: none\nD: almost all\nE: the smaller part\nF: most\nG: many\nH: almost none\nI: all\nAnswer:']"
13,data/images/quantifier/test_13.png,"[['a'], ['i'], ['none'], ['a'], ['g']]","[{'a': 'many', 'b': 'the smaller part', 'c': 'all', 'd': 'most', 'e': 'none', 'f': 'almost none', 'g': 'some', 'h': 'almost all', 'i': 'few'}, {'a': 'almost none', 'b': 'many', 'c': 'none', 'd': 'the smaller part', 'e': 'some', 'f': 'almost all', 'g': 'most', 'h': 'all', 'i': 'few'}, {'a': 'the smaller part', 'b': 'none', 'c': 'all', 'd': 'many', 'e': 'most', 'f': 'few', 'g': 'almost none', 'h': 'some', 'i': 'almost all'}, {'a': 'almost none', 'b': 'many', 'c': 'almost all', 'd': 'some', 'e': 'all', 'f': 'the smaller part', 'g': 'few', 'h': 'most', 'i': 'none'}, {'a': 'most', 'b': 'almost all', 'c': 'all', 'd': 'none', 'e': 'many', 'f': 'some', 'g': 'almost none', 'h': 'the smaller part', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: all\nD: most\nE: none\nF: almost none\nG: some\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: none\nD: the smaller part\nE: some\nF: almost all\nG: most\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: all\nD: many\nE: most\nF: few\nG: almost none\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: almost all\nD: some\nE: all\nF: the smaller part\nG: few\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: all\nD: none\nE: many\nF: some\nG: almost none\nH: the smaller part\nI: few\nAnswer:']"
16,data/images/quantifier/test_16.png,"[['the smaller part'], ['d'], ['i'], ['some'], ['none']]","[{'a': 'the smaller part', 'b': 'many', 'c': 'all', 'd': 'some', 'e': 'most', 'f': 'almost all', 'g': 'almost none', 'h': 'few', 'i': 'none'}, {'a': 'none', 'b': 'some', 'c': 'all', 'd': 'the smaller part', 'e': 'almost none', 'f': 'few', 'g': 'many', 'h': 'almost all', 'i': 'most'}, {'a': 'some', 'b': 'most', 'c': 'the smaller part', 'd': 'none', 'e': 'many', 'f': 'all', 'g': 'almost none', 'h': 'few', 'i': 'almost all'}, {'a': 'all', 'b': 'many', 'c': 'almost none', 'd': 'most', 'e': 'none', 'f': 'the smaller part', 'g': 'some', 'h': 'almost all', 'i': 'few'}, {'a': 'almost none', 'b': 'most', 'c': 'the smaller part', 'd': 'few', 'e': 'none', 'f': 'almost all', 'g': 'all', 'h': 'many', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: all\nD: some\nE: most\nF: almost all\nG: almost none\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: all\nD: the smaller part\nE: almost none\nF: few\nG: many\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: the smaller part\nD: none\nE: many\nF: all\nG: almost none\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: almost none\nD: most\nE: none\nF: the smaller part\nG: some\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: the smaller part\nD: few\nE: none\nF: almost all\nG: all\nH: many\nI: some\nAnswer:']"
20,data/images/quantifier/test_20.png,"[['d'], ['a'], ['the smaller part'], ['none'], ['all']]","[{'a': 'many', 'b': 'all', 'c': 'almost none', 'd': 'most', 'e': 'almost all', 'f': 'the smaller part', 'g': 'few', 'h': 'none', 'i': 'some'}, {'a': 'some', 'b': 'few', 'c': 'the smaller part', 'd': 'almost none', 'e': 'most', 'f': 'none', 'g': 'almost all', 'h': 'all', 'i': 'many'}, {'a': 'almost all', 'b': 'all', 'c': 'almost none', 'd': 'many', 'e': 'none', 'f': 'the smaller part', 'g': 'most', 'h': 'some', 'i': 'few'}, {'a': 'almost all', 'b': 'few', 'c': 'almost none', 'd': 'many', 'e': 'all', 'f': 'the smaller part', 'g': 'some', 'h': 'none', 'i': 'most'}, {'a': 'most', 'b': 'almost all', 'c': 'almost none', 'd': 'some', 'e': 'none', 'f': 'few', 'g': 'the smaller part', 'h': 'many', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: almost none\nD: most\nE: almost all\nF: the smaller part\nG: few\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: the smaller part\nD: almost none\nE: most\nF: none\nG: almost all\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: almost none\nD: many\nE: none\nF: the smaller part\nG: most\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: almost none\nD: many\nE: all\nF: the smaller part\nG: some\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: almost none\nD: some\nE: none\nF: few\nG: the smaller part\nH: many\nI: all\nAnswer:']"
24,data/images/quantifier/test_24.png,"[['a'], ['c'], ['d'], ['a'], ['d']]","[{'a': 'many', 'b': 'most', 'c': 'the smaller part', 'd': 'none', 'e': 'few', 'f': 'some', 'g': 'all', 'h': 'almost all', 'i': 'almost none'}, {'a': 'some', 'b': 'many', 'c': 'few', 'd': 'almost all', 'e': 'most', 'f': 'none', 'g': 'the smaller part', 'h': 'almost none', 'i': 'all'}, {'a': 'almost none', 'b': 'few', 'c': 'the smaller part', 'd': 'none', 'e': 'all', 'f': 'most', 'g': 'almost all', 'h': 'some', 'i': 'many'}, {'a': 'few', 'b': 'many', 'c': 'most', 'd': 'some', 'e': 'almost all', 'f': 'the smaller part', 'g': 'none', 'h': 'all', 'i': 'almost none'}, {'a': 'none', 'b': 'all', 'c': 'most', 'd': 'few', 'e': 'many', 'f': 'some', 'g': 'almost all', 'h': 'almost none', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: the smaller part\nD: none\nE: few\nF: some\nG: all\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: few\nD: almost all\nE: most\nF: none\nG: the smaller part\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: the smaller part\nD: none\nE: all\nF: most\nG: almost all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: most\nD: some\nE: almost all\nF: the smaller part\nG: none\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: most\nD: few\nE: many\nF: some\nG: almost all\nH: almost none\nI: the smaller part\nAnswer:']"
25,data/images/quantifier/test_25.png,"[['g'], ['a'], ['g, i'], ['g'], ['e']]","[{'a': 'many', 'b': 'almost all', 'c': 'all', 'd': 'most', 'e': 'few', 'f': 'none', 'g': 'the smaller part', 'h': 'some', 'i': 'almost none'}, {'a': 'few', 'b': 'almost none', 'c': 'some', 'd': 'none', 'e': 'all', 'f': 'almost all', 'g': 'many', 'h': 'the smaller part', 'i': 'most'}, {'a': 'few', 'b': 'none', 'c': 'the smaller part', 'd': 'almost none', 'e': 'most', 'f': 'almost all', 'g': 'all', 'h': 'some', 'i': 'many'}, {'a': 'few', 'b': 'none', 'c': 'most', 'd': 'almost none', 'e': 'the smaller part', 'f': 'almost all', 'g': 'some', 'h': 'many', 'i': 'all'}, {'a': 'the smaller part', 'b': 'most', 'c': 'almost none', 'd': 'few', 'e': 'none', 'f': 'some', 'g': 'all', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: all\nD: most\nE: few\nF: none\nG: the smaller part\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: some\nD: none\nE: all\nF: almost all\nG: many\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: the smaller part\nD: almost none\nE: most\nF: almost all\nG: all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: most\nD: almost none\nE: the smaller part\nF: almost all\nG: some\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: almost none\nD: few\nE: none\nF: some\nG: all\nH: almost all\nI: many\nAnswer:']"
29,data/images/quantifier/test_29.png,"[[''], ['c'], ['a'], ['d'], ['a']]","[{'a': 'most', 'b': 'some', 'c': 'many', 'd': 'all', 'e': 'none', 'f': 'almost none', 'g': 'few', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'some', 'c': 'all', 'd': 'most', 'e': 'almost all', 'f': 'many', 'g': 'the smaller part', 'h': 'few', 'i': 'none'}, {'a': 'many', 'b': 'almost none', 'c': 'most', 'd': 'the smaller part', 'e': 'few', 'f': 'some', 'g': 'none', 'h': 'almost all', 'i': 'all'}, {'a': 'some', 'b': 'few', 'c': 'many', 'd': 'the smaller part', 'e': 'most', 'f': 'all', 'g': 'almost none', 'h': 'none', 'i': 'almost all'}, {'a': 'many', 'b': 'the smaller part', 'c': 'most', 'd': 'almost none', 'e': 'some', 'f': 'none', 'g': 'all', 'h': 'few', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: many\nD: all\nE: none\nF: almost none\nG: few\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: all\nD: most\nE: almost all\nF: many\nG: the smaller part\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: most\nD: the smaller part\nE: few\nF: some\nG: none\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: many\nD: the smaller part\nE: most\nF: all\nG: almost none\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: most\nD: almost none\nE: some\nF: none\nG: all\nH: few\nI: almost all\nAnswer:']"
37,data/images/quantifier/test_37.png,"[['the smaller part'], ['g'], ['almost all'], ['many'], ['b']]","[{'a': 'almost none', 'b': 'some', 'c': 'many', 'd': 'the smaller part', 'e': 'none', 'f': 'all', 'g': 'most', 'h': 'few', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'none', 'c': 'all', 'd': 'almost all', 'e': 'most', 'f': 'few', 'g': 'some', 'h': 'almost none', 'i': 'many'}, {'a': 'the smaller part', 'b': 'few', 'c': 'none', 'd': 'all', 'e': 'many', 'f': 'some', 'g': 'almost none', 'h': 'most', 'i': 'almost all'}, {'a': 'many', 'b': 'some', 'c': 'all', 'd': 'none', 'e': 'the smaller part', 'f': 'few', 'g': 'most', 'h': 'almost none', 'i': 'almost all'}, {'a': 'most', 'b': 'almost none', 'c': 'all', 'd': 'many', 'e': 'some', 'f': 'few', 'g': 'almost all', 'h': 'none', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: many\nD: the smaller part\nE: none\nF: all\nG: most\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: all\nD: almost all\nE: most\nF: few\nG: some\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: none\nD: all\nE: many\nF: some\nG: almost none\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: all\nD: none\nE: the smaller part\nF: few\nG: most\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: all\nD: many\nE: some\nF: few\nG: almost all\nH: none\nI: the smaller part\nAnswer:']"
44,data/images/quantifier/test_44.png,"[['most'], ['d'], ['c'], ['a'], ['g']]","[{'a': 'all', 'b': 'the smaller part', 'c': 'some', 'd': 'many', 'e': 'almost all', 'f': 'most', 'g': 'almost none', 'h': 'few', 'i': 'none'}, {'a': 'none', 'b': 'almost none', 'c': 'few', 'd': 'almost all', 'e': 'many', 'f': 'most', 'g': 'some', 'h': 'the smaller part', 'i': 'all'}, {'a': 'all', 'b': 'almost none', 'c': 'few', 'd': 'none', 'e': 'some', 'f': 'the smaller part', 'g': 'many', 'h': 'almost all', 'i': 'most'}, {'a': 'some', 'b': 'most', 'c': 'none', 'd': 'few', 'e': 'many', 'f': 'all', 'g': 'the smaller part', 'h': 'almost all', 'i': 'almost none'}, {'a': 'most', 'b': 'the smaller part', 'c': 'few', 'd': 'almost none', 'e': 'many', 'f': 'none', 'g': 'all', 'h': 'some', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: some\nD: many\nE: almost all\nF: most\nG: almost none\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: few\nD: almost all\nE: many\nF: most\nG: some\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: few\nD: none\nE: some\nF: the smaller part\nG: many\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: none\nD: few\nE: many\nF: all\nG: the smaller part\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: few\nD: almost none\nE: many\nF: none\nG: all\nH: some\nI: almost all\nAnswer:']"
