index,image,blip2_filtered_output
158,data/images/quantifier/test_158.png,"['all', 'all', 'none', 'some', 'none']"
115,data/images/quantifier/test_115.png,"['most', 'the smaller part', 'some', 'most', 'some']"
1776,data/images/quantifier/test_1776.png,"['none', 'all', 'almost none', 'the smaller part', 'almost none']"
1160,data/images/quantifier/test_1160.png,"['all', 'all', 'all', 'some', 'almost all']"
1014,data/images/quantifier/test_1014.png,"['none', 'none', 'few', 'some', 'almost all']"
1109,data/images/quantifier/test_1109.png,"['many', 'almost none', 'some', 'most', 'almost all']"
1019,data/images/quantifier/test_1019.png,"['all', 'few', 'the smaller part', 'the smaller part', 'the smaller part']"
1166,data/images/quantifier/test_1166.png,"['all', 'the smaller part', 'none', 'almost none', 'some']"
863,data/images/quantifier/test_863.png,"['the smaller part', 'the smaller part', 'many', 'none', 'many']"
934,data/images/quantifier/test_934.png,"['none', 'many', 'none', 'the smaller part', 'some']"
866,data/images/quantifier/test_866.png,"['almost all', 'the smaller part', 'almost none', 'the smaller part', 'the smaller part']"
932,data/images/quantifier/test_932.png,"['none', 'all', 'the smaller part', 'none', 'all']"
780,data/images/quantifier/test_780.png,"['the smaller part', 'the smaller part', 'none', 'none', 'many']"
793,data/images/quantifier/test_793.png,"['some', 'none', 'many', 'almost all', 'almost all']"
737,data/images/quantifier/test_737.png,"['almost none', 'most', 'all', 'the smaller part', 'almost all']"
758,data/images/quantifier/test_758.png,"['all', 'few', 'all', 'almost all', 'none']"
558,data/images/quantifier/test_558.png,"['almost none', 'some', 'some', 'many', 'all']"
512,data/images/quantifier/test_512.png,"['all', 'the smaller part', 'few', 'few', 'the smaller part']"
487,data/images/quantifier/test_487.png,"['almost all', 'almost all', 'some', 'almost none', 'all']"
492,data/images/quantifier/test_492.png,"['none', 'all', 'none', 'the smaller part', 'none']"
212,data/images/quantifier/test_212.png,"['many', 'none', 'many', 'all', 'all']"
326,data/images/quantifier/test_326.png,"['none', 'all', 'all', 'few', 'almost none']"
384,data/images/quantifier/test_384.png,"['most', 'many', 'most', 'almost none', 'most']"
2211,data/images/quantifier/test_2211.png,"['some', 'the smaller part', 'none', 'some', 'many']"
2229,data/images/quantifier/test_2229.png,"['all', 'few', 'most', 'the smaller part', 'most']"
2301,data/images/quantifier/test_2301.png,"['almost all', 'many', 'few', 'many', 'all']"
2243,data/images/quantifier/test_2243.png,"['the smaller part', 'many', 'many', 'few', 'some']"
2290,data/images/quantifier/test_2290.png,"['some', 'none', 'none', 'the smaller part', 'all']"
2201,data/images/quantifier/test_2201.png,"['some', 'all', 'none', 'the smaller part', 'all']"
1255,data/images/quantifier/test_1255.png,"['some', 'the smaller part', 'the smaller part', 'the smaller part', 'all']"
1294,data/images/quantifier/test_1294.png,"['many', 'some', 'most', 'few', 'almost all']"
1272,data/images/quantifier/test_1272.png,"['the smaller part', 'all', 'the smaller part', 'some', 'some']"
1302,data/images/quantifier/test_1302.png,"['many', 'none', 'most', 'all', 'few']"
2054,data/images/quantifier/test_2054.png,"['some', 'none', 'all', 'none', 'the smaller part']"
2019,data/images/quantifier/test_2019.png,"['most', 'all', 'almost none', 'none', 'all']"
2031,data/images/quantifier/test_2031.png,"['none', 'the smaller part', 'all', 'almost none', 'the smaller part']"
2135,data/images/quantifier/test_2135.png,"['many', 'many', 'all', 'all', 'all']"
1499,data/images/quantifier/test_1499.png,"['some', 'all', 'some', 'almost none', 'some']"
1502,data/images/quantifier/test_1502.png,"['none', 'almost all', 'all', 'almost none', 'almost none']"
1493,data/images/quantifier/test_1493.png,"['all', 'almost all', 'many', 'all', 'the smaller part']"
1534,data/images/quantifier/test_1534.png,"['some', 'almost all', 'all', 'many', 'most']"
2632,data/images/quantifier/test_2632.png,"['some', 'many', 'few', 'some', 'almost all']"
2789,data/images/quantifier/test_2789.png,"['almost all', 'some', 'many', 'none', 'most']"
2731,data/images/quantifier/test_2731.png,"['none', 'many', 'none', 'almost none', 'none']"
1982,data/images/quantifier/test_1982.png,"['all', 'some', 'all', 'the smaller part', 'some']"
1878,data/images/quantifier/test_1878.png,"['none', 'the smaller part', 'few', 'some', 'some']"
2883,data/images/quantifier/test_2883.png,"['none', 'none', 'the smaller part', 'almost all', 'none']"
2985,data/images/quantifier/test_2985.png,"['all', 'the smaller part', 'none', 'all', 'none']"
2817,data/images/quantifier/test_2817.png,"['some', 'none', 'almost none', 'all', 'most']"
3145,data/images/quantifier/test_3145.png,"['many', 'the smaller part', 'almost none', 'all', 'all']"
3157,data/images/quantifier/test_3157.png,"['all', 'few', 'none', 'the smaller part', 'almost none']"
3310,data/images/quantifier/test_3310.png,"['many', 'none', 'all', 'all', 'most']"
3327,data/images/quantifier/test_3327.png,"['almost all', 'the smaller part', 'the smaller part', 'almost all', 'all']"
3353,data/images/quantifier/test_3353.png,"['all', 'the smaller part', 'all', 'all', 'some']"
