index,image,blip2_filtered_output
15,data/images/quantifier/test_15.png,"['the smaller part', 'the smaller part', 'all', 'almost all', 'the smaller part']"
158,data/images/quantifier/test_158.png,"['all', 'the smaller part', 'most', 'none', 'none']"
128,data/images/quantifier/test_128.png,"['none', 'many', 'most', 'some', 'almost none']"
1633,data/images/quantifier/test_1633.png,"['all', 'none', 'none', 'all', 'most']"
1721,data/images/quantifier/test_1721.png,"['none', 'none', 'few', 'all', 'almost all']"
1780,data/images/quantifier/test_1780.png,"['some', 'none', 'almost none', 'the smaller part', 'all']"
1160,data/images/quantifier/test_1160.png,"['none', 'some', 'most', 'none', 'none']"
1014,data/images/quantifier/test_1014.png,"['all', 'most', 'all', 'none', 'most']"
1019,data/images/quantifier/test_1019.png,"['almost none', 'all', 'all', 'none', 'most']"
1122,data/images/quantifier/test_1122.png,"['some', 'almost none', 'few', 'the smaller part', 'some']"
934,data/images/quantifier/test_934.png,"['none', 'none', 'many', 'almost none', 'all']"
866,data/images/quantifier/test_866.png,"['many', 'none', 'none', 'many', 'almost all']"
711,data/images/quantifier/test_711.png,"['none', 'most', 'the smaller part', 'all', 'some']"
793,data/images/quantifier/test_793.png,"['most', 'the smaller part', 'few', 'few', 'most']"
758,data/images/quantifier/test_758.png,"['almost none', 'none', 'some', 'some', 'few']"
558,data/images/quantifier/test_558.png,"['none', 'few', 'the smaller part', 'the smaller part', 'many']"
512,data/images/quantifier/test_512.png,"['the smaller part', 'none', 'none', 'many', 'almost all']"
492,data/images/quantifier/test_492.png,"['the smaller part', 'the smaller part', 'some', 'almost all', 'few']"
260,data/images/quantifier/test_260.png,"['few', 'most', 'some', 'none', 'the smaller part']"
384,data/images/quantifier/test_384.png,"['almost none', 'many', 'few', 'some', 'many']"
2301,data/images/quantifier/test_2301.png,"['almost all', 'all', 'the smaller part', 'none', 'most']"
2243,data/images/quantifier/test_2243.png,"['some', 'none', 'some', 'none', 'most']"
1204,data/images/quantifier/test_1204.png,"['almost all', 'the smaller part', 'all', 'few', 'all']"
1272,data/images/quantifier/test_1272.png,"['most', 'none', 'the smaller part', 'most', 'all']"
2515,data/images/quantifier/test_2515.png,"['the smaller part', 'the smaller part', 'almost none', 'none', 'few']"
2592,data/images/quantifier/test_2592.png,"['the smaller part', 'some', 'most', 'none', 'none']"
2567,data/images/quantifier/test_2567.png,"['some', 'some', 'few', 'the smaller part', 'the smaller part']"
2472,data/images/quantifier/test_2472.png,"['all', 'many', 'almost all', 'none', 'almost all']"
2111,data/images/quantifier/test_2111.png,"['none', 'most', 'almost none', 'some', 'none']"
2019,data/images/quantifier/test_2019.png,"['almost all', 'some', 'most', 'most', 'few']"
2137,data/images/quantifier/test_2137.png,"['many', 'some', 'few', 'some', 'most']"
2135,data/images/quantifier/test_2135.png,"['many', 'almost none', 'all', 'most', 'some']"
1486,data/images/quantifier/test_1486.png,"['almost all', 'all', 'some', 'many', 'some']"
1499,data/images/quantifier/test_1499.png,"['the smaller part', 'almost all', 'most', 'many', 'many']"
1502,data/images/quantifier/test_1502.png,"['few', 'none', 'all', 'the smaller part', 'almost none']"
2658,data/images/quantifier/test_2658.png,"['all', 'none', 'all', 'none', 'many']"
2789,data/images/quantifier/test_2789.png,"['many', 'most', 'the smaller part', 'most', 'few']"
2603,data/images/quantifier/test_2603.png,"['all', 'many', 'none', 'some', 'the smaller part']"
1878,data/images/quantifier/test_1878.png,"['all', 'almost all', 'many', 'few', 'few']"
1947,data/images/quantifier/test_1947.png,"['almost none', 'all', 'none', 'all', 'almost none']"
1858,data/images/quantifier/test_1858.png,"['none', 'the smaller part', 'none', 'many', 'all']"
2945,data/images/quantifier/test_2945.png,"['all', 'many', 'many', 'some', 'the smaller part']"
2883,data/images/quantifier/test_2883.png,"['all', 'all', 'almost none', 'some', 'many']"
3145,data/images/quantifier/test_3145.png,"['all', 'all', 'most', 'none', 'the smaller part']"
3157,data/images/quantifier/test_3157.png,"['almost all', 'none', 'some', 'some', 'all']"
3110,data/images/quantifier/test_3110.png,"['none', 'all', 'the smaller part', 'almost none', 'almost all']"
3327,data/images/quantifier/test_3327.png,"['the smaller part', 'all', 'few', 'some', 'some']"
