index,image,blip2_filtered_output
158,data/images/quantifier/test_158.png,"['some', 'most', 'few', 'some', 'almost all']"
1160,data/images/quantifier/test_1160.png,"['almost none', 'all', 'none', 'almost all', 'few']"
1109,data/images/quantifier/test_1109.png,"['most', 'some', 'some', 'all', 'some']"
1019,data/images/quantifier/test_1019.png,"['many', 'none', 'many', 'many', 'the smaller part']"
1166,data/images/quantifier/test_1166.png,"['all', 'all', 'almost none', 'the smaller part', 'none']"
938,data/images/quantifier/test_938.png,"['all', 'none', 'almost all', 'almost all', 'the smaller part']"
870,data/images/quantifier/test_870.png,"['none', 'almost none', 'none', 'most', 'almost all']"
934,data/images/quantifier/test_934.png,"['most', 'none', 'all', 'most', 'almost none']"
866,data/images/quantifier/test_866.png,"['all', 'some', 'many', 'all', 'almost all']"
932,data/images/quantifier/test_932.png,"['few', 'many', 'most', 'none', 'almost none']"
780,data/images/quantifier/test_780.png,"['the smaller part', 'many', 'none', 'most', 'almost none']"
793,data/images/quantifier/test_793.png,"['all', 'all', 'almost none', 'none', 'many']"
737,data/images/quantifier/test_737.png,"['all', 'none', 'all', 'some', 'many']"
758,data/images/quantifier/test_758.png,"['almost none', 'some', 'most', 'all', 'most']"
558,data/images/quantifier/test_558.png,"['most', 'most', 'the smaller part', 'almost all', 'few']"
512,data/images/quantifier/test_512.png,"['all', 'all', 'most', 'all', 'some']"
492,data/images/quantifier/test_492.png,"['almost none', 'almost all', 'most', 'all', 'none']"
384,data/images/quantifier/test_384.png,"['almost none', 'some', 'all', 'all', 'almost none']"
303,data/images/quantifier/test_303.png,"['all', 'the smaller part', 'few', 'many', 'all']"
394,data/images/quantifier/test_394.png,"['all', 'all', 'none', 'all', 'almost none']"
2211,data/images/quantifier/test_2211.png,"['few', 'some', 'the smaller part', 'few', 'almost none']"
2243,data/images/quantifier/test_2243.png,"['some', 'none', 'none', 'none', 'many']"
2290,data/images/quantifier/test_2290.png,"['none', 'none', 'the smaller part', 'some', 'all']"
1341,data/images/quantifier/test_1341.png,"['all', 'almost none', 'few', 'almost all', 'many']"
2515,data/images/quantifier/test_2515.png,"['none', 'all', 'most', 'few', 'the smaller part']"
2592,data/images/quantifier/test_2592.png,"['many', 'many', 'many', 'the smaller part', 'almost all']"
2567,data/images/quantifier/test_2567.png,"['none', 'few', 'most', 'few', 'the smaller part']"
2487,data/images/quantifier/test_2487.png,"['none', 'most', 'almost none', 'all', 'none']"
2054,data/images/quantifier/test_2054.png,"['none', 'many', 'most', 'the smaller part', 'the smaller part']"
2111,data/images/quantifier/test_2111.png,"['the smaller part', 'most', 'all', 'some', 'the smaller part']"
2019,data/images/quantifier/test_2019.png,"['all', 'some', 'most', 'all', 'none']"
2031,data/images/quantifier/test_2031.png,"['none', 'most', 'few', 'almost all', 'many']"
1486,data/images/quantifier/test_1486.png,"['none', 'many', 'none', 'all', 'some']"
1502,data/images/quantifier/test_1502.png,"['the smaller part', 'all', 'almost none', 'some', 'the smaller part']"
1534,data/images/quantifier/test_1534.png,"['some', 'almost all', 'none', 'some', 'the smaller part']"
2789,data/images/quantifier/test_2789.png,"['the smaller part', 'most', 'many', 'some', 'all']"
1912,data/images/quantifier/test_1912.png,"['almost none', 'none', 'many', 'some', 'almost all']"
1858,data/images/quantifier/test_1858.png,"['the smaller part', 'the smaller part', 'the smaller part', 'none', 'some']"
1965,data/images/quantifier/test_1965.png,"['few', 'some', 'most', 'the smaller part', 'many']"
2892,data/images/quantifier/test_2892.png,"['most', 'most', 'almost none', 'none', 'few']"
2883,data/images/quantifier/test_2883.png,"['almost all', 'none', 'few', 'all', 'many']"
2817,data/images/quantifier/test_2817.png,"['few', 'most', 'all', 'none', 'some']"
3139,data/images/quantifier/test_3139.png,"['some', 'almost all', 'almost all', 'many', 'many']"
3145,data/images/quantifier/test_3145.png,"['all', 'the smaller part', 'all', 'none', 'some']"
3184,data/images/quantifier/test_3184.png,"['all', 'all', 'the smaller part', 'all', 'all']"
3110,data/images/quantifier/test_3110.png,"['most', 'few', 'none', 'none', 'almost all']"
3310,data/images/quantifier/test_3310.png,"['many', 'some', 'none', 'none', 'most']"
3327,data/images/quantifier/test_3327.png,"['none', 'all', 'few', 'few', 'none']"
