index,image,blip2_output,shuffled_options,prompted_questions
95,data/images/quantifier/test_95.png,"[['g is the right answer'], ['c'], ['a'], ['g'], ['some']]","[{'a': 'few', 'b': 'none', 'c': 'almost all', 'd': 'almost none', 'e': 'the smaller part', 'f': 'many', 'g': 'all', 'h': 'some', 'i': 'most'}, {'a': 'almost all', 'b': 'few', 'c': 'most', 'd': 'the smaller part', 'e': 'all', 'f': 'some', 'g': 'almost none', 'h': 'none', 'i': 'many'}, {'a': 'few', 'b': 'some', 'c': 'almost all', 'd': 'most', 'e': 'none', 'f': 'the smaller part', 'g': 'almost none', 'h': 'all', 'i': 'many'}, {'a': 'most', 'b': 'almost none', 'c': 'many', 'd': 'all', 'e': 'few', 'f': 'some', 'g': 'almost all', 'h': 'the smaller part', 'i': 'none'}, {'a': 'almost none', 'b': 'some', 'c': 'all', 'd': 'most', 'e': 'few', 'f': 'none', 'g': 'many', 'h': 'the smaller part', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: almost all\nD: almost none\nE: the smaller part\nF: many\nG: all\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: most\nD: the smaller part\nE: all\nF: some\nG: almost none\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: almost all\nD: most\nE: none\nF: the smaller part\nG: almost none\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: many\nD: all\nE: few\nF: some\nG: almost all\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: all\nD: most\nE: few\nF: none\nG: many\nH: the smaller part\nI: almost all\nAnswer:']"
15,data/images/quantifier/test_15.png,"[['there are no animals in the image'], ['b'], ['the bigger part'], ['c'], ['d']]","[{'a': 'few', 'b': 'none', 'c': 'all', 'd': 'the smaller part', 'e': 'almost none', 'f': 'almost all', 'g': 'some', 'h': 'most', 'i': 'many'}, {'a': 'the smaller part', 'b': 'most', 'c': 'all', 'd': 'almost all', 'e': 'many', 'f': 'few', 'g': 'none', 'h': 'some', 'i': 'almost none'}, {'a': 'some', 'b': 'none', 'c': 'almost none', 'd': 'many', 'e': 'most', 'f': 'almost all', 'g': 'the smaller part', 'h': 'few', 'i': 'all'}, {'a': 'most', 'b': 'almost none', 'c': 'all', 'd': 'many', 'e': 'some', 'f': 'the smaller part', 'g': 'none', 'h': 'few', 'i': 'almost all'}, {'a': 'many', 'b': 'all', 'c': 'almost none', 'd': 'none', 'e': 'the smaller part', 'f': 'some', 'g': 'almost all', 'h': 'few', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: all\nD: the smaller part\nE: almost none\nF: almost all\nG: some\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: all\nD: almost all\nE: many\nF: few\nG: none\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: almost none\nD: many\nE: most\nF: almost all\nG: the smaller part\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: all\nD: many\nE: some\nF: the smaller part\nG: none\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: almost none\nD: none\nE: the smaller part\nF: some\nG: almost all\nH: few\nI: most\nAnswer:']"
30,data/images/quantifier/test_30.png,"[['a'], ['i'], ['a is correct'], ['all'], ['g']]","[{'a': 'the smaller part', 'b': 'none', 'c': 'almost all', 'd': 'few', 'e': 'almost none', 'f': 'some', 'g': 'most', 'h': 'all', 'i': 'many'}, {'a': 'almost none', 'b': 'none', 'c': 'many', 'd': 'almost all', 'e': 'few', 'f': 'all', 'g': 'the smaller part', 'h': 'some', 'i': 'most'}, {'a': 'few', 'b': 'most', 'c': 'none', 'd': 'some', 'e': 'all', 'f': 'many', 'g': 'almost none', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'all', 'b': 'almost all', 'c': 'almost none', 'd': 'the smaller part', 'e': 'some', 'f': 'none', 'g': 'many', 'h': 'few', 'i': 'most'}, {'a': 'almost all', 'b': 'almost none', 'c': 'many', 'd': 'some', 'e': 'all', 'f': 'the smaller part', 'g': 'most', 'h': 'few', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost all\nD: few\nE: almost none\nF: some\nG: most\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: many\nD: almost all\nE: few\nF: all\nG: the smaller part\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: none\nD: some\nE: all\nF: many\nG: almost none\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: almost none\nD: the smaller part\nE: some\nF: none\nG: many\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: many\nD: some\nE: all\nF: the smaller part\nG: most\nH: few\nI: none\nAnswer:']"
158,data/images/quantifier/test_158.png,"[['d'], ['a'], ['c'], ['a: the smaller part'], ['g']]","[{'a': 'none', 'b': 'most', 'c': 'few', 'd': 'the smaller part', 'e': 'many', 'f': 'all', 'g': 'some', 'h': 'almost none', 'i': 'almost all'}, {'a': 'none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'most', 'e': 'almost none', 'f': 'some', 'g': 'few', 'h': 'all', 'i': 'many'}, {'a': 'almost all', 'b': 'many', 'c': 'all', 'd': 'almost none', 'e': 'most', 'f': 'none', 'g': 'some', 'h': 'the smaller part', 'i': 'few'}, {'a': 'the smaller part', 'b': 'most', 'c': 'all', 'd': 'many', 'e': 'some', 'f': 'few', 'g': 'none', 'h': 'almost all', 'i': 'almost none'}, {'a': 'all', 'b': 'almost none', 'c': 'none', 'd': 'the smaller part', 'e': 'almost all', 'f': 'many', 'g': 'few', 'h': 'some', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: few\nD: the smaller part\nE: many\nF: all\nG: some\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: the smaller part\nD: most\nE: almost none\nF: some\nG: few\nH: all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: all\nD: almost none\nE: most\nF: none\nG: some\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: all\nD: many\nE: some\nF: few\nG: none\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: none\nD: the smaller part\nE: almost all\nF: many\nG: few\nH: some\nI: most\nAnswer:']"
128,data/images/quantifier/test_128.png,"[['a'], ['a'], ['b'], ['i'], ['c']]","[{'a': 'many', 'b': 'some', 'c': 'most', 'd': 'almost all', 'e': 'the smaller part', 'f': 'almost none', 'g': 'few', 'h': 'all', 'i': 'none'}, {'a': 'some', 'b': 'none', 'c': 'the smaller part', 'd': 'almost none', 'e': 'most', 'f': 'all', 'g': 'almost all', 'h': 'few', 'i': 'many'}, {'a': 'many', 'b': 'all', 'c': 'none', 'd': 'some', 'e': 'almost all', 'f': 'most', 'g': 'almost none', 'h': 'the smaller part', 'i': 'few'}, {'a': 'all', 'b': 'almost all', 'c': 'none', 'd': 'some', 'e': 'most', 'f': 'the smaller part', 'g': 'few', 'h': 'almost none', 'i': 'many'}, {'a': 'most', 'b': 'almost none', 'c': 'few', 'd': 'almost all', 'e': 'the smaller part', 'f': 'many', 'g': 'none', 'h': 'all', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: most\nD: almost all\nE: the smaller part\nF: almost none\nG: few\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: the smaller part\nD: almost none\nE: most\nF: all\nG: almost all\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: none\nD: some\nE: almost all\nF: most\nG: almost none\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: none\nD: some\nE: most\nF: the smaller part\nG: few\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: few\nD: almost all\nE: the smaller part\nF: many\nG: none\nH: all\nI: some\nAnswer:']"
115,data/images/quantifier/test_115.png,"[['all'], ['most'], ['b'], ['b'], ['all the animals']]","[{'a': 'all', 'b': 'the smaller part', 'c': 'almost all', 'd': 'none', 'e': 'most', 'f': 'few', 'g': 'many', 'h': 'almost none', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'all', 'd': 'almost none', 'e': 'many', 'f': 'most', 'g': 'some', 'h': 'few', 'i': 'almost all'}, {'a': 'many', 'b': 'almost none', 'c': 'most', 'd': 'the smaller part', 'e': 'all', 'f': 'some', 'g': 'almost all', 'h': 'few', 'i': 'none'}, {'a': 'almost all', 'b': 'all', 'c': 'many', 'd': 'almost none', 'e': 'the smaller part', 'f': 'few', 'g': 'none', 'h': 'some', 'i': 'most'}, {'a': 'few', 'b': 'none', 'c': 'the smaller part', 'd': 'most', 'e': 'some', 'f': 'all', 'g': 'almost none', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost all\nD: none\nE: most\nF: few\nG: many\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: all\nD: almost none\nE: many\nF: most\nG: some\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: most\nD: the smaller part\nE: all\nF: some\nG: almost all\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: many\nD: almost none\nE: the smaller part\nF: few\nG: none\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: the smaller part\nD: most\nE: some\nF: all\nG: almost none\nH: almost all\nI: many\nAnswer:']"
1776,data/images/quantifier/test_1776.png,"[['d'], ['all'], ['b'], ['i'], ['none']]","[{'a': 'all', 'b': 'some', 'c': 'most', 'd': 'almost none', 'e': 'none', 'f': 'the smaller part', 'g': 'almost all', 'h': 'many', 'i': 'few'}, {'a': 'most', 'b': 'some', 'c': 'many', 'd': 'all', 'e': 'none', 'f': 'almost none', 'g': 'few', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'none', 'b': 'some', 'c': 'most', 'd': 'all', 'e': 'almost all', 'f': 'few', 'g': 'many', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'almost all', 'b': 'few', 'c': 'the smaller part', 'd': 'none', 'e': 'all', 'f': 'almost none', 'g': 'some', 'h': 'most', 'i': 'many'}, {'a': 'many', 'b': 'all', 'c': 'some', 'd': 'few', 'e': 'almost none', 'f': 'none', 'g': 'most', 'h': 'almost all', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: most\nD: almost none\nE: none\nF: the smaller part\nG: almost all\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: many\nD: all\nE: none\nF: almost none\nG: few\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: most\nD: all\nE: almost all\nF: few\nG: many\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: the smaller part\nD: none\nE: all\nF: almost none\nG: some\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: some\nD: few\nE: almost none\nF: none\nG: most\nH: almost all\nI: the smaller part\nAnswer:']"
1633,data/images/quantifier/test_1633.png,"[['e'], ['1'], ['d'], ['b'], ['c']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'few', 'd': 'many', 'e': 'all', 'f': 'none', 'g': 'most', 'h': 'some', 'i': 'the smaller part'}, {'a': 'many', 'b': 'few', 'c': 'almost all', 'd': 'most', 'e': 'almost none', 'f': 'all', 'g': 'the smaller part', 'h': 'some', 'i': 'none'}, {'a': 'almost all', 'b': 'almost none', 'c': 'many', 'd': 'all', 'e': 'some', 'f': 'most', 'g': 'few', 'h': 'the smaller part', 'i': 'none'}, {'a': 'most', 'b': 'some', 'c': 'all', 'd': 'none', 'e': 'almost all', 'f': 'many', 'g': 'few', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'many', 'c': 'none', 'd': 'most', 'e': 'all', 'f': 'some', 'g': 'almost all', 'h': 'the smaller part', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: few\nD: many\nE: all\nF: none\nG: most\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: almost all\nD: most\nE: almost none\nF: all\nG: the smaller part\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: many\nD: all\nE: some\nF: most\nG: few\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: all\nD: none\nE: almost all\nF: many\nG: few\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: none\nD: most\nE: all\nF: some\nG: almost all\nH: the smaller part\nI: few\nAnswer:']"
1721,data/images/quantifier/test_1721.png,"[[''], ['the smaller part'], ['g'], ['none'], ['none']]","[{'a': 'the smaller part', 'b': 'few', 'c': 'many', 'd': 'almost none', 'e': 'some', 'f': 'most', 'g': 'none', 'h': 'almost all', 'i': 'all'}, {'a': 'few', 'b': 'most', 'c': 'many', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'almost none', 'h': 'the smaller part', 'i': 'none'}, {'a': 'most', 'b': 'all', 'c': 'almost all', 'd': 'none', 'e': 'the smaller part', 'f': 'few', 'g': 'almost none', 'h': 'some', 'i': 'many'}, {'a': 'most', 'b': 'almost none', 'c': 'all', 'd': 'the smaller part', 'e': 'many', 'f': 'few', 'g': 'none', 'h': 'almost all', 'i': 'some'}, {'a': 'few', 'b': 'the smaller part', 'c': 'almost none', 'd': 'all', 'e': 'almost all', 'f': 'some', 'g': 'most', 'h': 'many', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: many\nD: almost none\nE: some\nF: most\nG: none\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: many\nD: all\nE: some\nF: almost all\nG: almost none\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: almost all\nD: none\nE: the smaller part\nF: few\nG: almost none\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost none\nC: all\nD: the smaller part\nE: many\nF: few\nG: none\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: almost none\nD: all\nE: almost all\nF: some\nG: most\nH: many\nI: none\nAnswer:']"
1780,data/images/quantifier/test_1780.png,"[['all the answer options are correct and the correct answer is'], ['e'], ['g'], ['i'], ['e']]","[{'a': 'almost none', 'b': 'most', 'c': 'few', 'd': 'all', 'e': 'none', 'f': 'almost all', 'g': 'many', 'h': 'the smaller part', 'i': 'some'}, {'a': 'many', 'b': 'the smaller part', 'c': 'some', 'd': 'almost none', 'e': 'almost all', 'f': 'most', 'g': 'none', 'h': 'few', 'i': 'all'}, {'a': 'few', 'b': 'none', 'c': 'most', 'd': 'the smaller part', 'e': 'almost all', 'f': 'many', 'g': 'all', 'h': 'almost none', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'almost all', 'd': 'all', 'e': 'few', 'f': 'most', 'g': 'many', 'h': 'some', 'i': 'almost none'}, {'a': 'most', 'b': 'the smaller part', 'c': 'none', 'd': 'many', 'e': 'almost all', 'f': 'all', 'g': 'almost none', 'h': 'some', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: few\nD: all\nE: none\nF: almost all\nG: many\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: some\nD: almost none\nE: almost all\nF: most\nG: none\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: most\nD: the smaller part\nE: almost all\nF: many\nG: all\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: almost all\nD: all\nE: few\nF: most\nG: many\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: none\nD: many\nE: almost all\nF: all\nG: almost none\nH: some\nI: few\nAnswer:']"
