index,image,ratio,none,almost_none,the_smaller_part,few,some,many,most,almost_all,all
0,data/images/quantifier/test_0.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
1,data/images/quantifier/test_1.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
2,data/images/quantifier/test_2.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
3,data/images/quantifier/test_3.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
4,data/images/quantifier/test_4.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
5,data/images/quantifier/test_5.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
6,data/images/quantifier/test_6.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
7,data/images/quantifier/test_7.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
8,data/images/quantifier/test_8.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
9,data/images/quantifier/test_9.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
10,data/images/quantifier/test_10.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
11,data/images/quantifier/test_11.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
12,data/images/quantifier/test_12.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
13,data/images/quantifier/test_13.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
14,data/images/quantifier/test_14.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
15,data/images/quantifier/test_15.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
16,data/images/quantifier/test_16.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
17,data/images/quantifier/test_17.png,0Y,0.9765886288,0.0050167224,0.0,0.0033444816,0.0100334448,0.0,0.0,0.0,0.0050167224
