ratio,quantifier,0Y,19,15,14,13,12,23,34,11,43,32,21,31,41,51,91,X0
0,none,0.9765886288,0.0051020408,0.0034542314,0.0051194539,0.0016949153,0.0034364261,0,0.0034722222,0,0,0,0.0051635112,0.0033840948,0,0,0.0016863406,0.0016722408
1,almost_none,0.0050167224,0.5595238095,0.3195164076,0.2679180887,0.1593220339,0.087628866,0.0086956522,0.0086805556,0.0052631579,0.0051369863,0.0052631579,0.0034423408,0,0.006779661,0.0118243243,0.0151770658,0.0016722408
2,the_smaller_part,0,0.1139455782,0.2227979275,0.2457337884,0.286440678,0.3453608247,0.3426086957,0.2447916667,0.0614035088,0.0188356164,0.0140350877,0.017211704,0.0203045685,0.0084745763,0.0084459459,0.0016863406,0
3,few,0.0033444816,0.2823129252,0.3730569948,0.3788395904,0.4084745763,0.2508591065,0.172173913,0.1371527778,0.0456140351,0.0154109589,0.0175438596,0.0223752151,0.0084602369,0.006779661,0,0.0033726813,0.0016722408
4,some,0.0100334448,0.0238095238,0.0759930915,0.0836177474,0.1169491525,0.2577319588,0.3304347826,0.4670138889,0.4842105263,0.2859589041,0.1842105263,0.0671256454,0.0101522843,0.0118644068,0.0050675676,0.0016863406,0.0016722408
5,many,0,0,0,0,0.0084745763,0.0171821306,0.0660869565,0.0572916667,0.1578947368,0.1969178082,0.2035087719,0.1686746988,0.1539763113,0.1254237288,0.1081081081,0.0573355818,0.0033444816
6,most,0,0.0017006803,0,0.0119453925,0.0118644068,0.0257731959,0.0626086957,0.0694444444,0.2263157895,0.4280821918,0.5228070175,0.5938037866,0.5397631134,0.4898305085,0.3969594595,0.2293423272,0.0050167224
7,almost_all,0,0.0136054422,0.0051813472,0.0068259386,0.0033898305,0.0120274914,0.0156521739,0.0104166667,0.0192982456,0.0479452055,0.050877193,0.1204819277,0.2622673435,0.3474576271,0.4695945946,0.6846543002,0.0016722408
8,all,0.0050167224,0,0,0,0.0033898305,0,0.0017391304,0.0017361111,0,0.0017123288,0.001754386,0.0017211704,0.0016920474,0.0033898305,0,0.0050590219,0.983277592
,,,,,,,,,,,,,,,,,,
,test img ids,0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200
,,199,399,599,799,999,1199,1399,1599,1799,1999,2199,2399,2599,2799,2999,3199,3399
