Unnamed: 0,vg_image_id,vg_object_id,image,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,clusters,topname,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,vg_bbox_xywh,mn_bbox_xywh,human_nouns,blip2_extracted_nouns,pearsonr
18193,2387724,1273336,http://manynames.upf.edu//2387724_1273336_zebra.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2387724.jpg,zebra,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2387724.jpg,animal,[{'33': ['zebra']}],zebra,{'zebra': 1.0},{'zebra': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'zebra': {'zebra': 1.0}},"[0, 25, 437, 234]","[0, 23, 529, 286]","{'zebra': 0.9705882352941176, 'laying': 0.0, 'zebras': 0.0, 'eyes': 0.0, 'head': 0.0, 'animal': 0.029411764705882353}","{'zebra': 0.2857142857142857, 'laying': 0.14285714285714285, 'zebras': 0.14285714285714285, 'eyes': 0.14285714285714285, 'head': 0.2857142857142857, 'animal': 0.0}",0.5222519865811731
1167,2315536,1055732,http://manynames.upf.edu//2315536_1055732_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2315536.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2315536.jpg,animal,"[{'32': ['cat']}, {'3': ['bag']}]",cat,"{'bag': 0.17, 'cat': 1.0}","{'bag': {'bounding box': 1.0}, 'cat': {'None': 1.0}}",32,1.0,0.0,1,animals_plants,train,"{'bag': {'bag': 1.0, 'cat': 0.0}, 'cat': {'bag': 0.0, 'cat': 1.0}}","[171, 16, 293, 318]","[197, 12, 356, 386]","{'is': 0.0, 'cat': 0.9142857142857143, 'kitten': 0.0, 'bag': 0.08571428571428572, 'purse': 0.0, 'leather': 0.0}","{'is': 0.1, 'cat': 0.3, 'kitten': 0.1, 'bag': 0.1, 'purse': 0.2, 'leather': 0.2}",0.7736875331516939
3293,2326378,2808821,http://manynames.upf.edu//2326378_2808821_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K/2326378.jpg,sheep,animals_plants,ungulate.n.01,{'animal': 1.0},1.0,{'None': 1.0},2326378.jpg,animal,"[{'31': ['sheep', 'animal']}]",sheep,"{'sheep': 1.0, 'animal': 1.0}","{'sheep': {'None': 1.0}, 'animal': {'None': 1.0}}",31,0.935483870967742,0.345117314944953,2,animals_plants,train,"{'sheep': {'sheep': 1.0, 'animal': 1.0}, 'animal': {'sheep': 1.0, 'animal': 1.0}}","[127, 120, 209, 215]","[145, 136, 257, 264]","{'pant': 0.030303030303030304, 'shearing': 0.0, 'being': 0.0, 'is': 0.0, 'person': 0.0, 't-shirt': 0.030303030303030304, 'states': 0.0, 'sheep': 0.8787878787878788, 'animal': 0.06060606060606061, 'shepherd': 0.0, 'sheared': 0.0, 'man': 0.0, 's': 0.0, 'standing': 0.0}","{'pant': 0.0, 'shearing': 0.17647058823529413, 'being': 0.058823529411764705, 'is': 0.058823529411764705, 'person': 0.058823529411764705, 't-shirt': 0.0, 'states': 0.058823529411764705, 'sheep': 0.23529411764705882, 'animal': 0.0, 'shepherd': 0.058823529411764705, 'sheared': 0.058823529411764705, 'man': 0.11764705882352941, 's': 0.058823529411764705, 'standing': 0.058823529411764705}",0.6769051758462622
2950,2324227,2970972,http://manynames.upf.edu//2324227_2970972_giraffe.png,https://cs.stanford.edu/people/rak248/VG_100K/2324227.jpg,giraffe,animals_plants,ungulate.n.01,"{'animal': 0.75, 'giraffe': 1.0}",1.0,{'None': 1.0},2324227.jpg,animal,"[{'31': ['giraffe', 'animal']}]",giraffe,"{'giraffe': 1.0, 'animal': 0.88}","{'giraffe': {'None': 1.0}, 'animal': {'None': 0.8, 'other': 0.2}}",31,0.935483870967742,0.345117314944953,2,animals_plants,train,"{'giraffe': {'giraffe': 1.0, 'animal': 0.75}, 'animal': {'giraffe': 0.75, 'animal': 1.0}}","[135, 75, 138, 299]","[154, 82, 171, 363]","{'leaf': 0.0, 'giraffe': 0.9354838709677419, 'tree': 0.0, 'animal': 0.06451612903225806, 'tongue': 0.0, 'branch': 0.0, 'looking': 0.0, 'gull': 0.0}","{'leaf': 0.14285714285714285, 'giraffe': 0.2857142857142857, 'tree': 0.21428571428571427, 'animal': 0.0, 'tongue': 0.07142857142857142, 'branch': 0.14285714285714285, 'looking': 0.07142857142857142, 'gull': 0.07142857142857142}",0.67632661910105
16503,2380237,1349065,http://manynames.upf.edu//2380237_1349065_dog.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2380237.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2380237.jpg,animal,[{'35': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[41, 77, 328, 194]","[42, 85, 399, 239]","{'playing': 0.0, 'catching': 0.0, 'animal': 0.027777777777777776, 'frisbee': 0.0, 'dog': 0.9722222222222222, 'ball': 0.0}","{'playing': 0.1111111111111111, 'catching': 0.1111111111111111, 'animal': 0.0, 'frisbee': 0.3333333333333333, 'dog': 0.3333333333333333, 'ball': 0.1111111111111111}",0.5859746894138547
2711,2322899,3351088,http://manynames.upf.edu//2322899_3351088_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K/2322899.jpg,sheep,animals_plants,ungulate.n.01,"{'lamb': 1.0, 'goat': 0.5, 'sheep': 1.0}",1.0,{'None': 1.0},2322899.jpg,animal,"[{'36': ['lamb', 'sheep', 'goat']}]",sheep,"{'sheep': 1.0, 'lamb': 0.88, 'goat': 0.5}","{'sheep': {'None': 1.0}, 'lamb': {'None': 0.8, 'bounding box': 0.2}, 'goat': {'visual': 1.0}}",36,0.8333333333333334,0.8030717273241024,3,animals_plants,test,"{'sheep': {'sheep': 1.0, 'lamb': 1.0, 'goat': 0.5}, 'lamb': {'sheep': 1.0, 'lamb': 1.0, 'goat': 0.5}, 'goat': {'sheep': 0.5, 'lamb': 0.5, 'goat': 1.0}}","[237, 155, 263, 177]","[276, 178, 321, 218]","{'is': 0.0, 'goat': 0.05555555555555555, 'sheep': 0.8333333333333334, 'herd': 0.0, 'lamb': 0.1111111111111111}","{'is': 0.1, 'goat': 0.0, 'sheep': 0.8, 'herd': 0.1, 'lamb': 0.0}",0.9635967992120624
7615,2347522,890016,http://manynames.upf.edu//2347522_890016_zebra.png,https://cs.stanford.edu/people/rak248/VG_100K/2347522.jpg,zebra,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2347522.jpg,animal,[{'29': ['zebra']}],zebra,{'zebra': 1.0},{'zebra': {'None': 1.0}},29,1.0,0.0,1,animals_plants,val,{'zebra': {'zebra': 1.0}},"[19, 75, 424, 300]","[16, 82, 512, 365]","{'zebra': 0.9666666666666667, 'is': 0.0, 'zebras': 0.0, 'giraffe': 0.03333333333333333, 'foreground': 0.0, 'middle': 0.0}","{'zebra': 0.5555555555555556, 'is': 0.1111111111111111, 'zebras': 0.1111111111111111, 'giraffe': 0.0, 'foreground': 0.1111111111111111, 'middle': 0.1111111111111111}",0.9655640855770943
11130,2360751,786174,http://manynames.upf.edu//2360751_786174_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2360751.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2360751.jpg,animal,[{'32': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[121, 110, 244, 198]","[137, 124, 298, 243]","{'animal': 0.030303030303030304, 'cat': 0.9696969696969697}","{'animal': 0.0, 'cat': 1.0}",1.0
2676,2322781,2763680,http://manynames.upf.edu//2322781_2763680_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2322781.jpg,bird,animals_plants,bird.n.01,{'dog': 0.67},0.33,"{'other': 0.3, 'visual': 0.7}",2322781.jpg,animal,[{'33': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[163, 107, 199, 215]","[188, 121, 245, 264]","{'pillows': 0.0, 'is': 0.0, 'puppy': 0.027777777777777776, 'pillow': 0.027777777777777776, 'dog': 0.9166666666666666, 'baby dog': 0.027777777777777776, 'couch': 0.0}","{'pillows': 0.125, 'is': 0.125, 'puppy': 0.0, 'pillow': 0.0, 'dog': 0.5, 'baby dog': 0.0, 'couch': 0.25}",0.8414288564572117
16324,2379523,552269,http://manynames.upf.edu//2379523_552269_zebra.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2379523.jpg,zebra,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2379523.jpg,animal,[{'35': ['zebra']}],zebra,{'zebra': 1.0},{'zebra': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'zebra': {'zebra': 1.0}},"[90, 18, 377, 273]","[100, 14, 456, 332]","{'marybeth': 0.0, 'zebra': 0.9722222222222222, 'carse': 0.027777777777777776, 'stamford': 0.0, 'tby': 0.0}","{'marybeth': 0.14285714285714285, 'zebra': 0.5714285714285714, 'carse': 0.0, 'stamford': 0.14285714285714285, 'tby': 0.14285714285714285}",0.9500484967677795
