image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output,llava_saliencies,llava_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['In the image, there is a close-up of a pair of plastic, yellow, and', 'In the image, there is a close-up of two clear plastic containers, possibly toys', 'In the image, there are two yellow plastic containers with a hole in the center. They are', 'In the image, there is a close-up view of two plastic containers, possibly toy', 'In the image, there is a close-up view of a clear plastic container, possibly a']","[(['Yellow'], ['Plastic']), ([], ['Plastic']), (['Yellow'], ['Plastic']), ([], ['Plastic']), ([], ['Plastic'])]","(40, 100)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['In the image, there is a red vase with a unique design, featuring a curved shape', 'In the image, there is a red vase with a curved design, sitting on a white', 'In the image, there is a red vase or sculpture that is sitting on a white background', 'In the image, there is a red vase or sculpture with a curved design. It', 'In the image, there is a red vase with a curved shape, possibly a sculpture']","[(['Red'], []), (['Red', 'White'], []), (['Red'], []), (['Red'], []), (['Red'], [])]","(100, 0)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['In the image, there is a colorful wooden block with letters on it. The letters are arranged', 'In the image, there is a colorful wooden toy made up of several blocks, including red', 'In the image, there is a stack of wooden blocks with different colors, including red, blue,', 'The image features a colorful stack of wooden blocks, with each block being a different color. The', 'In the image, there is a colorful wooden block with letters on it. The block is sh']","[([], ['Wooden']), (['Red'], ['Wooden']), (['Red', 'Blue'], ['Wooden']), ([], ['Wooden']), ([], ['Wooden'])]","(40, 100)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['In the image, there is a close-up of a yellow plastic ring with a hole in', 'In the image, there is a bright orange plastic toy, possibly a toy car or', 'In the image, there is a close-up of a yellow and orange plastic toy,', 'In the image, there is a close-up of a bright yellow and orange toy, which', 'In the image, there is a yellow plastic ring with a hole in the center. The ring']","[(['Yellow'], ['Plastic']), (['Orange'], ['Plastic']), (['Orange', 'Yellow'], ['Plastic']), (['Orange', 'Yellow'], []), (['Yellow'], ['Plastic'])]","(100, 80)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['The image features a pink and purple plastic wing-shaped object with a rainbow', 'The image features a pink and yellow plastic object that looks like a wing. It is a', ""In the image, there is a pink and white object that looks like a bird's wing"", 'In the image, there is a pink, rainbow-colored, and glittery', 'In the image, there is a colorful, pink, and purple sculpture of an']","[(['Purple', 'Pink'], ['Plastic']), (['Yellow', 'Pink'], ['Plastic']), (['Pink', 'White'], []), (['Red', 'Pink'], []), (['Purple', 'Pink'], [])]","(100, 40)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['In the image, there is a silver, metallic object that resembles a spacecraft', 'In the image, there is a silver object with a blue top, resembling a small satellite', 'In the image, there is a silver, round, metallic object with a hole in the', 'In the image, there is a small silver object with a circular shape and a central hole. The', 'In the image, there is a silver metal object with a dome-shaped top, res']","[(['Silver'], ['Metallic']), (['Blue', 'Silver'], []), (['Silver'], ['Metallic']), (['Silver'], []), (['Silver'], [])]","(100, 40)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['In the image, there is a black and red object, possibly a toy or a decorative', 'In the image, there is a black object that looks like a ball with a red top. It', 'In the image, there is a black object that appears to be a rubber or plastic item', 'In the image, there is a black object that looks like a small, round, rubber ball', 'In the image, there is a small black object with a red top. It is sitting on a']","[(['Red', 'Black'], []), (['Red', 'Black'], []), (['Black'], ['Plastic', 'Rubber']), (['Black'], ['Rubber']), (['Red', 'Black'], [])]","(100, 40)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['In the image, there is a blue object that appears to be a piece of exercise equipment. It', 'In the image, there is a blue object with a twisted shape, resembling a blue', 'In the image, there is a blue object that resembles a curled up pipe or a', 'In the image, there is a blue object with a white tip, which appears to be a piece', 'In the image, there is a blue object that looks like a curled-up piece of pl']","[(['Blue'], []), (['Blue'], []), (['Blue'], []), (['Blue', 'White'], []), (['Blue'], [])]","(100, 0)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['In the image, there is a close-up of an orange, spiky, and b', 'In the image, there is an orange, spiky, and round object, which appears to', 'In the image, there is a close-up of an orange, spiky, and b', 'In the image, there is an orange, spiky, and possibly rubber-like object', 'In the image, there is an orange, spiky, and somewhat odd-shaped object']","[(['Orange'], []), (['Orange'], []), (['Orange'], []), (['Orange'], ['Rubber']), (['Orange'], [])]","(100, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['In the image, there is a red and blue ball with a yellow center. The ball is sitting', 'In the image, there are two red and yellow balls with blue dots on them. They are', 'In the image, there is a close-up of a red and blue ball with yellow spots', 'In the image, there is a red and blue rubber ball with yellow spots, sitting on', 'In the image, there is a close-up of a red and yellow ball with blue spots']","[(['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], ['Rubber']), (['Red', 'Yellow', 'Blue'], [])]","(100, 20)"
