image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output,llava_saliencies,llava_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['In the image, there is a close-up of a pair of yellow plastic eggs. The', 'In the image, there is a pair of clear plastic molded hands. They are designed', 'In the image, there is a close-up of a pair of yellow plastic ear molds', 'In the image, there are two plastic containers with a yellowish tint, resembling', 'In the image, there are two yellow plastic objects, which appear to be containers or containers with']","[(['Yellow'], ['Plastic']), ([], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic'])]","(80, 100)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['In the image, there is a red vase that appears to be made of metal. It has', 'In the image, there is a red vase that is shaped like a curved, open', 'In the image, there is a red sculpture of a vase, possibly a statue, sitting', 'The image features a red vase with a curved shape, possibly a sculpture or a piece', 'In the image, there is a red vase with a curved shape and a hole in the']","[(['Red'], []), (['Red'], []), (['Red'], []), (['Red'], []), (['Red'], [])]","(100, 0)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['In the image, there is a colorful wooden toy in the shape of a letter ""H', 'In the image, there is a stack of colorful wooden blocks. The blocks are arranged in a', 'In the image, there is a wooden toy with colored blocks attached to it. The toy', 'The image features a wooden toy shaped like a letter ""T"" made of interlocking', 'In the image, there is a colorful wooden block with letters on it. The letters are arranged']","[([], ['Wooden']), ([], ['Wooden']), (['Red'], ['Wooden']), ([], ['Wooden']), ([], ['Wooden'])]","(20, 100)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['In the image, there is a close-up view of a yellow and orange toy. It', 'In the image, there is a close-up of a yellow plastic ring with a hole in', 'In the image, there is a close-up view of a bright orange plastic ring with a', 'In the image, there is a bright orange toy that appears to be a combination of a ball', 'In the image, there is a close-up of a yellow object that appears to be a piece']","[(['Orange', 'Yellow'], []), (['Yellow'], ['Plastic']), (['Orange'], ['Plastic']), (['Orange'], []), (['Yellow'], [])]","(100, 40)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['In the image, there is a pink and yellow plastic wing with a rainbow-color', 'The image features a colorful, pink, and purple sculpture of an angel wing', 'In the image, there is a colorful, rainbow-colored wing-shaped sculpt', 'In the image, there is a pink, rainbow-colored sculpture or decoration', 'In the image, there is a pink and purple sculpture of a bird wing. The']","[(['Yellow', 'Pink'], ['Plastic']), (['Purple', 'Pink'], []), (['Red'], []), (['Red', 'Pink'], []), (['Purple', 'Pink'], [])]","(100, 20)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['In the image, there is a small, silver, circular object with a hole in the center.', 'In the image, there is a silver object that looks like a small spaceship or a flying sau', 'In the image, there is a small silver dome-shaped object with a red dot in', 'In the image, there is a small, silver, metallic object with a round shape and', 'In the image, there is a silver object that looks like a small spaceship or a UFO']","[(['Silver'], []), (['Silver'], []), (['Red', 'Silver'], []), (['Silver'], ['Metallic']), (['Silver'], [])]","(100, 20)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['In the image, there is a black object with a red tip. It appears to be a pl', 'In the image, there is a black plastic object with a red tip, which appears to be', 'In the image, there is a black plastic object with a red tip, which appears to be', 'In the image, there is a small black object with a red tip, sitting on a white background', 'In the image, there is a small black object with a red top, which appears to be a']","[(['Red', 'Black'], []), (['Red', 'Black'], ['Plastic']), (['Red', 'Black'], ['Plastic']), (['Red', 'Black'], []), (['Red', 'Black'], [])]","(100, 40)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['In the image, there is a blue plastic object with three blue rods coming out of it', 'In the image, there is a blue object that appears to be a piece of exercise equipment, possibly', 'In the image, there is a blue object that resembles a large blue spring or a blue', 'In the image, there is a blue rubber item that looks like a blue tube or a', 'In the image, there is a blue object that appears to be a piece of equipment or a part']","[(['Blue'], ['Plastic']), (['Blue'], []), (['Blue'], []), (['Blue'], ['Rubber']), (['Blue'], [])]","(100, 40)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['In the image, there is an orange, spiky, and possibly rubbery object that', 'In the image, there is an orange and brown spiky object, possibly a toy or', 'In the image, there is a close-up view of a small, bright orange, spik', 'In the image, there is a close-up of a bright orange, spiky, and', 'In the image, there is a close-up of an orange, spiky, and f']","[(['Orange'], ['Rubber']), (['Orange', 'Brown'], []), (['Orange'], []), (['Orange'], []), (['Orange'], [])]","(100, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['In the image, there is a red and yellow rubber ball with blue spots on it.', 'In the image, there are two red and yellow plastic balls with blue spikes on them.', 'In the image, there is a close-up of a red and yellow toy with blue d', 'In the image, there is a red and yellow rubber toy, possibly a ball, with', 'In the image, there is a red and yellow ball with blue dots, sitting on a white']","[(['Red', 'Yellow', 'Blue'], ['Rubber']), (['Red', 'Yellow', 'Blue'], ['Plastic']), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow'], ['Rubber']), (['Red', 'Yellow', 'Blue', 'White'], [])]","(100, 60)"
