image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output,llava_saliencies,llava_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['In the image, there are two clear plastic containers, one of which is a yellow-color', 'In the image, there is a clear, plastic, egg-shaped object with a hole', 'In the image, there is a plastic toy, which appears to be a yellow rubber', 'In the image, there are two clear plastic objects that appear to be designed to be used as', 'In the image, there are two yellow plastic containers with holes in them, placed next to each']","[(['Yellow'], ['Plastic']), ([], ['Plastic']), (['Yellow'], ['Plastic', 'Rubber']), ([], ['Plastic']), (['Yellow'], ['Plastic', 'Lace'])]","(60, 100)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['In the image, there is a red vase or sculpture, possibly a statue, with an', 'The image features a red sculpture or vase, possibly made of metal, that is shaped', 'In the image, there is a red vase with a unique, abstract shape, resembling', 'I see a red vase in the image.', 'I see a red vase with a curved, spiral shape. It is placed on a']","[(['Red'], []), (['Red'], []), (['Red'], []), (['Red'], []), (['Red'], ['Lace'])]","(100, 20)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['The image features a colorful wooden toy, which is a combination of several different colored blocks.', 'In the image, there is a wooden toy made up of various shapes, including a triangle,', 'In the image, there is a colorful wooden toy, which appears to be a puzzle', 'The image features a colorful wooden toy, made up of several wooden blocks. The toy', 'In the image, there is a wooden toy shaped like a letter T, made from different']","[(['Red'], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden'])]","(20, 100)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['In the image, there is a close-up of a yellow plastic item with a hole in', 'In the image, there is a small, bright orange plastic object with a hole in the center', 'In the image, there is a small orange object with a hole in the middle. The object is', 'The image features a bright orange rubber ring with a hole in the center, sitting on a white', 'In the image, there is a close-up of a bright orange toy with a hole in']","[(['Yellow'], ['Plastic']), (['Orange'], ['Plastic']), (['Orange'], []), (['Orange', 'White'], ['Rubber']), (['Orange'], [])]","(100, 60)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[""In the image, there is a pink and white sculpture of a bird's wing,"", ""The image features a colorful, three-dimensional object that appears to be a bird's head"", 'In the image, there is a colorful, pink, plastic or ceramic wing', 'In the image, there is a pink, colorful, and textured sculpture of a', 'In the image, there is a close-up view of a pink and white object that res']","[(['Pink', 'White'], []), ([], []), (['Pink'], ['Plastic']), (['Red', 'Pink'], []), (['Pink', 'White'], [])]","(80, 20)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['In the image, there is a silver object that appears to be a model of a spacecraft or', 'In the image, there is a silver or gray metal object, possibly a piece of art or a', 'In the image, there is a small silver object, which appears to be a silver model of a', 'In the image, there is a silver-colored model of a spacecraft, possibly a U', 'In the image, there is a silver, circular object with a flat top and a central hole.']","[(['Silver'], []), (['Gray', 'Silver'], []), (['Silver'], []), (['Red', 'Silver'], []), (['Silver'], [])]","(100, 0)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['In the image, there is a black object with a red tip, which is sitting on a white', 'The image shows a black rubber item with a red straw sticking out of it. The', 'In the image, there is a small black object with a red tip, which appears to be a', 'In the image, there is a black object with a red tip, resembling a large round', 'In the image, there is a black and red plastic object, possibly a toy or a']","[(['Red', 'Black', 'White'], []), (['Red', 'Black'], ['Rubber']), (['Red', 'Black'], []), (['Red', 'Black'], []), (['Red', 'Black'], ['Plastic'])]","(100, 40)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['In the image, there is a blue piece of exercise equipment with a twisted design. The blue', 'In the image, there is a blue object with three visible ends, which is a combination of a', 'In the image, there are three blue and white objects arranged in a spiral shape. They are', 'The image features a close-up of a blue object, possibly a piece of exercise equipment or a', 'In the image, there is a blue cylindrical object with a white top. The blue object']","[(['Blue'], []), (['Blue'], []), (['Blue', 'White'], []), (['Blue'], []), (['Blue', 'White'], [])]","(100, 0)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['In the image, there is an orange and yellow, spiky, and hairy object that', 'The image features a large, orange, spiky object that resembles a cactus', 'In the image, there is a close-up of a bright orange, spiky, and', 'In the image, there is a close-up view of an orange, spiky, and', 'In the image, there is a close-up of a bright orange, spiky, and']","[(['Orange', 'Yellow'], ['Hairy']), (['Orange'], []), (['Orange'], []), (['Orange'], []), (['Orange'], [])]","(100, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['In the image, there are two red and yellow balls with blue dots on them. They are', 'In the image, there is a red and blue rubber ball with a yellow center. The ball', 'In the image, there are two red and yellow balls with blue dots, sitting side by side', 'In the image, there is a red and blue plastic ball with a yellow center, sitting on', 'In the image, there is a red and yellow ball with a blue center. It is a bright']","[(['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], ['Rubber']), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], ['Plastic']), (['Red', 'Yellow', 'Blue'], [])]","(100, 40)"
