image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['In the image, there are two clear plastic containers with holes in them, sitting side by side'], ['In the image, there are two plastic containers, one of which is a yellow egg-sh'], ['In the image, there are two plastic containers with a yellowish-orange color, placed'], ['In the image, there is a clear plastic container with a yellow color, possibly a container for'], ['In the image, there is a close-up of a yellow plastic object, which appears to']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['In the image, there is a red vase with a curved design, sitting on a white'], ['In the image, there is a red vase with a unique shape, resembling a human'], ['In the image, there is a red vase that is shaped like a large, curved'], ['In the image, there is a red vase with a curved shape, standing on a white'], ['In the image, there is a red vase with a unique design. It is shaped like']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['In the image, there is a colorful wooden toy, resembling a puzzle or'], ['The image features a colorful wooden toy made of various shapes, including a square, a triangle'], ['In the image, there is a colorful wooden toy shaped like a letter ""H""'], ['In the image, there is a wooden toy made up of several small wooden blocks, forming a'], ['In the image, there is a colorful wooden toy, which appears to be a puzzle']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['In the image, there is a bright orange and yellow plastic ring with a hole in the middle'], ['In the image, there is a yellow plastic object that resembles a piece of fruit,'], ['In the image, there is a yellow and orange toy, which appears to be a plastic'], ['In the image, there is a close-up of a yellow and orange plastic ring with a'], ['In the image, there is a yellow and orange toy with a hole in the center, sitting']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['In the image, there is a pink, rainbow-colored, wing-shaped'], ['In the image, there is a pink, rainbow-colored sculpture or piece of'], ['In the image, there is a pink and yellow wing-shaped object, possibly a piece'], ['In the image, there is a pink and yellow plastic object that resembles a bird'], ['In the image, there is a pink, colorful, and somewhat odd-looking object that']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['In the image, there is a small silver object that resembles a silver dome or a'], ['In the image, there is a silver, round, metallic object with a hole in the'], ['In the image, there is a small silver object that resembles a silver top or a silver'], ['In the image, there is a silver object that resembles a spaceship or a top,'], ['In the image, there is a silver, circular object with a hole in the center. The object']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['In the image, there is a black object with a red tip, which appears to be a small'], ['In the image, there is a black object that looks like a large black ball or a black d'], ['In the image, there is a black object with a red tip, which appears to be a small'], ['In the image, there is a black and red object, possibly a toy or a decoration'], ['In the image, there is a black object with a red tip. The object is shaped like']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['In the image, there is a blue object with a twisted shape, resembling a piece'], ['In the image, there is a blue object with three white stripes on it. The object appears'], ['In the image, there is a blue object with a curved shape, resembling a tw'], ['In the image, there is a blue object with a curved shape and a white top. It'], ['In the image, there is a blue object with a white top that is curled up and res']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['In the image, there is a close-up of an orange, spiky, and odd'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there is a close-up of an orange and brown object that looks like a'], ['In the image, there is a close-up of an orange, spiky, and b'], ['In the image, there is an orange, spiky, and oddly shaped object that']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['In the image, there are two red and yellow balls with blue dots on them. They are'], ['In the image, there are two red and yellow balls with blue spots on them. They are'], ['In the image, there is a red and blue ball with yellow dots, which is a to'], ['In the image, there is a red and yellow ball with blue spots, sitting on a white'], ['In the image, there are two red and yellow balls with blue spots on them. They are']]"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"[['In the image, there is a green toy car with orange wheels and a plastic face'], ['In the image, there is a green toy with orange accents, which appears to be a'], ['In the image, there is a green and orange toy shaped like a face, with a'], ['In the image, there is a green toy with an orange nose and a yellow handle. The'], ['In the image, there is a green and orange toy shaped like a face. It has']]"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"[['In the image, there is a brightly colored, odd-shaped, and possibly fake red'], ['In the image, there is a close-up of a bright pink, squishy,'], ['In the image, there is a close-up of a bright pink, squishy,'], ['In the image, there is a close-up of a pink and orange plastic toy'], ['In the image, there is a brightly colored, oddly shaped, and textured object']]"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[['In the image, there is a close-up of a plastic orange object with a yellow base'], [""In the image, there is a toy shaped like a person's head with a red""], ['In the image, there is a bright orange plastic object with a hole in the middle, sitting'], ['In the image, there is a close-up of a red and yellow toy, possibly a'], ['In the image, there is a bright orange and yellow plastic object that looks like a head with']]"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"[['In the image, there is a colorful, shiny, and clear toy shaped like'], ['In the image, there is a colorful, spiral-shaped toy with a clear'], ['In the image, there is a toy shaped like a microphone, featuring a colorful'], ['In the image, there is a toy microphone with a purple case. The microphone'], ['In the image, there is a colorful toy with a purple ball on top of it']]"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"[['In the image, there is a blue plastic object with a circular pattern on it. The object'], ['In the image, there is a blue object with a hole in the middle. The object appears to'], ['In the image, there is a blue plastic object with a hole in the center. The object'], ['In the image, there is a blue plastic object that resembles a piece of sports equipment'], ['In the image, there is a blue plastic item with a hole in the middle. The item']]"
