image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output,llava_saliencies,llava_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['In the image, there are two plastic containers with a see-through yellow or orange color,', 'In the image, there is a close-up view of two yellow plastic objects, possibly to', 'In the image, there are two small, round, clear plastic containers with black dots on', 'In the image, there is a close-up view of a yellow plastic object, which appears', 'In the image, there are two plastic containers, each with a different design. One container is']","[(['Orange', 'Yellow'], ['Rough', 'Plastic']), (['Yellow'], ['Plastic']), (['Black'], ['Plastic']), (['Yellow'], ['Plastic']), ([], ['Plastic'])]","(80, 100)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['In the image, there is a red vase with a unique, curved shape. The v', 'The image features a red vase with a unique design, resembling a sculpture of a', 'In the image, there is a red sculpture, possibly a vase or a piece of art', 'In the image, there is a red vase or sculpture that is shaped like a large', 'In the image, there is a red sculpture or vase with a unique design, resemb']","[(['Red'], []), (['Red'], []), (['Red'], []), (['Red'], []), (['Red'], [])]","(100, 0)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['The image features a colorful wooden block with various shapes and colors, including red, blue, yellow', 'In the image, there is a wooden block with letters on it, resembling a building block', 'The image features a colorful stack of wooden blocks, each with a letter on them. The blocks', 'The image features a colorful wooden toy in the shape of a large letter T. The to', 'The image features a wooden toy in the shape of a letter, likely an alphabet toy.']","[(['Red', 'Yellow', 'Blue'], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden'])]","(20, 100)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['The image features a yellow plastic toy shaped like a piece of food, possibly a ban', 'In the image, there is a close-up of a yellow, round, plastic object with', 'In the image, there is a bright orange rubber toy that appears to be a ring or', 'In the image, there is a yellow and orange plastic ring with a hole in the middle.', 'In the image, there is a bright orange and yellow plastic object, possibly a toy or']","[(['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Orange'], ['Rubber']), (['Orange', 'Yellow'], ['Plastic']), (['Orange', 'Yellow'], ['Plastic'])]","(100, 100)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['The image features a pink, rainbow-colored, and iridescent plastic wing', 'In the image, there is a pink and purple plastic wing-shaped object.', 'In the image, there is a pink plastic wing-shaped object with a rainbow', 'In the image, there is a pink, colorful, and shiny object that resemb', 'The image features a pink, rainbow-colored, wing-shaped object with a']","[(['Red', 'Pink'], ['Plastic']), (['Purple', 'Pink'], ['Plastic']), (['Pink'], ['Plastic']), (['Pink'], ['Shiny']), (['Red', 'Pink'], [])]","(100, 80)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['In the image, there is a small silver dome-shaped object with a central hole,', 'In the image, there is a silver, round object with a silver top. The object appears to', 'In the image, there is a silver object with a circular top, which appears to be a model', 'In the image, there is a silver or metallic object that resembles a small spaces', 'In the image, there is a small silver object with a blue top, which appears to be a']","[(['Silver'], []), (['Silver'], []), (['Silver'], []), (['Silver'], ['Metallic']), (['Blue', 'Silver'], [])]","(100, 20)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['In the image, there is a black object with a red tip, which appears to be a small', 'The image features a small black object, which appears to be a rubber or plastic item,', 'In the image, there is a black plastic object with a red top, sitting on a white', 'In the image, there is a black object with a red top. The object is sitting on a', 'In the image, there is a black object with a red tip. It appears to be a piece']","[(['Red', 'Black'], []), (['Black'], ['Plastic', 'Rubber']), (['Red', 'Black', 'White'], ['Plastic']), (['Red', 'Black'], []), (['Red', 'Black'], [])]","(100, 40)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['In the image, there is a blue object with three handles, resembling a blue pipe or', 'In the image, there is a blue object that resembles a large blue pen, but it', 'In the image, there is a blue cylinder with a white stripe on it. The blue', 'In the image, there is a blue, twisted cord or pipe with a white plug on one', 'In the image, there is a blue rubber tube or hose with three white handles attached']","[(['Blue'], []), (['Blue'], []), (['Blue', 'White'], []), (['Blue', 'White'], []), (['Blue', 'White'], ['Rubber'])]","(100, 20)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['In the image, there is a close-up of an orange, fuzzy, and sp', 'In the image, there is a close-up of a bright orange, spiky, and', 'In the image, there is a close-up of an orange, spiky, and f', 'In the image, there is a close-up of a large, orange, spiky,', 'In the image, there is an orange, spiky, and odd-shaped object that']","[(['Orange'], ['Fuzzy']), (['Orange'], []), (['Orange'], []), (['Orange'], []), (['Orange'], [])]","(100, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['In the image, there is a close-up view of a red and yellow rubber ball with', 'In the image, there is a red and yellow ball with blue spots. It is a close', 'In the image, there are two red and yellow balls with blue dots on them. They are', 'In the image, there are two red and yellow plastic balls with blue spots. They are', 'In the image, there is a close-up view of a red and blue rubber ball with']","[(['Red', 'Yellow'], ['Rubber']), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], ['Plastic']), (['Red', 'Blue'], ['Rubber'])]","(100, 60)"
