image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output,llava_saliencies,llava_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['In the image, there are two clear, plastic, egg-shaped containers with a yellow', 'The image shows a close-up of two plastic toy objects, which appear to be a', 'In the image, there is a close-up of a clear plastic container, possibly a v', 'In the image, there are two yellow plastic containers, which appear to be a part of a', 'In the image, there is a pair of yellow plastic eggs or toy balls with a clear']","[(['Yellow'], ['Plastic']), ([], ['Plastic']), ([], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic'])]","(60, 100)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['In the image, there is a red vase with a curved shape, possibly made of metal', 'In the image, there is a red vase with a wide, curved shape, placed on', 'In the image, there is a red vase with a unique design. It is a large,', 'In the image, there is a red vase with a unique design. The vase is made', 'In the image, there is a red vase sitting on a white surface, possibly a white wall']","[(['Red'], []), (['Red'], ['Lace']), (['Red'], []), (['Red'], []), (['Red', 'White'], [])]","(100, 20)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['The image features a wooden block with different colored letters on it, resembling a puzzle or', 'In the image, there is a wooden toy shaped like a large letter ""Y"" made', 'The image features a wooden toy that resembles a stack of colored blocks, with each block', 'I see a colorful puzzle made of wooden blocks, which are stacked together to form a', 'In the image, there is a colorful wooden puzzle toy with a unique shape, res']","[(['Red'], ['Wooden']), ([], ['Wooden']), (['Red'], ['Wooden']), ([], ['Wooden']), ([], ['Wooden'])]","(40, 100)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['In the image, there is a bright orange toy with a hole in the center, sitting on', 'In the image, there is an orange and yellow ball with a hole in the center, sitting on', 'In the image, there is an orange plastic ring with a hole in the center. The ring', 'In the image, there is a brightly colored yellow and orange object that resembles a don', 'The image features a bright yellow, plastic ring with a hole in the middle. The ring has']","[(['Orange'], []), (['Orange', 'Yellow'], []), (['Orange'], ['Plastic']), (['Red', 'Orange', 'Yellow'], []), (['Yellow'], ['Plastic'])]","(100, 40)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['I see a pink and purple wing-shaped sculpture or art piece. It has', 'I see a pink, rainbow-colored, and shiny plastic piece that res', 'The image features a pink and yellow sculpture of a bird wing, possibly a butterfly', 'In the image, there is a pink, rainbow-colored sculpture that appears to', 'In the image, there is a pink winged headpiece that is designed to look like']","[(['Purple', 'Pink'], []), (['Red', 'Pink'], ['Plastic', 'Shiny']), (['Yellow', 'Pink'], []), (['Red', 'Pink'], []), (['Pink'], [])]","(100, 20)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['The image features a small silver object, possibly a silver dome or a silver top, sitting on', 'In the image, there is a small, round, silver object, possibly a model or a to', 'In the image, there is a small, silver, round object with a hole in the center.', 'In the image, there is a small silver object with a dome-shaped top. It', 'In the image, there is a small, silver, round object that resembles a satellite d']","[(['Silver'], []), (['Silver'], []), (['Silver'], []), (['Silver'], []), (['Silver'], [])]","(100, 0)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['In the image, there is a small black object with a red tip, which is sitting on a', 'In the image, there is a black and red plastic object, which appears to be a decor', 'In the image, there is a black object with a red stem, sitting on a white background.', 'In the image, there is a small black object with a red tip, which is sitting on a', 'In the image, there is a small black object with a red tip, which appears to be a']","[(['Red', 'Black'], []), (['Red', 'Black'], ['Plastic']), (['Red', 'Black'], []), (['Red', 'Black'], []), (['Red', 'Black'], [])]","(100, 20)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['The image features a blue rubber object, which appears to be a tube or a piece of', 'In the image, there is a close-up of a blue and white object with a twisted', 'In the image, there is a blue object that is shaped like a curled-up pipe', 'In the image, there is a blue plastic tube with a rubber band wrapped around it', 'In the image, there is a blue plastic object with a curved shape, resembling']","[(['Blue'], ['Rubber']), (['Blue', 'White'], []), (['Blue'], []), (['Blue'], ['Plastic', 'Rubber']), (['Blue'], ['Plastic'])]","(100, 60)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['In the image, there is an orange and brown plant with a spiky top. The plant', 'In the image, there is a close-up of a bright orange, spiky, and', 'In the image, there is an orange, spiky object that resembles a cact', 'The image features a close-up of an orange, spiky, and oddly shaped', 'In the image, there is a close-up of an orange and yellow spiky ball,']","[(['Orange', 'Brown'], []), (['Orange'], []), (['Orange'], []), (['Orange'], []), (['Orange', 'Yellow'], [])]","(100, 0)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['In the image, there is a red and yellow ball with blue spots. It is a to', 'The image features a close-up of a red and yellow rubber ball with a blue spot.', 'In the image, there is a red and blue ball with yellow dots, which appears to be', 'In the image, there is a red and yellow ball with blue dots, sitting on a white', 'In the image, there is a close-up view of a brightly colored, multi-color']","[(['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], ['Rubber']), (['Red', 'Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue', 'White'], []), (['Red'], [])]","(100, 20)"
