image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['In the image, there is a close-up view of a clear plastic toy, which'], ['In the image, there are two yellow plastic objects that look like toy hammers.'], ['In the image, there are two identical plastic containers or cups, which are yellow and made'], ['In the image, there are two plastic toy bunny rabbit figures, one on'], ['In the image, there are two clear plastic containers, which are likely designed for holding small objects']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['In the image, there is a red sculpture or vase that resembles a human figure'], ['The image features a red sculpture, which appears to be a vase, with a unique design'], ['The image features a red, metal statue of a vase with a curved, swirling'], ['The image features a red vase that is shaped like a heart. The vase is placed'], ['In the image, there is a red vase with a unique design, which appears to be made']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['In the image, there is a wooden toy in the shape of a large letter ""E"".'], ['In the image, there is a stack of colored wooden blocks. The blocks are arranged in a way'], ['In the image, there is a wooden toy made up of interconnected wooden blocks. The to'], ['In the image, there is a toy made of blocks, specifically a large red block with a'], ['In the image, there is a wooden toy shaped like a letter ""Y"" made from']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['In the image, there is a bright orange and yellow ball with a hole in the middle. The'], ['The image features a close-up of an orange plastic object, possibly a toy or a'], ['In the image, there is a close-up of a yellow, round, plastic item,'], ['In the image, there is a bright orange plastic ring with a hole in the middle. The'], ['In the image, there is a yellow plastic ring with a hole in the center. It is']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['In the image, there is a colorful, rainbow-colored, wing-shaped'], ['In the image, there is a pink, shiny, and colorful piece of artwork'], ['The image features a pink, rainbow-colored plastic wing-shaped object.'], ['In the image, there is a pink, colorful, and abstractly designed hat. The'], ['In the image, there is a pink and yellow colored wing-shaped item, which could']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['In the image, there is a silver object with a dome shape on top. The object is'], ['In the image, there is a small, silver, round object with a hole in the center.'], ['In the image, there is a silver metal object, which appears to be a small spaceship or'], ['In the image, there is a silver metal object with a circular top that resembles a satellite'], ['In the image, there is a silver object that looks like a small spaceship or a dome']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['In the image, there is a black object that looks like a round ball or a toy.'], ['In the image, there is a black plastic object with a red tip, which appears to be'], ['In the image, there is a black object that looks like a rubber ball, possibly a rub'], ['In the image, there is a black ball-shaped object with a red top. The ball'], ['In the image, there is a black rubber item with a red top, sitting on a white']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['In the image, there is a close-up of a blue, curly object with two white'], ['In the image, there is a blue object with a twisted shape, resembling a bra'], ['In the image, there is a blue object that looks like a piece of blue rope or a'], ['In the image, there is a blue object that resembles a curled-up pipe or'], ['In the image, there is a blue plastic item, possibly a toy or a piece of']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['In the image, there is a large, bright orange, spiky, and odd-sh'], ['In the image, there is a close-up of a large, odd-shaped, and'], ['In the image, there is a close-up of a bright orange, spiky, and'], ['In the image, there is a close-up view of a bright orange, spiky,'], ['In the image, there is a large orange ball with a spiky texture, possibly a rub']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['In the image, there are two red and yellow plastic balls sitting on a white background. The'], ['In the image, there is a close-up view of a red and yellow plush toy'], ['The image features a close-up of two red and yellow balls with blue spots. They are'], ['In the image, there is a red and yellow ball with a black and blue top. The ball'], ['In the image, there are two red and blue balls with yellow spots. They are placed side']]"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"[['In the image, there is a green and orange toy shaped like a face. The to'], ['In the image, there is a green and orange toy car with a face and horns.'], ['In the image, there is a green toy shaped like a face with a yellow nose and'], ['The image features a green and orange toy car with a face, sitting on a white background.'], ['In the image, there is a green and orange toy shaped like a face with a nose']]"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"[['The image features a bright pink, fuzzy, and squishy toy, likely'], ['In the image, there is a pink, fuzzy, and hairy object that res'], ['The image features a close-up of a brightly colored, odd-shaped object, possibly'], ['In the image, there is a brightly colored, red, and orange plastic toy that'], ['In the image, there is a close-up of a pink and orange plastic toy']]"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[[""In the image, there is a toy that resembles a man's head with an""], [""In the image, there is a bright orange toy, which appears to be a children's""], ['In the image, there is a toy, possibly a toy dog, sitting on a white'], ['The image features a toy shaped like a human head with an orange and yellow color scheme.'], ['The image features a bright orange plastic toy shaped like a human head, with a red']]"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"[['In the image, there is a toy microphone that has a purple ball at the end'], ['In the image, there is a pink and purple toy shaped like a microphone'], ['In the image, there is a pink and yellow toy with a clear plastic ball on'], ['In the image, there is a colorful, rainbow-striped, glittery,'], ['In the image, there is a pink and purple toy shaped like a microphone']]"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"[['In the image, there is a blue object with a hole in the center. The object is circular'], ['In the image, there is a blue plastic piece, possibly a bicycle or skate'], ['In the image, there is a blue object that resembles a baseball glove, but it'], ['In the image, there is a blue sports protective gear with a black bottom, which is'], ['In the image, there is a blue plastic object with holes in it, possibly a protective']]"
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,"[['In the image, there is a blue and white rug on a white background. The rug appears to'], ['In the image, there is a blue and white rug with a yellow ring on top of it.'], ['In the image, there is a blue and orange brush with a bristly head, which'], ['In the image, there is a blue and white rug with a yellow handle. The rug is h'], ['In the image, there is a blue and white rug on a white background. The rug has a']]"
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,"[['In the image, there is a small, blue and silver clip with a green wheel attached to it'], ['In the image, there is a small toy with a blue handle and a yellow wheel. The'], ['The image shows a small toy car on a toy track, with a blue handle attached to'], ['In the image, there is a small metal clip with a blue piece of plastic attached to it'], ['In the image, there is a small blue clip with a blue wheel attached to it. The clip']]"
