image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,llava_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['I see a pair of yellow plastic eggs or containers with holes in the middle, sitting on a'], ['In the image, there are two clear plastic containers, each with a hole in the center,'], ['In the image, there is a pair of clear plastic bunny ears with a yellowish'], ['In the image, there is a clear plastic container with two openings, resembling a'], ['In the image, there is a close-up of two small, clear plastic containers or b']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['In the image, there is a red, shiny, and vibrant sculpture of a'], ['In the image, there is a red vase-shaped sculpture, possibly a piece of'], ['In the image, there is a red vase with a large, curved, and pointed shape'], ['In the image, there is a red vase with a curved shape and a narrow opening.'], ['I see a red vase with a curved, sculpted design, sitting on a white surface']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['In the image, there is a wooden toy, specifically a toy train or a wooden block'], ['In the image, there is a stack of colorful wooden blocks, possibly made of wood or pl'], ['The image features a wooden block with letters on it, arranged in a way that resembles a'], ['The image shows a stack of five wooden blocks with letters on them. The letters are arranged in a'], ['In the image, there is a stack of colored wooden blocks, including red, blue, yellow,']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['In the image, there is a close-up of a yellow and orange rubber ring, which'], ['In the image, there is a close-up view of a yellow plastic item, which appears'], ['In the image, there is a close-up of a yellow and orange toy or object,'], ['In the image, there is a yellow plastic item, possibly a toy or a gad'], ['In the image, there is a close-up view of a bright orange toy, possibly a']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['In the image, there is a pink and blue mosaic sculpture of an angel'], ['In the image, there is a pink and blue wing-shaped object, which appears to'], ['In the image, there is a colorful, abstract, and creative design of a pink'], ['The image features a pink, neon-colored plastic object shaped like a bird'], ['The image features a pink, rainbow-colored, and slightly distorted wing-sh']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['In the image, there is a small metal object that resembles a silver top or a d'], ['I see a silver metal object with a round top, which appears to be a model of a spaces'], ['In the image, there is a small metal object that resembles a silver dome or a'], ['The image features a silver metal object with a round top, which resembles a silver dome'], ['In the image, there is a small metal object that appears to be a silver spaceship, sitting']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['In the image, there is a small black object with a red tip, sitting on a white background'], ['In the image, there is a black object with a red tip. It is a close-up'], ['In the image, there is a black object that appears to be a toy or a small item'], ['In the image, there is a black object with a red tip. The object appears to be a'], ['The image features a black object that looks like a dome or a black ball. It is position']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['The image shows a blue plastic toy or object with a twisted or curled shape.'], ['In the image, there is a blue object that resembles a large blue spring. It is'], ['In the image, there is a blue object with a twisted shape. It has a curved'], ['The image shows a blue rubber tube or hose, possibly a garden hose or a'], ['In the image, there is a blue object that resembles a twisted rubber tube']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['In the image, there is an orange, spiky, and odd-shaped object,'], ['In the image, there is a close-up of an orange, spiky, and somewhat'], ['In the image, there is an orange toy shaped like a triangle with a bunch of sp'], ['In the image, there is a close-up of an orange, spiky, and fur'], ['The image features an orange, spiky, and possibly rubber-like object that resemb']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['In the image, there is a red and blue plastic ball with a yellow center. The ball'], ['In the image, there is a red and blue ball with yellow dots on it. The ball'], ['In the image, there is a red and yellow ball with a blue dot in the center. The'], ['In the image, there is a red and yellow ball with a star pattern on it. The ball'], ['In the image, there is a red and yellow rubber toy with a unique design, possibly']]"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"[['In the image, there is a green and orange toy car with a yellow steering wheel.'], ['In the image, there is a green toy shaped like a face with a yellow nose and'], ['In the image, there is a green toy with a cute face and a red nose.'], ['In the image, there is a green toy car with orange wheels. The car is designed'], ['In the image, there is a green toy with a face and orange wheels. The to']]"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"[['The image features a large, brightly colored, and oddly shaped plastic toy,'], ['In the image, there is a bright pink, rubbery, and oddly shaped'], ['In the image, there is a pink and orange plastic toy that resembles a'], ['In the image, there is a bright pink, squishy, and spiky creature'], ['I see a pink plastic object that looks like a flower or an animal, possibly a squ']]"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[['In the image, there is a close-up view of a toy, which appears to be'], ['In the image, there is a plastic orange object with a yellow top, which is sitting on'], ['In the image, there is a toy shaped like a head with a red and yellow design'], ['In the image, there is an orange and yellow plastic object with a cap on it, sitting'], ['In the image, there is an orange and yellow plastic object, which appears to be a piece']]"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"[['In the image, there is a colorful and shiny toy that appears to be a large'], ['In the image, there is a purple and pink toy, possibly a toy micro'], ['In the image, there is a colorful, rainbow-colored toy that looks like'], ['In the image, there is a colorful, lightweight, and glittery toy that'], ['In the image, there is a small toy, possibly a toy microphone or a to']]"
