image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output,blip2_saliencies,blip2_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['a pair of large orange balls', 'the image of the orange plastic bottle is yellow', 'a golden brown rubber object with an open mouth', 'the image is of a small plastic orange bulb', 'an orange ball shaped toy with a hole in the middle']","[(['Orange'], []), (['Orange', 'Yellow'], ['Plastic']), (['Brown', 'Gold'], ['Rubber']), (['Orange'], ['Plastic']), (['Orange'], [])]","(100, 60)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['this is a red metal sculpture', 'a red metal sculpture with a curving shape', 'a red vase with a curved shape', 'this image shows a red metal sculpture', 'a red sculpture that is sitting on top of a black base']","[(['Red'], []), (['Red'], []), (['Red'], []), (['Red'], []), (['Red', 'Black'], [])]","(100, 0)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['an example of a 3d printed 3d printed model', 'a line of multicolored blocks on a white background', 'a stack of blocks that have different colors', 'â â â â â â â â â â', 'multicolored plastic pieces']","[([], []), (['Red'], []), ([], []), ([], []), (['Red'], ['Plastic'])]","(40, 20)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['a shiny orange ball shaped plastic toy', 'this is a yellow and orange silicone egg shaped holder for earphones', 'a plastic ball that has an orange and yellow top', 'a plastic ball', 'an orange and yellow plastic egg shaped device']","[(['Orange'], ['Plastic', 'Shiny']), (['Orange', 'Yellow'], []), (['Orange', 'Yellow'], ['Plastic']), ([], ['Plastic']), (['Orange', 'Yellow'], ['Plastic'])]","(80, 80)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['the head of a pink and blue tie dyed fish', 'i see a bright pink unicorn head', 'it is a colorful bird head with pink, blue, and yellow feathers', 'i see a bright yellow, pink, and blue tie dye headband with rainbow colored hair', 'the unicorn head is pink and blue, it looks like it is wearing wings']","[(['Blue', 'Pink'], []), (['Pink'], []), (['Yellow', 'Blue', 'Pink'], []), (['Red', 'Yellow', 'Blue', 'Pink'], []), (['Blue', 'Pink'], [])]","(100, 0)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['a q - shaped space ship.', 'q: what do you see in the image?', 'a space ship', 'a starship!', 'q: what do you see in the image?']","[([], []), ([], []), ([], []), ([], []), ([], [])]","(0, 0)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['a black plastic ball with a red handle', 'a black plastic ball with red tip', 'a ball with red cap on top of it', 'you see the ball and the rubber stick', 'you will see a small black ball with a red stick']","[(['Red', 'Black'], ['Plastic']), (['Red', 'Black'], ['Plastic']), (['Red'], []), ([], ['Rubber']), (['Red', 'Black'], [])]","(80, 60)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['a dog leash with two blue leashes', 'a blue tie, made out of two rubber bands', 'a knot made from a rubber ring', 'a blue rubber tie', 'a knot of blue material with two pieces of yellow plastic']","[(['Blue'], []), (['Blue'], ['Rubber']), ([], ['Rubber']), (['Blue'], ['Rubber']), (['Yellow', 'Blue'], ['Plastic'])]","(80, 80)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['a large orange spiky dog toy with many spiky hairs on it', 'a squishy toy that looks like a large spiky object', ""i see a letter 'x'"", 'the word is a dog toy', 'an orange fuzzy toy shaped like a letter']","[(['Orange'], []), ([], []), ([], []), ([], []), (['Orange'], ['Fuzzy'])]","(40, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['the red ball has multicolored dots', 'a dog toy with a red ball', 'a dog toy with red, blue and yellow dots', 'a red toy with multicolored dots', 'a toy dog toy with the top part of the toy has red, yellow and blue colored dots on']","[(['Red'], []), (['Red'], []), (['Red', 'Yellow', 'Blue'], []), (['Red'], []), (['Red', 'Yellow', 'Blue'], [])]","(100, 0)"
