image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output,blip2_saliencies,blip2_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['a transparent orange tube', 'a pair of orange plastic cups with a lid', 'an orange plastic container', 'the image is a picture of a pair of plastic balls.', '']","[(['Orange'], ['Transparent']), (['Orange'], ['Plastic']), (['Orange'], ['Plastic']), ([], ['Plastic']), ([], [])]","(60, 80)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['a red metal sculpture on a white background', 'a red vase with a red leaf design', 'a red sculpture on a white surface', 'a red sculpture of a curve on a black background', 'a red, modern sculpture with an interesting design']","[(['Red'], []), (['Red'], []), (['Red', 'White'], []), (['Red', 'Black'], []), (['Red'], [])]","(100, 0)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['【【【【【【【【【【【【【【【【【【【', 'a colorful wooden building block in the shape of an s', 'a colorful block puzzle', 'a rainbow-colored block', 'a group of wooden blocks']","[([], []), ([], ['Wooden']), ([], []), (['Red'], []), ([], ['Wooden'])]","(20, 40)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['orange', 'this image shows a plastic ball with an orange lid', 'a yellow and orange ball on a white background', 'we see an orange plastic round shape with an oval shaped hole in the middle', 'you see the yellow and orange color of the rubber ball']","[(['Orange'], []), (['Orange'], ['Plastic']), (['Orange', 'Yellow'], []), (['Orange'], ['Plastic']), (['Orange', 'Yellow'], ['Rubber'])]","(100, 60)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['i see a rainbow butterfly on top of a rainbow cup', 'a pink and yellow tie dye headband with a rainbow design', 'an angel head, with a rainbow colored tie dye on it', 'rainbow colored feathers', 'a hot pink tie dyed headband with rainbow hair on top']","[([], []), (['Yellow', 'Pink'], []), (['Red'], []), (['Red'], []), (['Pink'], [])]","(80, 0)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['star trek starfleet ship replicator, with two replicator heads', 'i see a blue sphere with the words ""space station"" on it', 'the picture is of a silver device', 'a star ship with a disc around it', 'a space shuttle.']","[([], []), (['Blue'], []), (['Silver'], []), ([], []), ([], [])]","(40, 0)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['you see a black ball with a red handle', 'i see a red tube with a rubber end, and a black ball with a rubber end', 'you can see a red ball with a black handle', ""i think it's a rubber ball with red handle"", 'i see a ball in black rubber and a red handle']","[(['Red', 'Black'], []), (['Red', 'Black'], ['Rubber']), (['Red', 'Black'], []), (['Red'], ['Rubber']), (['Red', 'Black'], ['Rubber'])]","(100, 60)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['a blue rubber ball and a white tube', '', 'a small blue dog toy with two handles', 'a blue rubber tube', 'blue rubber ring']","[(['Blue', 'White'], ['Rubber']), ([], []), (['Blue'], []), (['Blue'], ['Rubber']), (['Blue'], ['Rubber'])]","(80, 60)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['the image of the toy is a orange spiked spike', 'a dog toy with orange spiky spikes', 'a fuzzy orange jellyfish toy with spikes', 'an orange dog toy with a spikey tail', 'an orange spiky dog toy with spikes']","[(['Orange'], []), (['Orange'], []), (['Orange'], ['Fuzzy']), (['Orange'], []), (['Orange'], [])]","(100, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['the picture is a toy that is made of red and blue rubber', 'red, yellow, and blue rubber ball', 'the image shows a toy dog toy with red and blue dots on it', 'a dog toy', 'a dog toy with colorful dots']","[(['Red', 'Blue'], ['Rubber']), (['Red', 'Yellow', 'Blue'], ['Rubber']), (['Red', 'Blue'], []), ([], []), ([], [])]","(60, 40)"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"['the green plastic plastic toy has two orange balls attached to it', 'we can make the image according to your requirements', 'a plastic screwdriver with a handle and an orange and green plastic handle', 'the product image shows a toy with two orange and green plastic toys on top', 'toy push - the push toy is a simple toy for kids. the push toy is simple, colorful']","[(['Orange', 'Green'], ['Plastic']), ([], []), (['Orange', 'Green'], ['Plastic']), (['Orange', 'Green'], ['Plastic']), ([], [])]","(60, 60)"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"['the red plastic is an image of a sea urchin', 'a red sea urchin on a white background', 'a large red sea anemone.', 'a pink plastic animal', 'a pink, orange and yellow plastic flower']","[(['Red'], ['Plastic']), (['Red'], []), (['Red'], []), (['Pink'], ['Plastic']), (['Orange', 'Yellow', 'Pink'], ['Plastic'])]","(100, 60)"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"['a yellow orange plastic toy with a red hat on top', 'a red and orange plastic cup holder', ""it's a plastic stand with an orange and yellow plastic umbrella"", 'this image shows a toy leg that is orange and has a yellow handle', 'a person standing on one leg with a yellow and orange cap on the top']","[(['Red', 'Orange', 'Yellow'], ['Plastic']), (['Red', 'Orange'], ['Plastic']), (['Orange', 'Yellow', 'Tan'], ['Plastic']), (['Orange', 'Yellow'], []), (['Orange', 'Yellow', 'Tan'], [])]","(100, 60)"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"['a ball', 'a pink and yellow plastic toy ball with a yellow and purple pattern on it', 'â â â â â â â â â â', 'a pink and yellow plastic ball', 'this is a colorful plastic ball']","[([], []), (['Yellow', 'Purple', 'Pink'], ['Plastic']), ([], []), (['Yellow', 'Pink'], ['Plastic']), ([], ['Plastic'])]","(40, 60)"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"['the image shows a blue shoe holder', 'the image shows a blue shoe', 'a blue plastic skateboard with white wheels', 'we are a one-stop shop for a variety of printing solutions, including custom made products.', 'the image is a blue plastic water bottle with white circles on it']","[(['Blue'], []), (['Blue'], []), (['Blue', 'White'], ['Plastic']), ([], []), (['Blue', 'White'], ['Plastic'])]","(80, 40)"
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,"['the image shows a dog toy with a blue and white handle', 'an orange plastic water bottle with blue and white yarn', 'you can see that there is a toy that is filled with blue and white yarn', 'i see a blue and white mop', 'blue blue and orange tangle']","[(['Blue', 'White'], []), (['Orange', 'Blue', 'White'], ['Plastic']), (['Blue', 'White'], []), (['Blue', 'White'], []), (['Orange', 'Blue', 'Tan'], [])]","(100, 20)"
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,"['', 'the image shows a metal pin attached to a small orange ball', 'you see a metal clip with a plastic handle attached to it', 'i see a yellow ball on the end of a blue pole', 'a large orange ball in a metal basket with blue handle']","[([], []), (['Orange'], []), ([], ['Plastic']), (['Yellow', 'Blue'], []), (['Orange', 'Blue'], [])]","(60, 20)"
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6,"['i see a yellow container with a lid', 'the yellow plastic container with a white lid', 'an empty, yellow, plastic, container', 'the yellow plastic bowl', 'a yellow plastic dish']","[(['Yellow'], []), (['Yellow', 'White'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic']), (['Yellow'], ['Plastic'])]","(100, 80)"
data/images/noun/2019-600.jpg,2019,cat nip toy,31,67,38,25,"['a candy apple', 'an egg shaped candy corn', 'a yellow and orange egg with an orange tail', 'i see an orange and yellow egg shaped toy', 'an orange and yellow plastic egg']","[([], []), ([], []), (['Orange', 'Yellow'], []), (['Orange', 'Yellow'], []), (['Orange', 'Yellow'], ['Plastic'])]","(60, 20)"
data/images/noun/2020.jpg,2020,jacobs ladder,41,36,29,6,"['the image shows a set of three different colored wooden blocks with a red, green, and blue square', 'a stack of colorful plastic blocks with ribbons', 'i see an image of an array of colorful wooden blocks', 'i see an empty coaster that has four different colored squares', 'a set of four colorful wooden coasters']","[(['Red', 'Green', 'Blue'], ['Wooden']), ([], ['Plastic']), ([], ['Wooden']), (['Red'], []), ([], ['Wooden'])]","(40, 80)"
data/images/noun/2021-600.jpg,2021,foam arrow,9,29,84,3,"['i see a lot of people saying they want to use their e - pens for things other than what', 'the image shows a small pink and green sponge', 'q: what do you see in the image?', 'you see three pink and green balls in the image', 'a green and pink flower with pink and black buds']","[([], []), (['Green', 'Pink'], []), ([], []), (['Green', 'Pink'], []), (['Green', 'Pink', 'Black'], [])]","(60, 0)"
data/images/noun/2022-600.jpg,2022,marker,9,15,70,13,"['a green plastic container', 'green', 'an earphone holder', 'green water bottle', 'a green plastic cone shaped object with two legs sticking out of the top']","[(['Green'], ['Plastic']), (['Green'], []), ([], []), (['Green'], []), (['Green'], ['Plastic'])]","(80, 40)"
data/images/noun/2023-600.jpg,2023,color changing ball,13,31,87,17,"['a black and white flower ball with lots of different objects inside', 'a plastic ball made from many pieces of white and black vinyl records', 'an interesting black and white sculpture made of two broken white plates', 'a white and black ball on a white surface', 'a white and black plastic ball with many parts']","[(['Black', 'White'], []), (['Black', 'White'], ['Plastic']), (['Black', 'White'], []), (['Black', 'White'], []), (['Black', 'White'], ['Plastic'])]","(100, 40)"
data/images/noun/2024-600.jpg,2024,connected disk toy,81,44,41,3,"['the image shows a plastic toy with three pieces of plastic in it', 'a toy of an object with many pieces and two colored pieces', 'you see a colorful toy that is attached to a wall', 'a star-shaped plastic toy with blue, yellow, and red pieces', '']","[([], ['Plastic']), (['Red'], []), ([], []), (['Red', 'Yellow', 'Blue'], ['Plastic']), ([], [])]","(40, 40)"
data/images/noun/2025-600.jpg,2025,boomerang,6,14,58,13,"['the image shows the blue shoe in a chair', 'blue marble footstool', 'the foot orthotic is in blue plastic with a large white foot', 'a shoe lace in blue', 'a blue rubber band on a white surface']","[(['Blue'], []), (['Blue'], []), (['Blue', 'White'], ['Plastic']), (['Blue'], ['Lace']), (['Blue', 'White'], ['Rubber'])]","(100, 60)"
data/images/noun/2026-600.jpg,2026,dog toy,16,71,63,17,"['the image shows a green and red toy', 'the product image is taken with the camera phone', 'a green and red dog bone shaped object', 'q: what do you see in the image?', 'this is a plastic barber chair']","[(['Red', 'Green'], []), ([], []), (['Red', 'Green'], []), ([], []), ([], ['Plastic'])]","(40, 20)"
data/images/noun/2027-600.jpg,2027,room freshener toy,22,38,47,9,"['a ball with a hole in the top and a white lid', 'the image is a white plastic ball with an open top', 'i see a white plastic ball', 'i am looking for the image with the name of the object', 'a ball on a stand with a hole for a screwdriver']","[(['White'], []), (['White'], ['Plastic']), (['White'], ['Plastic']), ([], []), (['Tan'], [])]","(80, 40)"
data/images/noun/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63,"['a white dog holding two pink doggy toys', 'a pink fluffy toy with a pink handle attached to the end', 'a pink hair clip with two pink pom poms', 'a cute pink bunny, sitting on the top of a pink donut', 'you see pink yarn and white hair']","[(['Pink', 'White'], []), (['Pink'], []), (['Pink'], []), (['Pink'], []), (['Pink', 'White'], [])]","(100, 0)"
data/images/noun/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,"['the picture is of a black button on a white background', 'a plastic valve, that can be seen on the right side', 'this is the part number for the item', 'the image of a gun mounted on a wall', 'the image shows a gray plastic object']","[(['Black'], []), ([], ['Plastic']), ([], []), ([], []), (['Gray'], ['Plastic'])]","(40, 40)"
