image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['the image shows the two round shapes of plastic tubes'], ['the image contains one yellow ball'], ['the image shows two yellow plastic objects'], ['-1/4 in. x 2 in. x 5/8 in. x 1/4'], ['the image is of a large orange object']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['the red vase is designed to look like a curved glass vase'], ['this is a red and white abstract shaped sculpture'], ['a red vase on a white background'], ['in the image, you see a red vase with a curved top and bottom'], ['this image is of a red metal sculpture that has a curved edge']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['q: what do you see in the image?'], ['the building blocks are arranged in an s shape'], ['i see a colorful line with different shapes'], ['a picture of toy blocks'], ['a picture of an interesting block puzzle']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['a plastic ball with the words ""boom"" on it'], ['a plastic ball with a yellow and orange surface'], ['we have put in an orange ball, which will be released soon'], ['a round orange plastic ring with a yellow handle'], ['a glass ball with a yellow center']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['a unicorn shaped tie dyed wig that is pink, blue and yellow'], ['unicorn hat'], ['unicorn'], ['a colorful, multi - colored headdress with a pink and blue bird head'], ['a rainbow colored unicorn shaped toy']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['the silver object on the side of the white background'], ['space shuttle'], ['a space ship'], ['a silver sphere with a small red dot'], ['star trek tng data replicator']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['you can see a ball in a black container with a red handle'], ['rubber ball'], ['rubber ball w/red handle'], ['rubber ball'], ['a small black ball with a red tip']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['in the image the rubber piece is on the left side and the metal piece is on the right side'], ['an image of a blue rope and a yellow stick'], ['a blue ball and a green ball on a white background'], ['an image of the blue toy is visible on a white background'], ['a knot']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['-a: -s: -t: -u: -x: -y: -a'], ['orange t-rex, toy by q-bark, a toy company based in florida'], ['a very large orange shaped rubber dog toy'], ['orange squeaky spiky dog toy'], ['an orange dog toy on a white background']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['dog chew toy'], ['the toy has three small colorful dots on the top and bottom'], ['the image shows a red toy with small blue and yellow dots on it'], ['a ball'], ['a dog chew toy that has some colorful dots on it']]"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"[['the image shows a green and orange toy with two wheels and a lever on top of it'], ['a small child sitting on the front of an orange and green toy'], ['a plastic hand and finger puppet with a small green plastic handle'], ['the image shows a green and orange toy machine'], ['a toy with a plastic handle and two orange spoons']]"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"[['a red and orange plastic toy with spikes on it'], ['a very interesting shape of an ant'], ['an alien with a large pink spike'], ['a red sea urchin, with some orange and pink tentacles'], ['red and orange sea star - 3d printed on 3d systems - $35.00']]"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[['you can see an orange and yellow water bottle and two legs on it'], ['the picture shows an orange and yellow plastic toy'], ['a yellow and orange bottle cap with a red handle'], ['an orange plastic foot with two legs'], ['a yellow plastic toy tripod']]"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"[['a red ball and purple design'], ['a yellow ball and an image of a small object'], ['the image has a small ball and an umbrella'], ['a fun party toy to play with!'], ['the hand-held vibrator']]"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"[['the image shows a blue shoe holder'], ['the image is of a blue shoe with black spots on the side'], ['a blue shoe horn.'], ['a blue toy scooter for children, with two holes in the handle'], ['this image shows a blue plastic shoe holder with holes for laces']]"
