image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output,blip2_saliencies,blip2_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['a clear ball for the mouth of a dog toy', 'a small orange bottle', 'we see a golden light bulb shape!', 'image is not clear, please use better quality.', 'q: what do you see in the image?']","[([], []), (['Orange'], []), (['Gold'], []), ([], []), ([], [])]","(40, 0)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['red vase', 'i see a red sculpture with swirl design on a white background', 'an ornamental metal sculpture, the sculpture is', 'red ceramic figurine with curved surface', 'red metal figure on wooden stand']","[(['Red'], []), (['Red'], []), ([], []), (['Red'], []), (['Red', 'Tan'], ['Wooden'])]","(80, 20)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['what do you see in the image?', 'a child building a lego house with multi colored bricks', 'a multicolored toy block that is shaped like an o', 'the multi colored bricks, each made to look like a word', 'two toys with different colors on a white background']","[([], []), (['Red'], []), (['Red'], []), (['Red'], []), ([], [])]","(60, 0)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['a plastic egg shaped object', 'this is an orange and yellow colored round object', 'we see an orange plastic ball with the word ""bubbler"" on it', 'an orange and yellow ball shaped object that is sitting on top of a white surface', 'i see a yellow ball with an orange stem in the picture.']","[([], ['Plastic']), (['Red', 'Orange', 'Yellow'], []), (['Orange'], ['Plastic']), (['Orange', 'Yellow', 'White'], []), (['Orange', 'Yellow'], [])]","(80, 40)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['what do you see in the image?', 'a rainbow bird head', 'we see the image that you see in the picture.', 'a bright pink tie dye wig on white background', ""an animal's head""]","[([], []), ([], []), ([], []), (['Pink'], []), ([], [])]","(20, 0)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['a blue disk', 'you see a strange ship!', 'it is the model of the ship', 'a silver and white shaped object', 'a space craft in space on a clear background']","[(['Blue'], []), ([], []), ([], []), (['White', 'Silver'], []), ([], [])]","(40, 0)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['rubber ball with a red tip', 'this is a test pattern which shows a close up of a rubber ball', 'this is a round object that is sitting in an empty bottle with an elastic head', 'a plastic ball', '- black rubber ball with red handle - black rubber ball with red handle']","[(['Red'], ['Rubber']), ([], ['Rubber']), ([], []), ([], ['Plastic']), (['Red', 'Black'], ['Rubber'])]","(40, 80)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['a long blue dildo with two rounded sticks attached to it', 'we see a blue rubber hose with two holes and a white wooden base', 'q: what do you see in the image?', 'blue rubber toy that looks like the letter s', 'a blue tie. the knot is wrapped around a rope.']","[(['Blue'], []), (['Blue', 'White'], ['Wooden', 'Rubber']), ([], []), (['Blue'], ['Rubber']), (['Blue'], [])]","(80, 40)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['toy', 'an orange ball shaped toy dog', 'an orange toy with spikes', 'you can see a toy that looks like a spiky orange spiky toy', 'a fuzzy little red ball of foam that is about to roll onto the floor']","[([], []), (['Orange'], []), (['Orange'], []), (['Orange'], []), (['Red'], ['Fuzzy'])]","(80, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['i see the red and blue dog chew toy in the image above', 'an ordinary dog toy that has colorful spots on it', 'red rubber toy, with three colorful polka dots', 'a plastic ball that has red, blue and yellow colors', ""dog's squeaker""]","[(['Red', 'Blue'], []), ([], []), (['Red'], ['Rubber']), (['Red', 'Yellow', 'Blue'], ['Plastic']), ([], [])]","(60, 40)"
