image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output,blip2_saliencies,blip2_saliency_rate
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"['you can see two orange toy balls sitting next to each other', 'a clear, large yellow object', 'a plastic orange shaped pipe', 'the product you see in the image is a plastic tube', 'a yellow plastic pipe']","[(['Orange'], []), (['Yellow'], []), (['Orange'], ['Plastic']), ([], ['Plastic']), (['Yellow'], ['Plastic'])]","(80, 60)"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"['a red ceramic vase', 'vase with curving red top, standing on red base, and a small', 'a red and white ceramic sculpture', 'the image is a red vase', 'a beautiful abstract sculpture of a red spiral']","[(['Red'], []), (['Red', 'Tan'], []), (['Red', 'White'], []), (['Red'], []), (['Red'], [])]","(100, 0)"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"['a rainbow of colorful block letters', 'the letter s', 'a line of blocks made from wooden blocks that is in one direction', 'a pile of colorful blocks', 'an empty stack of multi - colored blocks']","[([], []), ([], []), ([], ['Wooden']), ([], []), (['Red'], [])]","(20, 20)"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"['the yellow and orange ball has an open hole', 'the image of a plastic ball with an orange center', 'an orange plastic toy with a hole for a handle', 'a shiny orange and yellow plastic toy with two holes in the center', 'a large orange and yellow plastic sphere']","[(['Orange', 'Yellow'], []), (['Orange'], ['Plastic']), (['Orange'], ['Plastic']), (['Orange', 'Yellow'], ['Plastic', 'Shiny']), (['Orange', 'Yellow'], ['Plastic'])]","(100, 80)"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"['pink unicorn horn tie dye', 'i see a unicorn', 'a colorful unicorn tail', 'i see a unicorn horn and a rainbow', 'unicorn head on rainbow background']","[(['Pink'], []), ([], []), ([], []), ([], []), ([], [])]","(20, 0)"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"['you can see the model in a 3d render', 'a white, silver metal object on a surface', 'star trek starship transporter', 'the small silver object', 'q: what do you see in the image?']","[([], []), (['White', 'Silver'], []), ([], []), (['Silver'], []), ([], [])]","(40, 0)"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"['a black plastic ball with a red tip', 'a rubber cock on a black ball', 'q: what do you see in the image?', 'the small black object with the red stem on top', 'the image of a black ball with a red tip']","[(['Red', 'Black'], ['Plastic']), (['Black'], ['Rubber']), ([], []), (['Red', 'Black'], []), (['Red', 'Black'], [])]","(80, 40)"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"['i see a rope with a knot', 'the image of the item is a blue and white rubber duck', 'the image is of a blue rope with two rubber tubes attached to it', 'a blue and white rope with two blue rubber tubes', 'i see a tie knot, blue']","[([], []), (['Blue', 'White'], ['Rubber']), (['Blue'], ['Rubber']), (['Blue', 'White'], ['Rubber']), (['Blue'], [])]","(80, 60)"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"['orange toy that looks like a giant spiked tooth', 'an orange dog toy with spikey spikes', 'an orange shaped toy', 'the orange dog toy is shaped like a spiky, spiky ball', 'a rubber snake with spikes on it']","[(['Orange'], []), (['Orange'], []), (['Orange'], []), (['Orange'], []), ([], ['Rubber'])]","(80, 20)"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"['a dog toy with a red ball and colorful dot', 'a dog ball with many different colors on it', 'a corona dog toy.', 'a dog toy that is made of small red, blue, yellow and white balls', 'a big toy red ball with multi colored dots']","[(['Red'], []), ([], []), ([], []), (['Red', 'Yellow', 'Blue', 'White'], []), (['Red'], [])]","(60, 0)"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"['in this image there are two orange and green toys', 'the toy is an orange and green plastic handle', 'a plastic plastic toy with a handle', 'green and orange toy with a green handle and orange head', 'it is an image of an old plastic toy.']","[(['Orange', 'Green'], []), (['Orange', 'Green'], ['Plastic']), ([], ['Plastic']), (['Orange', 'Green'], []), ([], ['Plastic'])]","(60, 60)"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"['in the image, you can see that it is a coral that is pink.', 'the red and orange octopus', 'a sea star in a coral reef.', 'a red and orange anemone', 'the image shows a plastic creature with bright red tentacles']","[(['Pink', 'Coral'], []), (['Red', 'Orange'], []), (['Coral'], []), (['Red', 'Orange'], []), (['Red'], ['Plastic'])]","(100, 20)"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"['a toy tripod for children with an orange and yellow handle', 'the image of an orange stand with a yellow top.', 'the image is of a toy tripod that is orange and yellow', 'an image of the item', 'a yellow and orange foot stand with an orange handle']","[(['Orange', 'Yellow'], []), (['Orange', 'Yellow', 'Tan'], []), (['Orange', 'Yellow'], []), ([], []), (['Orange', 'Yellow', 'Tan'], [])]","(80, 0)"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"['a ball in a colorful pattern with a yellow base', 'the pink toy on the right has the handle in the middle of the ball', 'a toy ball and a pink toy ball on the right side of the image', '_____', 'an inflatable ball with pink, yellow and purple swirls']","[(['Yellow'], []), (['Pink'], []), (['Pink'], []), ([], []), (['Yellow', 'Purple', 'Pink'], [])]","(80, 0)"
