image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['a very cute puppy holding a very cute little orange toy'], [''], ['a picture of an orange plastic egg that is next to a white background'], ['a yellow ball shaped toy'], ['a transparent bottle with two orange caps']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['red ceramic sculpture'], ['red'], ['a red metal sculpture'], ['a red sculpture of an abstract form with a curve'], ['the red vase is sitting on top of a small black base']]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['a child playing with colored plastic blocks on a white background'], ['multicolored pieces of puzzle with the word ""halo""'], ['what does this image show?'], ['multicolored blocks'], ['a set of multi - colored wooden blocks']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['a colorful, soft, and yellow plastic egg shaped object'], ['i am looking for an image of an orange and yellow egg shaped object'], ['orange and yellow spherical plastic toys'], ['an orange and yellow ball shaped object'], ['a orange ball with an orange rim']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['an image of a tie dye - rainbow butterfly headband'], ['tie-dye tie-dyed foam'], ['a colorful dragon head hat.'], ['a rainbow tie dye headband'], ['rainbow tie dye unicorn hairband']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['q: what do you see in the image?'], ['a metal and glass model of the ship.'], ['the image is of the star trek u-wing starship on a white background'], ['the image is a picture of a silver dish on a white background'], ['the image of the top view of a silver object']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['rubber ball, red handle, black plastic'], ['black and red silicone egg ball toy for you'], ['an egg shaped foam rubber ball with a red handle'], ['the image shows a rubber ball with a red tip'], ['a black ball with a red handle']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['you see a dog toy, sitting in the corner of the room.'], ['a blue, curved piece of rubber'], ['the blue and white plastic toy'], ['a small rubber ball in the shape of a knot'], ['the blue and white rope with one end in a knot']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['this image shows a toy that is shaped like a letter x'], ['an orange, spikey ball shaped object'], ['the image shows the letter j in the shape of an orange toy'], ['an orange dog toy'], ['â this is a picture of a orange toy that looks like a spiky mushroom']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[[''], ['the pet rock toy is a red toy with blue, yellow and white sprinkles'], ['this is a red ball with multicolored dots on it'], ['a red, blue, yellow, and white dog toy with polka dots'], ['red dog toy']]"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"[['an electric toothbrush'], ['a colorful toy with two green handles and an orange handle'], ['a toy machine that is attached to a plastic handle with green and orange wheels.'], ['an orange and green plastic toy with a screwdriver'], ['you see a child playing with a plastic toy toy']]"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"[[''], ['red sea urchin'], ['red plastic sea anemone'], ['i see a colorful coral-shaped sea anemone.'], ['red jellyfish']]"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[['a wooden foot is shown with the orange and yellow legs and a red hat'], ['the q is a simple optical illusion, but it can be made with your favorite 3d modeling software'], ['a yellow and orange plastic stand'], ['a tripod base with a red plastic top'], ['an orange foot with yellow toes']]"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"[['a balloon with a colorful bow'], ['a colourful plastic ball with an object on top'], ['ball of light with dot patterns'], ['a colorful toy on a white background'], ['the toy is made out of yellow and purple polka dots']]"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"[['blue bicycle handlebar clamp with three hole'], ['i see a picture of a blue car tire cover'], ['we see a blue and white shoe boot'], ['the image above shows the blue plastic cover on a blue shoe'], ['a blue plastic shoe']]"
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,"[['a dog whistle attached to a string'], ['this is a dog chew toy that has blue and white rope and is hanging on the orange cone'], ['a large dog toy that is orange and blue'], ['the dog toy is hanging on the cone'], ['the image shows a blue and orange mop holder']]"
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,"[['the toy mouse is hanging on a metal bar'], ['q: what do you see in the image?'], ['it is a ball that has a ball attached to it'], ['i see a small metal hook with two blue handles'], ['a toy ball and a metal toy hook']]"
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6,"[['it shows the shape of a round yellow object'], ['you can see a yellow plastic container with a black lid'], ['a round yellow food dish with a black lid'], ['i see a yellow plastic bowl with a black cover'], ['a golden dome with a round lid, in yellow']]"
data/images/noun/2019-600.jpg,2019,cat nip toy,31,67,38,25,"[['this is an orange and yellow glass egg with a black head and white feathers on it'], ['a yellow candy egg'], ['a yellow and orange bird wearing an orange hat and holding a yellow egg'], ['a yellow plastic toy that has orange and yellow sides'], ['an orange, yellow, green, orange, yellow egg shaped object with a green and orange top']]"
data/images/noun/2020.jpg,2020,jacobs ladder,41,36,29,6,"[['the coasters are made from different colored wooden slats'], ['q: what do you see in the image? a: q: what do you see in the'], ['a set of coasters in different colors'], ['a set of 4 wooden coasters with colored plastic in them'], ['you see the colorful pieces of the coaster in this image']]"
data/images/noun/2021-600.jpg,2021,foam arrow,9,29,84,3,"[['a green and pink toothbrush with one pink head'], ['a colorful pink and green cylinder with four pink'], ['we see that it has two pink and one green'], ['a colorful set of five tubes'], ['what do you see in the image?']]"
data/images/noun/2022-600.jpg,2022,marker,9,15,70,13,"[['what do you see in the image?'], ['q: what do you see in the image? a: q: what do you see in the'], ['-q: what do you see in the image? a: -q: what do you see'], ['green plastic water bottle holder'], ['a green plastic water bottle with an upside down water bottle cap']]"
data/images/noun/2023-600.jpg,2023,color changing ball,13,31,87,17,"[['a black and white ball that is made of plastic'], ['a black and white ball that has many different pieces inside'], ['an old black and white sculpture on a white surface'], ['a black and white plastic sculpture that is broken into pieces'], ['a black and white ceramic sculpture']]"
data/images/noun/2024-600.jpg,2024,connected disk toy,81,44,41,3,"[['- 2x4 block puzzle - 1/8"" - 6mm - 4""'], ['it is a small plastic star that has three colored parts'], ['it is a toy with four colored parts'], ['a yellow star with a blue and red shape'], ['the toy has four red, yellow and blue shapes in it']]"
data/images/noun/2025-600.jpg,2025,boomerang,6,14,58,13,"[['the image shows the blue foot rest that is sitting on the ground'], [""a blue, curved rubber foot rest that is in the shape of a horse's tail""], ['blue waterbed mattress pad'], ['i see a shoe that is shaped like a shoe, except it has a blue strap on it'], ['the back of a small blue rubber mat']]"
data/images/noun/2026-600.jpg,2026,dog toy,16,71,63,17,"[['you see a green rubber dog bone'], ['q: what do you see in the image? a: q: what do you see in the'], ['a toy toy toy toy toy toy'], ['a green, red, and black toy piece'], ['a green and red sports toy']]"
data/images/noun/2027-600.jpg,2027,room freshener toy,22,38,47,9,"[['a white ball shaped object with a large hole in the center'], ['the image is a white plastic ball with a small hole in the center'], ['i see the ball in the image.'], ['q: what do you see in the image?'], ['white, ball shaped, object']]"
data/images/noun/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63,"[['the image shows a pink stuffed dog with three white pom poms'], ['a fuzzy pink toy doughnut on top of four pink pom pom balls'], [""it's a fuzzy animal shaped balloon, with one pink and one blue tail""], ['a pink fluffy donut with three pink ears'], ['you see three pink donuts hanging from the arms of the doll.']]"
data/images/noun/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,"[['the picture of the air filter'], ['the product is the same as in the picture'], [""we don't have any images of the item you have selected""], ['we have an image of a product on the screen.'], ['-']]"
data/images/noun/2030-600.jpg,2030,marker,9,43,53,0,"[['q: what do you see in the image?'], ['an elephant with a blue face'], ['i see a tiny blue bear toy'], ['a purple and blue robot shaped figurine'], ['a small blue bird with a blue and purple hat']]"
data/images/noun/2031.jpg,2031,book end,16,32,35,26,"[['this image is an image of the product'], ['a metal bracket, with two holes'], ['this is a metal shaped metal clamp'], ['in the image you see a stainless steel handrail'], ['the image shows a large silver metal object']]"
data/images/noun/2032-600.jpg,2032,submarine,47,90,50,3,"[['a plastic toy that has a rocket engine attached to it'], [""it's an orange and blue toy toy airplane""], ['an orange toy with blue wings and a small orange balloon on top'], ['i see an orange plastic toy toy with blue stripes and a small rocket'], ['the item']]"
data/images/noun/2033-600.jpg,2033,cat toy cage,9,57,55,3,"[['the image of a colorful, open box with an orange handle'], ['a toy box with an orange handle'], ['the small orange crate has a small triangular base and a white metal lid'], ['an orange and green plastic toy box'], ['i see the orange chair and the yellow box']]"
data/images/noun/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26,"[['what do you see in the image?'], ['a ball with a green and pink rubber snake'], ['an unusual multi colored rubber ducky'], ['a plastic ball with various colorful string attached to it'], ['an image of a multi colored plastic ring with pink and orange']]"
data/images/noun/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,"[['a blue and white ball that is attached to a white stick'], ['a small red and brown sponge is sitting on top of a blue ball'], ['what do you see in the image?> the best thing that can be done in the world'], ['the object is a ball made of yarn and an eraser.'], ['a toy, a pom-pom, a hair dryer and a blue wand']]"
data/images/noun/2036-600.jpg,2036,cup-and-ball toy,59,70,20,20,"[['toy hammer'], ['this is a wooden toy with a colorful, plastic drum and a wooden ball'], ['the toy is wooden with a ball attached to the end'], ['this is a toy toy wooden percussion hammer'], ['a rubber toy ball and wooden toy mallet with colorful paint on the handle']]"
data/images/noun/2037-600.jpg,2037,teething ring with a bit photoshopped out,34,24,37,3,"[['the image shows the image of a pink plastic ring.'], ['i see a pair of pink jelly bracelets'], ['there are four round rings on a white background'], ['q: what do you see in the image? a: q: what do you see in the'], ['i see a bunch of pink balls.']]"
data/images/noun/2038-600.jpg,2038,heart shaped slinky,56,63,26,6,"[['i see a yellow, orange, and green heart shaped'], ['the image is of a multi colored heart shaped balloon'], ['the image shows an orange and yellow heart shaped balloon that is sitting on top of an apple.'], ['a rainbow shaped rubber ring.'], ['the three colored plastic rings have been placed on a white background']]"
data/images/noun/2039-600.jpg,2039,led top,28,64,61,13,"[['the image shows the lighted up toy'], ['a green plastic plastic cross shaped toy'], ['there are many toys and fidget toys out there. some toys are very complicated, others can make'], ['i see a green and green fidgett.'], ['a green plastic cross with two crossed legs']]"
data/images/noun/2040-600.jpg,2040,rubber toy found in toy aisle,31,64,63,16,"[['dog toy ball with mop head'], [''], ['blue poodle - poodle toy - шортка'], ['an image of a blue ball with yellow fuzz and a yellow ball with blue fuzz'], ['a toy ball and pom pom toy']]"
data/images/noun/2041-600.jpg,2041,massager,34,38,23,20,"[['the image of a wooden cross with six balls'], ['a cross, three wooden balls and a wooden rod'], ['a three - dimensional cross'], ['the image shows a wooden toy cross with three wooden balls attached'], ['a picture of a model of the four balls in the center of the cross']]"
data/images/noun/2042-600.jpg,2042,small personal fan without blades,38,67,81,3,"[['the toy is a yellow plastic handle with blue rubber grip.'], [""the child's toy in the image is a toy vacuum cleaner""], ['the picture shows the picture is taken from a plastic bottle'], ['a blue, yellow, and black spray bottle'], ['an electric blue and yellow soap dispenser.']]"
data/images/noun/2043.jpg,2043,clacker,66,76,65,6,"[['there is a colorful toy toy on the top of a white surface'], ['the toy is made out of plastic'], ['a colorful plastic toy with three small balls on top'], ['this is an image of a toy ball on the white surface'], [""it's a pair of yellow plastic balls that are attached to a wooden handle""]]"
