image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output
data/images/noun/2001-600.jpg,2001,bee have trap,19,50,66,14,"[['you can see two different shapes of animal toys'], [''], ['there is a large orange glass ball on top of a white background'], ['a pair of yellow toy turtle toys'], ['a set of 3 orange plastic tubes']]"
data/images/noun/2002-600.jpg,2002,bookend,22,83,59,9,"[['red ceramic vase'], ['a red metallic shaped sculpture of a snake'], ['a red metal sculpture'], ['this image has been digitally painted by a professional artist to resemble a realistic image.'], [""a beautiful red glass sculpture that looks like it's holding an egg shaped object""]]"
data/images/noun/2003-600.jpg,2003,fidget toy,59,74,19,0,"[['i see a single block of wood, colored in different colors'], ['a set of multi - colored wooden blocks with letters of the alphabet on them'], ['i see a rainbow'], ['what do you see in the image?'], ['a bunch of colorful wooden blocks, the letters q and j are shown']]"
data/images/noun/2004-600.jpg,2004,pencil sharpener,41,70,48,52,"[['the orange and yellow plastic ring'], ['q: what do you see in the image? экземп'], ['an egg shape candy that is orange and yellow'], ['this image shows a plastic bottle that is orange and has a metal lid'], ['a light yellow and orange sphere']]"
data/images/noun/2005-600.jpg,2005,fish tank stone,6,25,81,13,"[['rainbow unicorn hair'], ['this is a headband that looks like it is made out of colored water'], ['i see a tie - dye rainbow - shaped piece of metal on a white surface'], ['an animal head that is painted with tie dye'], ['an angel headband with a rainbow rainbow dye']]"
data/images/noun/2006-600.jpg,2006,space ship top,34,64,31,3,"[['the image of a grey metal object sitting on the ground'], ['a q-8, which is a starfleet ship that is able to fire small laser beams'], ['a ship'], ['spacecraft'], ['the u.s.s. enterprise-d, a star trek spacecraft, which was a two']]"
data/images/noun/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,"[['rubber bullet for shooting'], [""i am thinking about making a little black ball for an old ball, but i haven't decided what""], ['a black and red rubber ball with a hole on the top'], ['i see a round plastic ball with a red handle'], ['i see a ball with a red tip']]"
data/images/noun/2008.jpg,2008,curlers formed together,34,25,48,16,"[['a blue and white rubber knot on a white background'], ['a knot'], ['a rope toy in blue'], ['the image shows a blue rubber tube, shaped like a double bow'], ['i see an abstract shape with two lines on it']]"
data/images/noun/2009-600.jpg,2009,dog toy,47,78,65,45,"[['центр модернизиро�'], ['an orange toy that has been shaped like an x'], ['this is a dog toy with spiky hair that has been placed in a orange container.'], ['the shape of a dog toy in orange with spikes on the back'], ['']]"
data/images/noun/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,"[['the red and yellow balls in the image are toy dog toys'], ['the red and white rubber toy is on a white background'], ['an adorable dog toy with colorful spikes and a pink heart'], ['a red ball with blue and yellow dots on it'], ['a dog toy with red and blue dots on it']]"
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"[['a toy with a plastic propeller and orange ball attached'], ['มังเพราะเ�'], ['we see a green and orange plastic tool on top of a white background'], ['a plastic toy tool with a green handle'], ['plastic and metal fish hook with fish']]"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"[['this is a toy jellyfish, a red one.'], ['what do you see in the image?'], ['the image shows an octopus with red and orange tentacles'], ['a red anemone with orange tentacles'], ['this is a plastic creature of the sea, with red tentacles on each side of its body.']]"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"[['a yellow and orange plastic figure with a wooden handle'], ['this is a toy with a red and orange handle'], [""i see a bird's nest in the image, as well as a yellow and orange bird""], ['a plastic orange and yellow fish toy'], ['q: what do you see in the image?']]"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"[['the image shows the toy wand on top of a yellow ball'], ['this is an image of a musical instrument'], ['a colorful ball with pink and yellow dots'], ['a yellow ball with purple and pink dots on it'], ['this is a toy shaped like a ball with a bright colored pattern on it.']]"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"[['a blue bicycle helmet with a single oval shaped opening'], [''], ['we see that this blue bicycle wheel is holding a plastic tire.'], ['the image of the blue ice cream machine'], ['the blue colored, metal, plastic foot holds a ball and has two holes for the bottom of the']]"
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,"[['this is an image of an orange, blue, and white halo that has a large blue t'], ['a large, orange and blue toy horn and a blue and white rope'], ['the toy has been emptied and is now open'], ['a green cone, blue, white, orange and brown'], ['a small orange and blue plastic mop on a white background']]"
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,"[['this is a small wire and a metal clip that is attached to a metal bar'], ['you can see the toy toy that has blue and orange wire'], ['i see the image of the blue tool in the image, and i can not tell which tool is'], ['this image is of the roller wheel, which is holding a large orange ball.'], ['an image of the q: what do you see in the image? product with a yellow wheel']]"
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6,"[['yellow lid lid with a black ring'], ['the picture shows the yellow plastic cover for the microwave'], ['yellow glass bowl, for coffee mug.'], [''], ['yellow plastic bowl with black rubber stopper on top']]"
data/images/noun/2019-600.jpg,2019,cat nip toy,31,67,38,25,"[['this image shows the yellow and orange plastic egg'], ['an orange and yellow egg'], ['a funny toy made from a candy corn'], ['an orange, yellow, and red egg on a white surface'], ['a yellow and orange egg toy with a bunny']]"
data/images/noun/2020.jpg,2020,jacobs ladder,41,36,29,6,"[['we are a business to business service provider for the trade and industry, we supply products for furniture industry'], ['an image of a multi colored box'], ['a colorful stack of squares and rectangles'], ['a box with different colored compartments'], ['a colorful set of folded square pads']]"
data/images/noun/2021-600.jpg,2021,foam arrow,9,29,84,3,"[['the image shows the pink and green flower in a bunch'], ['a bundle of tubes with different colors'], ['the image shows the foam stick in two colors and one green'], ['an image of a large black, pink, and green toothbrush'], ['the image shows a flower holder with green and pink pieces']]"
data/images/noun/2022-600.jpg,2022,marker,9,15,70,13,"[['the green plastic stopper is a bottle stopper for a bottle of water'], [''], [''], ['the image of the green water bottle'], ['a green cone shaped container with an attached handle']]"
data/images/noun/2023-600.jpg,2023,color changing ball,13,31,87,17,"[['a white and black vase'], ['white and black'], ['a white ball with black flowers, which was designed by kimberly-clark'], ['black and white ball with black and white flowers'], ['the image shows the inside of a sculpture made of three black and white soccer balls']]"
